Country,Metric,Submetric,Breakdown,Value,Unit,Reference Year,Source Name,Source URL,Notes
Luxembourg,Youth unemployment rate,,Ages 15–24,17.5,percent,2024,STATEC / labour statistics,https://statistiques.public.lu/,Latest published youth unemployment rate.
Luxembourg,Long-term unemployment rate,,,1.6,percent of labour force,2024,STATEC / labour statistics,https://statistiques.public.lu/,Long-term (12m+) unemployment.
Luxembourg,Labour force participation rate,,Total (15–64),63,percent,2024,STATEC / labour statistics,https://statistiques.public.lu/,Latest published participation rate.
Luxembourg,Labour force participation rate,By migrant/native status,Native-born — total,64.5,percent,2024,Modeled estimate — labour,https://statistiques.public.lu/,Modeled estimate (population-scaled from published patterns); not an official published figure.
Luxembourg,Labour force participation rate,By migrant/native status,Foreign-born — total,57,percent,2024,Modeled estimate — labour,https://statistiques.public.lu/,Modeled estimate (population-scaled from published patterns); not an official published figure.
Luxembourg,Labour force participation rate,By migrant/native status,Native-born — men,68,percent,2024,Modeled estimate — labour,https://statistiques.public.lu/,Modeled estimate (population-scaled from published patterns); not an official published figure.
Luxembourg,Labour force participation rate,By migrant/native status,Foreign-born — men,62,percent,2024,Modeled estimate — labour,https://statistiques.public.lu/,Modeled estimate (population-scaled from published patterns); not an official published figure.
Luxembourg,Labour force participation rate,By migrant/native status,Native-born — women,61,percent,2024,Modeled estimate — labour,https://statistiques.public.lu/,Modeled estimate (population-scaled from published patterns); not an official published figure.
Luxembourg,Labour force participation rate,By migrant/native status,Foreign-born — women,51,percent,2024,Modeled estimate — labour,https://statistiques.public.lu/,Modeled estimate (population-scaled from published patterns); not an official published figure.
Luxembourg,Minimum wage,,,€15.25/hour,statutory minimum,2024,STATEC / labour statistics,https://statistiques.public.lu/,Statutory minimum wage (or none where wages are set by collective agreements).
Luxembourg,Average annual working hours per worker,,,1473,hours per year,2024,STATEC / labour statistics,https://statistiques.public.lu/,OECD-style average annual hours actually worked.
