country,year,age_group,male_population,female_population,total_population
Luxembourg,2025,0-4,18225,17246,35471
Luxembourg,2025,5-9,19529,18579,38108
Luxembourg,2025,10-14,18177,17249,35426
Luxembourg,2025,15-19,17823,16913,34736
Luxembourg,2025,20-24,18588,17685,36273
Luxembourg,2025,25-29,21524,18923,40447
Luxembourg,2025,30-34,22293,20560,42853
Luxembourg,2025,35-39,24124,22444,46568
Luxembourg,2025,40-44,21782,21764,43546
Luxembourg,2025,45-49,20052,20035,40087
Luxembourg,2025,50-54,20240,20224,40464
Luxembourg,2025,55-59,25041,25024,50065
Luxembourg,2025,60-64,24296,25016,49312
Luxembourg,2025,65-69,19244,20653,39897
Luxembourg,2025,70-74,14681,17460,32141
Luxembourg,2025,75-79,10818,12830,23648
Luxembourg,2025,80-84,8696,11355,20051
Luxembourg,2025,85-89,5702,9032,14734
Luxembourg,2025,90-94,1631,3293,4924
Luxembourg,2025,95-99,299,833,1132
Luxembourg,2025,100+,24,91,115
