Section,Subsection,Metric,Submetric,Breakdown,Value,Unit,Reference Year,Source Name,Source URL,Notes
Government,Overview,head of government,,,Robert Abela,name,2025,NSO Malta / government statistics,https://nso.gov.mt/,Head of government as of late 2025/early 2026.
Government,Overview,head of government political party,,,Partit Laburista,party,2025,NSO Malta / government statistics,https://nso.gov.mt/,
Government,Overview,head of government political ideology,,,centre-left,ideology,2025,NSO Malta / government statistics,https://nso.gov.mt/,
Government,Overview,governing coalition,,,PL majority government,coalition,2025,NSO Malta / government statistics,https://nso.gov.mt/,
Government,Overview,number of coalition parties,,,1,parties,2025,NSO Malta / government statistics,https://nso.gov.mt/,
Government,Parliament,total seats,,,79,seats,2025,NSO Malta / government statistics,https://nso.gov.mt/,Lower/main chamber.
Government,Parliament,seats by party,,Partit Laburista,44,seats,2025,NSO Malta / government statistics,https://nso.gov.mt/,
Government,Parliament,seats by party,,Partit Nazzjonalista,35,seats,2025,NSO Malta / government statistics,https://nso.gov.mt/,
Government,Parliament,majority threshold,,,40,seats,2025,NSO Malta / government statistics,https://nso.gov.mt/,
Government,Parliament,coalition seat total,,,43,seats,2025,Modeled estimate — coalition seats,https://nso.gov.mt/,Modeled estimate (population-scaled from published patterns); not an official published figure.
Government,Parliament,opposition seat total,,,36,seats,2025,Modeled estimate — opposition seats,https://nso.gov.mt/,Modeled estimate (population-scaled from published patterns); not an official published figure.
Government,Parliament,number of parties represented,,,2,parties,2025,NSO Malta / government statistics,https://nso.gov.mt/,Top groupings shown above.
Government,Parliament,party fragmentation index,,,2.9,effective number of parties,2025,Modeled estimate — fragmentation,https://nso.gov.mt/,Modeled estimate (population-scaled from published patterns); not an official published figure.
Government,Parliament,trust in parliament,,,36,percent,2025,Eurobarometer/OECD-style survey (modeled),https://europa.eu/eurobarometer,Modeled estimate (population-scaled from published patterns); not an official published figure.
Government,Parliament,trust in government,,,34,percent,2025,Eurobarometer/OECD-style survey (modeled),https://europa.eu/eurobarometer,Modeled estimate (population-scaled from published patterns); not an official published figure.
Government,Parliament,trust in political parties,,,22,percent,2025,Eurobarometer/OECD-style survey (modeled),https://europa.eu/eurobarometer,Modeled estimate (population-scaled from published patterns); not an official published figure.
Government,Parliament,trust in courts,,,50,percent,2025,Eurobarometer/OECD-style survey (modeled),https://europa.eu/eurobarometer,Modeled estimate (population-scaled from published patterns); not an official published figure.
Government,Parliament,trust in police,,,60,percent,2025,Eurobarometer/OECD-style survey (modeled),https://europa.eu/eurobarometer,Modeled estimate (population-scaled from published patterns); not an official published figure.
Government,Parliament,satisfaction with democracy,,,43,percent,2025,Eurobarometer/OECD-style survey (modeled),https://europa.eu/eurobarometer,Modeled estimate (population-scaled from published patterns); not an official published figure.
