Country,Metric,Submetric,Breakdown,Value,Unit,Reference Year,Source Name,Source URL,Notes
Malta,Youth unemployment rate,,Ages 15–24,8.5,percent,2024,NSO Malta / labour statistics,https://nso.gov.mt/,Latest published youth unemployment rate.
Malta,Long-term unemployment rate,,,0.7,percent of labour force,2024,NSO Malta / labour statistics,https://nso.gov.mt/,Long-term (12m+) unemployment.
Malta,Labour force participation rate,,Total (15–64),68.5,percent,2024,NSO Malta / labour statistics,https://nso.gov.mt/,Latest published participation rate.
Malta,Labour force participation rate,By migrant/native status,Native-born — total,70,percent,2024,Modeled estimate — labour,https://nso.gov.mt/,Modeled estimate (population-scaled from published patterns); not an official published figure.
Malta,Labour force participation rate,By migrant/native status,Foreign-born — total,62.5,percent,2024,Modeled estimate — labour,https://nso.gov.mt/,Modeled estimate (population-scaled from published patterns); not an official published figure.
Malta,Labour force participation rate,By migrant/native status,Native-born — men,73.5,percent,2024,Modeled estimate — labour,https://nso.gov.mt/,Modeled estimate (population-scaled from published patterns); not an official published figure.
Malta,Labour force participation rate,By migrant/native status,Foreign-born — men,67.5,percent,2024,Modeled estimate — labour,https://nso.gov.mt/,Modeled estimate (population-scaled from published patterns); not an official published figure.
Malta,Labour force participation rate,By migrant/native status,Native-born — women,66.5,percent,2024,Modeled estimate — labour,https://nso.gov.mt/,Modeled estimate (population-scaled from published patterns); not an official published figure.
Malta,Labour force participation rate,By migrant/native status,Foreign-born — women,56.5,percent,2024,Modeled estimate — labour,https://nso.gov.mt/,Modeled estimate (population-scaled from published patterns); not an official published figure.
Malta,Minimum wage,,,€961/month,statutory minimum,2024,NSO Malta / labour statistics,https://nso.gov.mt/,Statutory minimum wage (or none where wages are set by collective agreements).
Malta,Average annual working hours per worker,,,1882,hours per year,2024,NSO Malta / labour statistics,https://nso.gov.mt/,OECD-style average annual hours actually worked.
