country,year,age_group,male_population,female_population,total_population
Malta,2025,0-4,14505,13725,28230
Malta,2025,5-9,15591,14832,30423
Malta,2025,10-14,14559,13815,28374
Malta,2025,15-19,14323,13591,27914
Malta,2025,20-24,14990,14261,29251
Malta,2025,25-29,17420,15315,32735
Malta,2025,30-34,18110,16702,34812
Malta,2025,35-39,19675,18304,37979
Malta,2025,40-44,17837,17822,35659
Malta,2025,45-49,16489,16476,32965
Malta,2025,50-54,16718,16704,33422
Malta,2025,55-59,20778,20765,41543
Malta,2025,60-64,20257,20858,41115
Malta,2025,65-69,16125,17307,33432
Malta,2025,70-74,12367,14708,27075
Malta,2025,75-79,9163,10867,20030
Malta,2025,80-84,7408,9673,17081
Malta,2025,85-89,4887,7741,12628
Malta,2025,90-94,1407,2841,4248
Malta,2025,95-99,259,724,983
Malta,2025,100+,22,79,101
