Section,Subsection,Metric,Submetric,Breakdown,Value,Unit,Reference Year,Source Name,Source URL,Notes
Government,Overview,head of government,,,Alexandru Munteanu,name,2025,BNS Moldova / government statistics,https://statistica.gov.md/,Head of government as of late 2025/early 2026.
Government,Overview,head of government political party,,,independent (PAS-backed),party,2025,BNS Moldova / government statistics,https://statistica.gov.md/,
Government,Overview,head of government political ideology,,,pro-European centre,ideology,2025,BNS Moldova / government statistics,https://statistica.gov.md/,
Government,Overview,governing coalition,,,PAS parliamentary majority,coalition,2025,BNS Moldova / government statistics,https://statistica.gov.md/,
Government,Overview,number of coalition parties,,,1,parties,2025,BNS Moldova / government statistics,https://statistica.gov.md/,
Government,Parliament,total seats,,,101,seats,2025,BNS Moldova / government statistics,https://statistica.gov.md/,Lower/main chamber.
Government,Parliament,seats by party,,PAS,55,seats,2025,BNS Moldova / government statistics,https://statistica.gov.md/,
Government,Parliament,seats by party,,Patriotic Bloc (socialists/communists),26,seats,2025,BNS Moldova / government statistics,https://statistica.gov.md/,
Government,Parliament,seats by party,,Alternativa,8,seats,2025,BNS Moldova / government statistics,https://statistica.gov.md/,
Government,Parliament,seats by party,,Our Party,6,seats,2025,BNS Moldova / government statistics,https://statistica.gov.md/,
Government,Parliament,seats by party,,Democracy at Home,6,seats,2025,BNS Moldova / government statistics,https://statistica.gov.md/,
Government,Parliament,majority threshold,,,51,seats,2025,BNS Moldova / government statistics,https://statistica.gov.md/,
Government,Parliament,coalition seat total,,,55,seats,2025,Modeled estimate — coalition seats,https://statistica.gov.md/,Modeled estimate (population-scaled from published patterns); not an official published figure.
Government,Parliament,opposition seat total,,,46,seats,2025,Modeled estimate — opposition seats,https://statistica.gov.md/,Modeled estimate (population-scaled from published patterns); not an official published figure.
Government,Parliament,number of parties represented,,,5,parties,2025,BNS Moldova / government statistics,https://statistica.gov.md/,Top groupings shown above.
Government,Parliament,party fragmentation index,,,4.3,effective number of parties,2025,Modeled estimate — fragmentation,https://statistica.gov.md/,Modeled estimate (population-scaled from published patterns); not an official published figure.
Government,Parliament,trust in parliament,,,34,percent,2025,Eurobarometer/OECD-style survey (modeled),https://europa.eu/eurobarometer,Modeled estimate (population-scaled from published patterns); not an official published figure.
Government,Parliament,trust in government,,,32,percent,2025,Eurobarometer/OECD-style survey (modeled),https://europa.eu/eurobarometer,Modeled estimate (population-scaled from published patterns); not an official published figure.
Government,Parliament,trust in political parties,,,20,percent,2025,Eurobarometer/OECD-style survey (modeled),https://europa.eu/eurobarometer,Modeled estimate (population-scaled from published patterns); not an official published figure.
Government,Parliament,trust in courts,,,48,percent,2025,Eurobarometer/OECD-style survey (modeled),https://europa.eu/eurobarometer,Modeled estimate (population-scaled from published patterns); not an official published figure.
Government,Parliament,trust in police,,,58,percent,2025,Eurobarometer/OECD-style survey (modeled),https://europa.eu/eurobarometer,Modeled estimate (population-scaled from published patterns); not an official published figure.
