country,year,age_group,male_population,female_population,total_population
Moldova,2025,0-4,74079,70099,144178
Moldova,2025,5-9,78731,74904,153635
Moldova,2025,10-14,72656,68947,141603
Moldova,2025,15-19,70603,66998,137601
Moldova,2025,20-24,72941,69395,142336
Moldova,2025,25-29,83625,73523,157148
Moldova,2025,30-34,85709,79049,164758
Moldova,2025,35-39,91733,85341,177074
Moldova,2025,40-44,81864,81798,163662
Moldova,2025,45-49,74436,74374,148810
Moldova,2025,50-54,74157,74097,148254
Moldova,2025,55-59,90477,90418,180895
Moldova,2025,60-64,86495,89060,175555
Moldova,2025,65-69,67434,72374,139808
Moldova,2025,70-74,50582,60161,110743
Moldova,2025,75-79,36604,43414,80018
Moldova,2025,80-84,28857,37682,66539
Moldova,2025,85-89,18529,29353,47882
Moldova,2025,90-94,5183,10462,15645
Moldova,2025,95-99,926,2583,3509
Moldova,2025,100+,74,273,347
