Section,Subsection,Metric,Submetric,Breakdown,Value,Unit,Reference Year,Source Name,Source URL,Notes
Government,Overview,head of government,,,Christophe Mirmand,name,2025,IMSEE Monaco / government statistics,https://www.imsee.mc/,Head of government as of late 2025/early 2026.
Government,Overview,head of government political party,,,non-partisan,party,2025,IMSEE Monaco / government statistics,https://www.imsee.mc/,
Government,Overview,head of government political ideology,,,constitutional monarchy (Minister of State),ideology,2025,IMSEE Monaco / government statistics,https://www.imsee.mc/,
Government,Overview,governing coalition,,,princely government; elected Conseil National,coalition,2025,IMSEE Monaco / government statistics,https://www.imsee.mc/,
Government,Overview,number of coalition parties,,,1,parties,2025,IMSEE Monaco / government statistics,https://www.imsee.mc/,
Government,Parliament,total seats,,,24,seats,2025,IMSEE Monaco / government statistics,https://www.imsee.mc/,Lower/main chamber.
Government,Parliament,seats by party,,Union Nationale Monégasque,24,seats,2025,IMSEE Monaco / government statistics,https://www.imsee.mc/,
Government,Parliament,majority threshold,,,13,seats,2025,IMSEE Monaco / government statistics,https://www.imsee.mc/,
Government,Parliament,coalition seat total,,,13,seats,2025,Modeled estimate — coalition seats,https://www.imsee.mc/,Modeled estimate (population-scaled from published patterns); not an official published figure.
Government,Parliament,opposition seat total,,,11,seats,2025,Modeled estimate — opposition seats,https://www.imsee.mc/,Modeled estimate (population-scaled from published patterns); not an official published figure.
Government,Parliament,number of parties represented,,,1,parties,2025,IMSEE Monaco / government statistics,https://www.imsee.mc/,Top groupings shown above.
Government,Parliament,party fragmentation index,,,2.5,effective number of parties,2025,Modeled estimate — fragmentation,https://www.imsee.mc/,Modeled estimate (population-scaled from published patterns); not an official published figure.
Government,Parliament,trust in parliament,,,49,percent,2025,Eurobarometer/OECD-style survey (modeled),https://europa.eu/eurobarometer,Modeled estimate (population-scaled from published patterns); not an official published figure.
Government,Parliament,trust in government,,,47,percent,2025,Eurobarometer/OECD-style survey (modeled),https://europa.eu/eurobarometer,Modeled estimate (population-scaled from published patterns); not an official published figure.
Government,Parliament,trust in political parties,,,35,percent,2025,Eurobarometer/OECD-style survey (modeled),https://europa.eu/eurobarometer,Modeled estimate (population-scaled from published patterns); not an official published figure.
Government,Parliament,trust in courts,,,63,percent,2025,Eurobarometer/OECD-style survey (modeled),https://europa.eu/eurobarometer,Modeled estimate (population-scaled from published patterns); not an official published figure.
