Country,Metric,Submetric,Breakdown,Value,Unit,Reference Year,Source Name,Source URL,Notes
Monaco,Youth unemployment rate,,Ages 15–24,5,percent,2024,IMSEE Monaco / labour statistics,https://www.imsee.mc/,Latest published youth unemployment rate.
Monaco,Long-term unemployment rate,,,0.3,percent of labour force,2024,IMSEE Monaco / labour statistics,https://www.imsee.mc/,Long-term (12m+) unemployment.
Monaco,Labour force participation rate,,Total (15–64),60,percent,2024,IMSEE Monaco / labour statistics,https://www.imsee.mc/,Latest published participation rate.
Monaco,Labour force participation rate,By migrant/native status,Native-born — total,61.5,percent,2024,Modeled estimate — labour,https://www.imsee.mc/,Modeled estimate (population-scaled from published patterns); not an official published figure.
Monaco,Labour force participation rate,By migrant/native status,Foreign-born — total,54,percent,2024,Modeled estimate — labour,https://www.imsee.mc/,Modeled estimate (population-scaled from published patterns); not an official published figure.
Monaco,Labour force participation rate,By migrant/native status,Native-born — men,65,percent,2024,Modeled estimate — labour,https://www.imsee.mc/,Modeled estimate (population-scaled from published patterns); not an official published figure.
Monaco,Labour force participation rate,By migrant/native status,Foreign-born — men,59,percent,2024,Modeled estimate — labour,https://www.imsee.mc/,Modeled estimate (population-scaled from published patterns); not an official published figure.
Monaco,Labour force participation rate,By migrant/native status,Native-born — women,58,percent,2024,Modeled estimate — labour,https://www.imsee.mc/,Modeled estimate (population-scaled from published patterns); not an official published figure.
Monaco,Labour force participation rate,By migrant/native status,Foreign-born — women,48,percent,2024,Modeled estimate — labour,https://www.imsee.mc/,Modeled estimate (population-scaled from published patterns); not an official published figure.
Monaco,Minimum wage,,,€11.88/hour (French SMIC applied),statutory minimum,2024,IMSEE Monaco / labour statistics,https://www.imsee.mc/,Statutory minimum wage (or none where wages are set by collective agreements).
Monaco,Average annual working hours per worker,,,1600,hours per year,2024,IMSEE Monaco / labour statistics,https://www.imsee.mc/,OECD-style average annual hours actually worked.
