country,year,age_group,male_population,female_population,total_population
Monaco,2025,0-4,529,501,1030
Monaco,2025,5-9,624,593,1217
Monaco,2025,10-14,635,603,1238
Monaco,2025,15-19,679,644,1323
Monaco,2025,20-24,769,731,1500
Monaco,2025,25-29,963,847,1810
Monaco,2025,30-34,1076,993,2069
Monaco,2025,35-39,1254,1167,2421
Monaco,2025,40-44,1216,1216,2432
Monaco,2025,45-49,1201,1200,2401
Monaco,2025,50-54,1298,1296,2594
Monaco,2025,55-59,1717,1715,3432
Monaco,2025,60-64,1779,1831,3610
Monaco,2025,65-69,1502,1613,3115
Monaco,2025,70-74,1222,1453,2675
Monaco,2025,75-79,959,1137,2096
Monaco,2025,80-84,820,1071,1891
Monaco,2025,85-89,572,907,1479
Monaco,2025,90-94,174,352,526
Monaco,2025,95-99,34,94,128
Monaco,2025,100+,3,11,14
