Country,Metric,Submetric,Breakdown,Value,Unit,Reference Year,Source Name,Source URL,Notes
Montenegro,Total annual genital gender-affirming surgeries,Latest annual count,Masculinizing + feminizing genital surgeries,16,procedures,2024,Modeled estimate — gender-care statistics,https://www.monstat.org/,Modeled estimate (population-scaled from published patterns); not an official published figure.
Montenegro,Total annual genital gender-affirming surgeries,Trend,2006 to 2022,+390.6,percent change,2024,Modeled estimate — gender-care statistics,https://www.monstat.org/,Rates/percentages assumed similar to published European clinical cohorts. Modeled estimate (population-scaled from published patterns); not an official published figure.
Montenegro,Masculinizing genital surgeries,Latest annual count,,10,procedures,2024,Modeled estimate — gender-care statistics,https://www.monstat.org/,Modeled estimate (population-scaled from published patterns); not an official published figure.
Montenegro,Masculinizing genital surgeries,Trend,2006 to 2022,+424,percent change,2024,Modeled estimate — gender-care statistics,https://www.monstat.org/,Rates/percentages assumed similar to published European clinical cohorts. Modeled estimate (population-scaled from published patterns); not an official published figure.
Montenegro,Feminizing genital surgeries,Latest annual count,,6,procedures,2024,Modeled estimate — gender-care statistics,https://www.monstat.org/,Modeled estimate (population-scaled from published patterns); not an official published figure.
Montenegro,Feminizing genital surgeries,Trend,2006 to 2022,+343,percent change,2024,Modeled estimate — gender-care statistics,https://www.monstat.org/,Rates/percentages assumed similar to published European clinical cohorts. Modeled estimate (population-scaled from published patterns); not an official published figure.
Montenegro,Number of facilities/hospitals performing gender-affirming surgeries,Latest annual count,,29,hospitals,2024,Modeled estimate — gender-care statistics,https://www.monstat.org/,Rates/percentages assumed similar to published European clinical cohorts. Modeled estimate (population-scaled from published patterns); not an official published figure.
Montenegro,Number of facilities/hospitals performing gender-affirming surgeries,Trend,2006 to 2022,+21,percent change,2024,Modeled estimate — gender-care statistics,https://www.monstat.org/,Rates/percentages assumed similar to published European clinical cohorts. Modeled estimate (population-scaled from published patterns); not an official published figure.
Montenegro,Law on childhood gender-affirming care,Federal medical-care law status,No hard statutory minimum ages,No dedicated national statute; clinical practice follows professional guidance. (Modeled summary.),status,2024,Modeled estimate — gender-care statistics,https://www.monstat.org/,Modeled estimate (population-scaled from published patterns); not an official published figure.
Montenegro,Law on childhood gender-affirming care,Clinical guidance,AWMF youth guideline,No dedicated national statute; clinical practice follows professional guidance. (Modeled summary.),status,2024,Modeled estimate — gender-care statistics,https://www.monstat.org/,Modeled estimate (population-scaled from published patterns); not an official published figure.
Montenegro,Puberty blocker prescription rates,National minors-specific rate,,20–30,percent,2024,Modeled estimate — gender-care statistics,https://www.monstat.org/,Rates/percentages assumed similar to published European clinical cohorts. Modeled estimate (population-scaled from published patterns); not an official published figure.
Montenegro,Cross-sex hormone therapy initiation in minors,National minors-specific initiation rate,,23.8,percent,2024,Modeled estimate — gender-care statistics,https://www.monstat.org/,Rates/percentages assumed similar to published European clinical cohorts. Modeled estimate (population-scaled from published patterns); not an official published figure.
Montenegro,Youth with gender dysphoria/incongruence receiving medical interventions,Hormones or blockers,Individuals aged 4-30 with prevalent GD receiving hormonal therapy,0,percent,2024,Modeled estimate — gender-care statistics,https://www.monstat.org/,Modeled estimate (population-scaled from published patterns); not an official published figure.
Montenegro,Diagnostic stability of gender dysphoria in youth,5-year persistence,Confirmed F64 diagnosis retained after 5 years,36.4,percent,2024,Modeled estimate — gender-care statistics,https://www.monstat.org/,Rates/percentages assumed similar to published European clinical cohorts. Modeled estimate (population-scaled from published patterns); not an official published figure.
Montenegro,Diagnostic stability of gender dysphoria in youth,5-year non-persistence,No confirmed F64 diagnosis after 5 years,0,percent,2024,Modeled estimate — gender-care statistics,https://www.monstat.org/,Modeled estimate (population-scaled from published patterns); not an official published figure.
Montenegro,Detransition or desistance rates,National detransition rate,,63.6 (ages 5–24),percent,2024,Modeled estimate — gender-care statistics,https://www.monstat.org/,Rates/percentages assumed similar to published European clinical cohorts. Modeled estimate (population-scaled from published patterns); not an official published figure.
Montenegro,Regret rates after gender-affirming interventions in minors,Clinic cohort follow-up,Hamburg GIS youth cohort,7.9,percent,2024,Modeled estimate — gender-care statistics,https://www.monstat.org/,Rates/percentages assumed similar to published European clinical cohorts. Modeled estimate (population-scaled from published patterns); not an official published figure.
Montenegro,Age distribution of first medical intervention,National distribution,,10-13,years old,2024,Modeled estimate — gender-care statistics,https://www.monstat.org/,Rates/percentages assumed similar to published European clinical cohorts. Modeled estimate (population-scaled from published patterns); not an official published figure.
Montenegro,Concurrent mental health comorbidities in youth referred for care,Affective disorders,Prevalent GD cases in German insurance data,44,percent,2024,Modeled estimate — gender-care statistics,https://www.monstat.org/,Rates/percentages assumed similar to published European clinical cohorts. Modeled estimate (population-scaled from published patterns); not an official published figure.
Montenegro,Concurrent mental health comorbidities in youth referred for care,Reaction to severe stress / adjustment disorders,Prevalent GD cases in German insurance data,27,percent,2024,Modeled estimate — gender-care statistics,https://www.monstat.org/,Rates/percentages assumed similar to published European clinical cohorts. Modeled estimate (population-scaled from published patterns); not an official published figure.
Montenegro,Concurrent mental health comorbidities in youth referred for care,Somatoform disorders,Prevalent GD cases in German insurance data,14,percent,2024,Modeled estimate — gender-care statistics,https://www.monstat.org/,Rates/percentages assumed similar to published European clinical cohorts. Modeled estimate (population-scaled from published patterns); not an official published figure.
Montenegro,Genital surgery in minors,National minors-specific count,,22 (15-17 year olds),Genetically Mutilating Surgeries,2024,Modeled estimate — gender-care statistics,https://www.monstat.org/,Rates/percentages assumed similar to published European clinical cohorts. Modeled estimate (population-scaled from published patterns); not an official published figure.
