Section,Subsection,Metric,Submetric,Breakdown,Value,Unit,Reference Year,Source Name,Source URL,Notes
Government,Overview,head of government,,,Milojko Spajić,name,2025,MONSTAT / government statistics,https://www.monstat.org/,Head of government as of late 2025/early 2026.
Government,Overview,head of government political party,,,Pokret Evropa sad (PES),party,2025,MONSTAT / government statistics,https://www.monstat.org/,
Government,Overview,head of government political ideology,,,centrist / pro-European,ideology,2025,MONSTAT / government statistics,https://www.monstat.org/,
Government,Overview,governing coalition,,,PES-led coalition incl. pro-Serb parties,coalition,2025,MONSTAT / government statistics,https://www.monstat.org/,
Government,Overview,number of coalition parties,,,4,parties,2025,MONSTAT / government statistics,https://www.monstat.org/,
Government,Parliament,total seats,,,81,seats,2025,MONSTAT / government statistics,https://www.monstat.org/,Lower/main chamber.
Government,Parliament,seats by party,,PES,24,seats,2025,MONSTAT / government statistics,https://www.monstat.org/,
Government,Parliament,seats by party,,ZBCG (pro-Serb coalition),13,seats,2025,MONSTAT / government statistics,https://www.monstat.org/,
Government,Parliament,seats by party,,DPS,21,seats,2025,MONSTAT / government statistics,https://www.monstat.org/,
Government,Parliament,seats by party,,URA,4,seats,2025,MONSTAT / government statistics,https://www.monstat.org/,
Government,Parliament,seats by party,,Others,19,seats,2025,MONSTAT / government statistics,https://www.monstat.org/,
Government,Parliament,majority threshold,,,41,seats,2025,MONSTAT / government statistics,https://www.monstat.org/,
Government,Parliament,coalition seat total,,,44,seats,2025,Modeled estimate — coalition seats,https://www.monstat.org/,Modeled estimate (population-scaled from published patterns); not an official published figure.
Government,Parliament,opposition seat total,,,37,seats,2025,Modeled estimate — opposition seats,https://www.monstat.org/,Modeled estimate (population-scaled from published patterns); not an official published figure.
Government,Parliament,number of parties represented,,,5,parties,2025,MONSTAT / government statistics,https://www.monstat.org/,Top groupings shown above.
Government,Parliament,party fragmentation index,,,4.3,effective number of parties,2025,Modeled estimate — fragmentation,https://www.monstat.org/,Modeled estimate (population-scaled from published patterns); not an official published figure.
Government,Parliament,trust in parliament,,,36,percent,2025,Eurobarometer/OECD-style survey (modeled),https://europa.eu/eurobarometer,Modeled estimate (population-scaled from published patterns); not an official published figure.
Government,Parliament,trust in government,,,34,percent,2025,Eurobarometer/OECD-style survey (modeled),https://europa.eu/eurobarometer,Modeled estimate (population-scaled from published patterns); not an official published figure.
Government,Parliament,trust in political parties,,,22,percent,2025,Eurobarometer/OECD-style survey (modeled),https://europa.eu/eurobarometer,Modeled estimate (population-scaled from published patterns); not an official published figure.
Government,Parliament,trust in courts,,,50,percent,2025,Eurobarometer/OECD-style survey (modeled),https://europa.eu/eurobarometer,Modeled estimate (population-scaled from published patterns); not an official published figure.
