Country,Metric,Submetric,Breakdown,Value,Unit,Reference Year,Source Name,Source URL,Notes
Montenegro,Youth unemployment rate,,Ages 15–24,25,percent,2024,MONSTAT / labour statistics,https://www.monstat.org/,Latest published youth unemployment rate.
Montenegro,Long-term unemployment rate,,,9.5,percent of labour force,2024,MONSTAT / labour statistics,https://www.monstat.org/,Long-term (12m+) unemployment.
Montenegro,Labour force participation rate,,Total (15–64),55,percent,2024,MONSTAT / labour statistics,https://www.monstat.org/,Latest published participation rate.
Montenegro,Labour force participation rate,By migrant/native status,Native-born — total,56.5,percent,2024,Modeled estimate — labour,https://www.monstat.org/,Modeled estimate (population-scaled from published patterns); not an official published figure.
Montenegro,Labour force participation rate,By migrant/native status,Foreign-born — total,49,percent,2024,Modeled estimate — labour,https://www.monstat.org/,Modeled estimate (population-scaled from published patterns); not an official published figure.
Montenegro,Labour force participation rate,By migrant/native status,Native-born — men,60,percent,2024,Modeled estimate — labour,https://www.monstat.org/,Modeled estimate (population-scaled from published patterns); not an official published figure.
Montenegro,Labour force participation rate,By migrant/native status,Foreign-born — men,54,percent,2024,Modeled estimate — labour,https://www.monstat.org/,Modeled estimate (population-scaled from published patterns); not an official published figure.
Montenegro,Labour force participation rate,By migrant/native status,Native-born — women,53,percent,2024,Modeled estimate — labour,https://www.monstat.org/,Modeled estimate (population-scaled from published patterns); not an official published figure.
Montenegro,Labour force participation rate,By migrant/native status,Foreign-born — women,43,percent,2024,Modeled estimate — labour,https://www.monstat.org/,Modeled estimate (population-scaled from published patterns); not an official published figure.
Montenegro,Minimum wage,,,€670/month,statutory minimum,2024,MONSTAT / labour statistics,https://www.monstat.org/,Statutory minimum wage (or none where wages are set by collective agreements).
Montenegro,Average annual working hours per worker,,,1800,hours per year,2024,MONSTAT / labour statistics,https://www.monstat.org/,OECD-style average annual hours actually worked.
