country,year,age_group,male_population,female_population,total_population
Montenegro,2025,0-4,16865,15959,32824
Montenegro,2025,5-9,18071,17193,35264
Montenegro,2025,10-14,16820,15962,32782
Montenegro,2025,15-19,16493,15651,32144
Montenegro,2025,20-24,17201,16365,33566
Montenegro,2025,25-29,19918,17511,37429
Montenegro,2025,30-34,20629,19026,39655
Montenegro,2025,35-39,22324,20769,43093
Montenegro,2025,40-44,20157,20140,40297
Montenegro,2025,45-49,18556,18540,37096
Montenegro,2025,50-54,18730,18715,37445
Montenegro,2025,55-59,23172,23157,46329
Montenegro,2025,60-64,22483,23149,45632
Montenegro,2025,65-69,17807,19112,36919
Montenegro,2025,70-74,13585,16157,29742
Montenegro,2025,75-79,10010,11873,21883
Montenegro,2025,80-84,8047,10507,18554
Montenegro,2025,85-89,5276,8359,13635
Montenegro,2025,90-94,1510,3047,4557
Montenegro,2025,95-99,276,771,1047
Montenegro,2025,100+,23,84,107
