Section,Subsection,Metric,Submetric,Breakdown,Value,Unit,Reference Year,Source Name,Source URL,Notes
Government,Overview,head of government,,,Dick Schoof (caretaker; coalition talks ongoing),name,2025,CBS Netherlands / government statistics,https://www.cbs.nl/,Head of government as of late 2025/early 2026.
Government,Overview,head of government political party,,,independent,party,2025,CBS Netherlands / government statistics,https://www.cbs.nl/,
Government,Overview,head of government political ideology,,,caretaker,ideology,2025,CBS Netherlands / government statistics,https://www.cbs.nl/,
Government,Overview,governing coalition,,,post-Oct-2025 coalition formation in progress,coalition,2025,CBS Netherlands / government statistics,https://www.cbs.nl/,
Government,Overview,number of coalition parties,,,4,parties,2025,CBS Netherlands / government statistics,https://www.cbs.nl/,
Government,Parliament,total seats,,,150,seats,2025,CBS Netherlands / government statistics,https://www.cbs.nl/,Lower/main chamber.
Government,Parliament,seats by party,,D66,26,seats,2025,CBS Netherlands / government statistics,https://www.cbs.nl/,
Government,Parliament,seats by party,,PVV,26,seats,2025,CBS Netherlands / government statistics,https://www.cbs.nl/,
Government,Parliament,seats by party,,VVD,22,seats,2025,CBS Netherlands / government statistics,https://www.cbs.nl/,
Government,Parliament,seats by party,,GroenLinks–PvdA,20,seats,2025,CBS Netherlands / government statistics,https://www.cbs.nl/,
Government,Parliament,seats by party,,CDA,18,seats,2025,CBS Netherlands / government statistics,https://www.cbs.nl/,
Government,Parliament,seats by party,,JA21,9,seats,2025,CBS Netherlands / government statistics,https://www.cbs.nl/,
Government,Parliament,seats by party,,Others,29,seats,2025,CBS Netherlands / government statistics,https://www.cbs.nl/,
Government,Parliament,majority threshold,,,76,seats,2025,CBS Netherlands / government statistics,https://www.cbs.nl/,
Government,Parliament,coalition seat total,,,81,seats,2025,Modeled estimate — coalition seats,https://www.cbs.nl/,Modeled estimate (population-scaled from published patterns); not an official published figure.
Government,Parliament,opposition seat total,,,69,seats,2025,Modeled estimate — opposition seats,https://www.cbs.nl/,Modeled estimate (population-scaled from published patterns); not an official published figure.
Government,Parliament,number of parties represented,,,7,parties,2025,CBS Netherlands / government statistics,https://www.cbs.nl/,Top groupings shown above.
Government,Parliament,party fragmentation index,,,5.2,effective number of parties,2025,Modeled estimate — fragmentation,https://www.cbs.nl/,Modeled estimate (population-scaled from published patterns); not an official published figure.
Government,Parliament,trust in parliament,,,53,percent,2025,Eurobarometer/OECD-style survey (modeled),https://europa.eu/eurobarometer,Modeled estimate (population-scaled from published patterns); not an official published figure.
Government,Parliament,trust in government,,,51,percent,2025,Eurobarometer/OECD-style survey (modeled),https://europa.eu/eurobarometer,Modeled estimate (population-scaled from published patterns); not an official published figure.
