Country,Metric,Submetric,Breakdown,Value,Unit,Reference Year,Source Name,Source URL,Notes
Netherlands,Healthcare expenditure,Share of GDP,Total,10.2,percent of GDP,2024,CBS Netherlands / health statistics,https://www.cbs.nl/,Latest published health expenditure share of GDP.
Netherlands,Healthcare expenditure,Per capita,Total,5600,EUR per person,2024,CBS Netherlands / health statistics,https://www.cbs.nl/,Approximate per-capita health expenditure (EUR-converted).
Netherlands,Healthcare expenditure,Public/private split,Public financing share,84,percent of current health expenditure,2024,CBS Netherlands / health statistics,https://www.cbs.nl/,Public share of current health expenditure.
Netherlands,Healthcare expenditure,Public/private split,Private financing share,16,percent of current health expenditure,2024,CBS Netherlands / health statistics,https://www.cbs.nl/,Residual private share.
Netherlands,Obesity rate,Adult,Total,15.5,percent of adults,2024,WHO / CBS Netherlands / health statistics,https://www.cbs.nl/,Adult obesity prevalence (BMI 30+).
Netherlands,Smoking prevalence,Adult,Total,19,percent of adults,2024,WHO / CBS Netherlands / health statistics,https://www.cbs.nl/,Adult smoking prevalence.
Netherlands,Suicide Rate,,Total,10.6,"per 100,000 population",2024,WHO / CBS Netherlands / health statistics,https://www.cbs.nl/,Age-standardised suicide rate.
Netherlands,"Physicians per 1,000 people",,,3.9,"physicians per 1,000",2024,OECD/WHO / CBS Netherlands / health statistics,https://www.cbs.nl/,Practising physicians density.
Netherlands,Total number of doctors,,,70200,physicians,2024,OECD/WHO / CBS Netherlands / health statistics,https://www.cbs.nl/,Derived: physician density × population. Modeled derivation.
Netherlands,Healthy life expectancy,At birth,Total,71.4,years,2024,WHO,https://www.who.int/data/gho,WHO healthy life expectancy (HALE) at birth.
Netherlands,Preventable mortality rate,,,120,"per 100,000 population",2024,OECD/Eurostat,https://ec.europa.eu/eurostat,Preventable mortality.
Netherlands,Alcohol consumption,,Total,8.1,litres pure alcohol per capita 15+,2024,WHO / CBS Netherlands / health statistics,https://www.cbs.nl/,Annual per-capita alcohol consumption.
