country,year,age_group,male_population,female_population,total_population
Netherlands,2025,0-4,451934,427655,879589
Netherlands,2025,5-9,488274,464534,952808
Netherlands,2025,10-14,458357,434957,893314
Netherlands,2025,15-19,453388,430242,883630
Netherlands,2025,20-24,477150,453957,931107
Netherlands,2025,25-29,557697,490324,1048021
Netherlands,2025,30-34,583215,537897,1121112
Netherlands,2025,35-39,637471,593056,1230527
Netherlands,2025,40-44,581537,581075,1162612
Netherlands,2025,45-49,541101,540645,1081746
Netherlands,2025,50-54,552253,551802,1104055
Netherlands,2025,55-59,691098,690653,1381751
Netherlands,2025,60-64,678559,698675,1377234
Netherlands,2025,65-69,544116,583970,1128086
Netherlands,2025,70-74,420440,500053,920493
Netherlands,2025,75-79,313959,372364,686323
Netherlands,2025,80-84,255889,334142,590031
Netherlands,2025,85-89,170219,269656,439875
Netherlands,2025,90-94,49443,99796,149239
Netherlands,2025,95-99,9193,25653,34846
Netherlands,2025,100+,767,2834,3601
