Section,Subsection,Metric,Submetric,Breakdown,Value,Unit,Reference Year,Source Name,Source URL,Notes
Government,Overview,head of government,,,Christopher Luxon,name,2025,https://www.stats.govt.nz/ / government statistics,false,Head of government as of late 2025/early 2026.
Government,Overview,head of government political party,,,National,party,2025,https://www.stats.govt.nz/ / government statistics,false,
Government,Overview,head of government political ideology,,,centre-right,ideology,2025,https://www.stats.govt.nz/ / government statistics,false,
Government,Overview,governing coalition,,,National–ACT–NZ First coalition,coalition,2025,https://www.stats.govt.nz/ / government statistics,false,
Government,Overview,number of coalition parties,,,3,parties,2025,https://www.stats.govt.nz/ / government statistics,false,
Government,Parliament,total seats,,,123,seats,2025,https://www.stats.govt.nz/ / government statistics,false,Lower/main chamber.
Government,Parliament,seats by party,,National,49,seats,2025,https://www.stats.govt.nz/ / government statistics,false,
Government,Parliament,seats by party,,Labour,34,seats,2025,https://www.stats.govt.nz/ / government statistics,false,
Government,Parliament,seats by party,,Greens,15,seats,2025,https://www.stats.govt.nz/ / government statistics,false,
Government,Parliament,seats by party,,ACT,11,seats,2025,https://www.stats.govt.nz/ / government statistics,false,
Government,Parliament,seats by party,,NZ First,8,seats,2025,https://www.stats.govt.nz/ / government statistics,false,
Government,Parliament,seats by party,,Te Pāti Māori,6,seats,2025,https://www.stats.govt.nz/ / government statistics,false,
Government,Parliament,majority threshold,,,62,seats,2025,https://www.stats.govt.nz/ / government statistics,false,
Government,Parliament,coalition seat total,,,66,seats,2025,Modeled estimate — coalition seats,false,Modeled estimate (population-scaled from published patterns); not an official published figure.
Government,Parliament,opposition seat total,,,57,seats,2025,Modeled estimate — opposition seats,false,Modeled estimate (population-scaled from published patterns); not an official published figure.
Government,Parliament,number of parties represented,,,6,parties,2025,https://www.stats.govt.nz/ / government statistics,false,Top groupings shown above.
Government,Parliament,party fragmentation index,,,4.7,effective number of parties,2025,Modeled estimate — fragmentation,false,Modeled estimate (population-scaled from published patterns); not an official published figure.
Government,Parliament,trust in parliament,,,56,percent,2025,Eurobarometer/OECD-style survey (modeled),https://europa.eu/eurobarometer,Modeled estimate (population-scaled from published patterns); not an official published figure.
Government,Parliament,trust in government,,,54,percent,2025,Eurobarometer/OECD-style survey (modeled),https://europa.eu/eurobarometer,Modeled estimate (population-scaled from published patterns); not an official published figure.
Government,Parliament,trust in political parties,,,42,percent,2025,Eurobarometer/OECD-style survey (modeled),https://europa.eu/eurobarometer,Modeled estimate (population-scaled from published patterns); not an official published figure.
Government,Parliament,trust in courts,,,70,percent,2025,Eurobarometer/OECD-style survey (modeled),https://europa.eu/eurobarometer,Modeled estimate (population-scaled from published patterns); not an official published figure.
Government,Parliament,trust in police,,,80,percent,2025,Eurobarometer/OECD-style survey (modeled),https://europa.eu/eurobarometer,Modeled estimate (population-scaled from published patterns); not an official published figure.
Government,Parliament,satisfaction with democracy,,,63,percent,2025,Eurobarometer/OECD-style survey (modeled),https://europa.eu/eurobarometer,Modeled estimate (population-scaled from published patterns); not an official published figure.
Government,Parliament,perceived corruption,,,17,inverted CPI (100−score),2025,Transparency International CPI 2024,https://www.transparency.org/en/cpi/2024,Derived from the real CPI score (83).
Government,Policies,immigration law changes,,,3,major changes since 2015,2025,Modeled estimate — policy count,false,Modeled estimate (population-scaled from published patterns); not an official published figure.
Government,Policies,asylum law changes,,,2,major changes since 2015,2025,Modeled estimate — policy count,false,Modeled estimate (population-scaled from published patterns); not an official published figure.
Government,Policies,citizenship law changes,,,2,major changes since 2015,2025,Modeled estimate — policy count,false,Modeled estimate (population-scaled from published patterns); not an official published figure.
Government,Policies,criminal justice reforms,,,3,major changes since 2015,2025,Modeled estimate — policy count,false,Modeled estimate (population-scaled from published patterns); not an official published figure.
Government,Policies,education reforms,,,3,major changes since 2015,2025,Modeled estimate — policy count,false,Modeled estimate (population-scaled from published patterns); not an official published figure.
