Country,Metric,Submetric,Breakdown,Value,Unit,Reference Year,Source Name,Source URL,Notes
New Zealand,Healthcare expenditure,Share of GDP,Total,10,percent of GDP,2024,https://www.stats.govt.nz/ / health statistics,false,Latest published health expenditure share of GDP.
New Zealand,Healthcare expenditure,Per capita,Total,4200,EUR per person,2024,https://www.stats.govt.nz/ / health statistics,false,Approximate per-capita health expenditure (EUR-converted).
New Zealand,Healthcare expenditure,Public/private split,Public financing share,80,percent of current health expenditure,2024,https://www.stats.govt.nz/ / health statistics,false,Public share of current health expenditure.
New Zealand,Healthcare expenditure,Public/private split,Private financing share,20,percent of current health expenditure,2024,https://www.stats.govt.nz/ / health statistics,false,Residual private share.
New Zealand,Obesity rate,Adult,Total,34.3,percent of adults,2024,WHO / https://www.stats.govt.nz/ / health statistics,false,Adult obesity prevalence (BMI 30+).
New Zealand,Smoking prevalence,Adult,Total,8,percent of adults,2024,WHO / https://www.stats.govt.nz/ / health statistics,false,Adult smoking prevalence.
New Zealand,Suicide Rate,,Total,11.2,"per 100,000 population",2024,WHO / https://www.stats.govt.nz/ / health statistics,false,Age-standardised suicide rate.
New Zealand,"Physicians per 1,000 people",,,3.6,"physicians per 1,000",2024,OECD/WHO / https://www.stats.govt.nz/ / health statistics,false,Practising physicians density.
New Zealand,Total number of doctors,,,18900,physicians,2024,OECD/WHO / https://www.stats.govt.nz/ / health statistics,false,Derived: physician density × population. Modeled derivation.
New Zealand,Healthy life expectancy,At birth,Total,70.2,years,2024,WHO,https://www.who.int/data/gho,WHO healthy life expectancy (HALE) at birth.
New Zealand,Preventable mortality rate,,,140,"per 100,000 population",2024,OECD/Eurostat,https://ec.europa.eu/eurostat,Preventable mortality.
New Zealand,Alcohol consumption,,Total,8.5,litres pure alcohol per capita 15+,2024,WHO / https://www.stats.govt.nz/ / health statistics,false,Annual per-capita alcohol consumption.
