country,year,age_group,male_population,female_population,total_population
New Zealand,2025,0-4,151365,143234,294599
New Zealand,2025,5-9,161282,153440,314722
New Zealand,2025,10-14,149237,141618,290855
New Zealand,2025,15-19,145431,138006,283437
New Zealand,2025,20-24,150698,143373,294071
New Zealand,2025,25-29,173322,152384,325706
New Zealand,2025,30-34,178240,164391,342631
New Zealand,2025,35-39,191452,178113,369565
New Zealand,2025,40-44,171507,171370,342877
New Zealand,2025,45-49,156583,156451,313034
New Zealand,2025,50-54,156675,156548,313223
New Zealand,2025,55-59,192047,191923,383970
New Zealand,2025,60-64,184518,189988,374506
New Zealand,2025,65-69,144635,155228,299863
New Zealand,2025,70-74,109125,129788,238913
New Zealand,2025,75-79,79469,94253,173722
New Zealand,2025,80-84,63082,82374,145456
New Zealand,2025,85-89,40810,64650,105460
New Zealand,2025,90-94,11510,23232,34742
New Zealand,2025,95-99,2074,5789,7863
New Zealand,2025,100+,167,619,786
