Country,Metric,Submetric,Breakdown,Value,Unit,Reference Year,Source Name,Source URL,Notes
Norway,Healthcare expenditure,Share of GDP,Total,8,percent of GDP,2024,https://www.ssb.no/ / health statistics,false,Latest published health expenditure share of GDP.
Norway,Healthcare expenditure,Per capita,Total,7300,EUR per person,2024,https://www.ssb.no/ / health statistics,false,Approximate per-capita health expenditure (EUR-converted).
Norway,Healthcare expenditure,Public/private split,Public financing share,86,percent of current health expenditure,2024,https://www.ssb.no/ / health statistics,false,Public share of current health expenditure.
Norway,Healthcare expenditure,Public/private split,Private financing share,14,percent of current health expenditure,2024,https://www.ssb.no/ / health statistics,false,Residual private share.
Norway,Obesity rate,Adult,Total,23.1,percent of adults,2024,WHO / https://www.ssb.no/ / health statistics,false,Adult obesity prevalence (BMI 30+).
Norway,Smoking prevalence,Adult,Total,9,percent of adults,2024,WHO / https://www.ssb.no/ / health statistics,false,Adult smoking prevalence.
Norway,Suicide Rate,,Total,10.6,"per 100,000 population",2024,WHO / https://www.ssb.no/ / health statistics,false,Age-standardised suicide rate.
Norway,"Physicians per 1,000 people",,,5.2,"physicians per 1,000",2024,OECD/WHO / https://www.ssb.no/ / health statistics,false,Practising physicians density.
Norway,Total number of doctors,,,29120,physicians,2024,OECD/WHO / https://www.ssb.no/ / health statistics,false,Derived: physician density × population. Modeled derivation.
Norway,Healthy life expectancy,At birth,Total,71.4,years,2024,WHO,https://www.who.int/data/gho,WHO healthy life expectancy (HALE) at birth.
Norway,Preventable mortality rate,,,110,"per 100,000 population",2024,OECD/Eurostat,https://ec.europa.eu/eurostat,Preventable mortality.
Norway,Alcohol consumption,,Total,7.4,litres pure alcohol per capita 15+,2024,WHO / https://www.ssb.no/ / health statistics,false,Annual per-capita alcohol consumption.
