country,year,age_group,male_population,female_population,total_population
Norway,2025,0-4,152330,144146,296476
Norway,2025,5-9,163227,155290,318517
Norway,2025,10-14,151928,144171,296099
Norway,2025,15-19,148968,141363,290331
Norway,2025,20-24,155363,147811,303174
Norway,2025,25-29,179901,158167,338068
Norway,2025,30-34,186325,171847,358172
Norway,2025,35-39,201637,187589,389226
Norway,2025,40-44,182057,181913,363970
Norway,2025,45-49,167600,167458,335058
Norway,2025,50-54,169174,169035,338209
Norway,2025,55-59,209295,209161,418456
Norway,2025,60-64,203072,209092,412164
Norway,2025,65-69,160842,172624,333466
Norway,2025,70-74,122703,145938,268641
Norway,2025,75-79,90417,107236,197653
Norway,2025,80-84,72680,94906,167586
Norway,2025,85-89,47656,75495,123151
Norway,2025,90-94,13636,27523,41159
Norway,2025,95-99,2496,6965,9461
Norway,2025,100+,205,757,962
