Country,Metric,Submetric,Breakdown,Value,Unit,Reference Year,Source Name,Source URL,Notes
Poland,Total number of abortions,,,400,abortions,2024,GUS Poland / abortion statistics,https://stat.gov.pl/,Near-total abortion ban since 2021; value is the small official legal-abortion count. Estimates of abortions obtained abroad/pills are far higher.
Poland,Abortion ratio,"Per 1,000 births",Germany total,1.5,"abortions per 1,000 births",2024,GUS Poland / abortion statistics,https://stat.gov.pl/,"Derived: abortions per 1,000 births from the totals above."
Poland,Trend in total abortions,5-year change,2024 vs 2019,+6,abortions,2024,Modeled estimate — trend,https://stat.gov.pl/,Modeled estimate (population-scaled from published patterns); not an official published figure.
Poland,Trend in total abortions,10-year change,2024 vs 2014,+9,abortions,2024,Modeled estimate — trend,https://stat.gov.pl/,Modeled estimate (population-scaled from published patterns); not an official published figure.
Poland,Trend in total abortions,Change since recent low,2024 vs 2021,+12,abortions,2024,Modeled estimate — trend,https://stat.gov.pl/,Modeled estimate (population-scaled from published patterns); not an official published figure.
Poland,"Abortion rate per 1,000 women of reproductive age",National age band,Women age 15 to under 50,0,"abortions per 1,000 women",2024,GUS Poland / abortion statistics,https://stat.gov.pl/,Derived from total and estimated women aged 15-49 (23% of population). Modeled derivation.
Poland,Repeat abortions,Women with at least one prior induced abortion,National total,n/a,not available,2024,Modeled estimate — distribution,https://stat.gov.pl/,Near-total abortion ban since 2021; value is the small official legal-abortion count. Estimates of abortions obtained abroad/pills are far higher.
Poland,Gestational age at abortion,Distribution,Under 7 completed weeks,n/a,percent,2024,Modeled estimate — distribution,https://stat.gov.pl/,Near-total abortion ban since 2021; value is the small official legal-abortion count. Estimates of abortions obtained abroad/pills are far higher.
Poland,Gestational age at abortion,Distribution,7–8 completed weeks,n/a,percent,2024,Modeled estimate — distribution,https://stat.gov.pl/,Near-total abortion ban since 2021; value is the small official legal-abortion count. Estimates of abortions obtained abroad/pills are far higher.
Poland,Gestational age at abortion,Distribution,9–11 completed weeks,n/a,percent,2024,Modeled estimate — distribution,https://stat.gov.pl/,Near-total abortion ban since 2021; value is the small official legal-abortion count. Estimates of abortions obtained abroad/pills are far higher.
Poland,Gestational age at abortion,Distribution,12+ completed weeks,n/a,percent,2024,Modeled estimate — distribution,https://stat.gov.pl/,Near-total abortion ban since 2021; value is the small official legal-abortion count. Estimates of abortions obtained abroad/pills are far higher.
Poland,Method of abortion,Aggregated method split,Medical / pill-based,n/a,percent,2024,Modeled estimate — distribution,https://stat.gov.pl/,Near-total abortion ban since 2021; value is the small official legal-abortion count. Estimates of abortions obtained abroad/pills are far higher.
Poland,Method of abortion,Aggregated method split,Surgical,n/a,percent,2024,Modeled estimate — distribution,https://stat.gov.pl/,Near-total abortion ban since 2021; value is the small official legal-abortion count. Estimates of abortions obtained abroad/pills are far higher.
Poland,Late-term abortions,After 12 completed weeks,National total,n/a,abortions,2024,Modeled estimate — distribution,https://stat.gov.pl/,Near-total abortion ban since 2021; value is the small official legal-abortion count. Estimates of abortions obtained abroad/pills are far higher.
Poland,Late-term abortions,After 12 completed weeks,National share,n/a,percent,2024,Modeled estimate — distribution,https://stat.gov.pl/,Near-total abortion ban since 2021; value is the small official legal-abortion count. Estimates of abortions obtained abroad/pills are far higher.
Poland,Number of abortion-providing facilities,Reporting facilities / reporting points,"Germany total, Q4",483,reporting facilities,2024,Modeled estimate — facilities,https://stat.gov.pl/,Modeled estimate (population-scaled from published patterns); not an official published figure.
Poland,Number of abortion-providing facilities,Long-term change,Q4 2003 to Q4 2024,-25,percent,2024,Modeled estimate — facilities,https://stat.gov.pl/,Modeled estimate (population-scaled from published patterns); not an official published figure.
