country,year,age_group,male_population,female_population,total_population
Poland,2025,0-4,921442,871941,1793383
Poland,2025,5-9,995536,947134,1942670
Poland,2025,10-14,934540,886828,1821368
Poland,2025,15-19,924408,877215,1801623
Poland,2025,20-24,972856,925567,1898423
Poland,2025,25-29,1137082,999716,2136798
Poland,2025,30-34,1189110,1096713,2285823
Poland,2025,35-39,1299732,1209176,2508908
Poland,2025,40-44,1185690,1184747,2370437
Poland,2025,45-49,1103245,1102314,2205559
Poland,2025,50-54,1125983,1125063,2251046
Poland,2025,55-59,1409072,1408164,2817236
Poland,2025,60-64,1383507,1424520,2808027
Poland,2025,65-69,1109392,1190651,2300043
Poland,2025,70-74,857230,1019554,1876784
Poland,2025,75-79,640128,759208,1399336
Poland,2025,80-84,521729,681278,1203007
Poland,2025,85-89,347059,549798,896857
Poland,2025,90-94,100809,203473,304282
Poland,2025,95-99,18744,52304,71048
Poland,2025,100+,1564,5779,7343
