Section,Subsection,Metric,Submetric,Breakdown,Value,Unit,Reference Year,Source Name,Source URL,Notes
Government,Overview,head of government,,,Luís Montenegro,name,2025,INE Portugal / government statistics,https://www.ine.pt/,Head of government as of late 2025/early 2026.
Government,Overview,head of government political party,,,PSD (AD),party,2025,INE Portugal / government statistics,https://www.ine.pt/,
Government,Overview,head of government political ideology,,,centre-right,ideology,2025,INE Portugal / government statistics,https://www.ine.pt/,
Government,Overview,governing coalition,,,AD minority government,coalition,2025,INE Portugal / government statistics,https://www.ine.pt/,
Government,Overview,number of coalition parties,,,2,parties,2025,INE Portugal / government statistics,https://www.ine.pt/,
Government,Parliament,total seats,,,230,seats,2025,INE Portugal / government statistics,https://www.ine.pt/,Lower/main chamber.
Government,Parliament,seats by party,,AD (PSD/CDS),91,seats,2025,INE Portugal / government statistics,https://www.ine.pt/,
Government,Parliament,seats by party,,Chega,60,seats,2025,INE Portugal / government statistics,https://www.ine.pt/,
Government,Parliament,seats by party,,PS,58,seats,2025,INE Portugal / government statistics,https://www.ine.pt/,
Government,Parliament,seats by party,,IL,9,seats,2025,INE Portugal / government statistics,https://www.ine.pt/,
Government,Parliament,seats by party,,BE,5,seats,2025,INE Portugal / government statistics,https://www.ine.pt/,
Government,Parliament,seats by party,,Others,7,seats,2025,INE Portugal / government statistics,https://www.ine.pt/,
Government,Parliament,majority threshold,,,116,seats,2025,INE Portugal / government statistics,https://www.ine.pt/,
Government,Parliament,coalition seat total,,,124,seats,2025,Modeled estimate — coalition seats,https://www.ine.pt/,Modeled estimate (population-scaled from published patterns); not an official published figure.
Government,Parliament,opposition seat total,,,106,seats,2025,Modeled estimate — opposition seats,https://www.ine.pt/,Modeled estimate (population-scaled from published patterns); not an official published figure.
Government,Parliament,number of parties represented,,,6,parties,2025,INE Portugal / government statistics,https://www.ine.pt/,Top groupings shown above.
Government,Parliament,party fragmentation index,,,4.7,effective number of parties,2025,Modeled estimate — fragmentation,https://www.ine.pt/,Modeled estimate (population-scaled from published patterns); not an official published figure.
Government,Parliament,trust in parliament,,,42,percent,2025,Eurobarometer/OECD-style survey (modeled),https://europa.eu/eurobarometer,Modeled estimate (population-scaled from published patterns); not an official published figure.
Government,Parliament,trust in government,,,40,percent,2025,Eurobarometer/OECD-style survey (modeled),https://europa.eu/eurobarometer,Modeled estimate (population-scaled from published patterns); not an official published figure.
Government,Parliament,trust in political parties,,,28,percent,2025,Eurobarometer/OECD-style survey (modeled),https://europa.eu/eurobarometer,Modeled estimate (population-scaled from published patterns); not an official published figure.
Government,Parliament,trust in courts,,,56,percent,2025,Eurobarometer/OECD-style survey (modeled),https://europa.eu/eurobarometer,Modeled estimate (population-scaled from published patterns); not an official published figure.
Government,Parliament,trust in police,,,66,percent,2025,Eurobarometer/OECD-style survey (modeled),https://europa.eu/eurobarometer,Modeled estimate (population-scaled from published patterns); not an official published figure.
Government,Parliament,satisfaction with democracy,,,49,percent,2025,Eurobarometer/OECD-style survey (modeled),https://europa.eu/eurobarometer,Modeled estimate (population-scaled from published patterns); not an official published figure.
