country,year,age_group,male_population,female_population,total_population
Portugal,2025,0-4,224384,212329,436713
Portugal,2025,5-9,247241,235221,482462
Portugal,2025,10-14,236713,224629,461342
Portugal,2025,15-19,238820,226627,465447
Portugal,2025,20-24,256365,243903,500268
Portugal,2025,25-29,305654,268729,574383
Portugal,2025,30-34,326072,300736,626808
Portugal,2025,35-39,363604,338270,701874
Portugal,2025,40-44,338421,338152,676573
Portugal,2025,45-49,321293,321022,642315
Portugal,2025,50-54,334609,334336,668945
Portugal,2025,55-59,427319,427043,854362
Portugal,2025,60-64,428204,440897,869101
Portugal,2025,65-69,350464,376135,726599
Portugal,2025,70-74,276432,328777,605209
Portugal,2025,75-79,210734,249935,460669
Portugal,2025,80-84,175362,228988,404350
Portugal,2025,85-89,119114,188697,307811
Portugal,2025,90-94,35333,71316,106649
Portugal,2025,95-99,6710,18724,25434
Portugal,2025,100+,572,2113,2685
