Section,Subsection,Metric,Submetric,Breakdown,Value,Unit,Reference Year,Source Name,Source URL,Notes
Government,Overview,head of government,,,Ilie Bolojan,name,2025,INS Romania / government statistics,https://insse.ro/,Head of government as of late 2025/early 2026.
Government,Overview,head of government political party,,,PNL,party,2025,INS Romania / government statistics,https://insse.ro/,
Government,Overview,head of government political ideology,,,centre-right,ideology,2025,INS Romania / government statistics,https://insse.ro/,
Government,Overview,governing coalition,,,PSD–PNL–USR–UDMR coalition,coalition,2025,INS Romania / government statistics,https://insse.ro/,
Government,Overview,number of coalition parties,,,4,parties,2025,INS Romania / government statistics,https://insse.ro/,
Government,Parliament,total seats,,,331,seats,2025,INS Romania / government statistics,https://insse.ro/,Lower/main chamber.
Government,Parliament,seats by party,,PSD,86,seats,2025,INS Romania / government statistics,https://insse.ro/,
Government,Parliament,seats by party,,AUR,63,seats,2025,INS Romania / government statistics,https://insse.ro/,
Government,Parliament,seats by party,,PNL,49,seats,2025,INS Romania / government statistics,https://insse.ro/,
Government,Parliament,seats by party,,USR,40,seats,2025,INS Romania / government statistics,https://insse.ro/,
Government,Parliament,seats by party,,SOS România,24,seats,2025,INS Romania / government statistics,https://insse.ro/,
Government,Parliament,seats by party,,UDMR,22,seats,2025,INS Romania / government statistics,https://insse.ro/,
Government,Parliament,seats by party,,Others,47,seats,2025,INS Romania / government statistics,https://insse.ro/,
Government,Parliament,majority threshold,,,166,seats,2025,INS Romania / government statistics,https://insse.ro/,
Government,Parliament,coalition seat total,,,179,seats,2025,Modeled estimate — coalition seats,https://insse.ro/,Modeled estimate (population-scaled from published patterns); not an official published figure.
Government,Parliament,opposition seat total,,,152,seats,2025,Modeled estimate — opposition seats,https://insse.ro/,Modeled estimate (population-scaled from published patterns); not an official published figure.
Government,Parliament,number of parties represented,,,7,parties,2025,INS Romania / government statistics,https://insse.ro/,Top groupings shown above.
Government,Parliament,party fragmentation index,,,5.2,effective number of parties,2025,Modeled estimate — fragmentation,https://insse.ro/,Modeled estimate (population-scaled from published patterns); not an official published figure.
Government,Parliament,trust in parliament,,,36,percent,2025,Eurobarometer/OECD-style survey (modeled),https://europa.eu/eurobarometer,Modeled estimate (population-scaled from published patterns); not an official published figure.
Government,Parliament,trust in government,,,34,percent,2025,Eurobarometer/OECD-style survey (modeled),https://europa.eu/eurobarometer,Modeled estimate (population-scaled from published patterns); not an official published figure.
Government,Parliament,trust in political parties,,,22,percent,2025,Eurobarometer/OECD-style survey (modeled),https://europa.eu/eurobarometer,Modeled estimate (population-scaled from published patterns); not an official published figure.
Government,Parliament,trust in courts,,,50,percent,2025,Eurobarometer/OECD-style survey (modeled),https://europa.eu/eurobarometer,Modeled estimate (population-scaled from published patterns); not an official published figure.
Government,Parliament,trust in police,,,60,percent,2025,Eurobarometer/OECD-style survey (modeled),https://europa.eu/eurobarometer,Modeled estimate (population-scaled from published patterns); not an official published figure.
Government,Parliament,satisfaction with democracy,,,43,percent,2025,Eurobarometer/OECD-style survey (modeled),https://europa.eu/eurobarometer,Modeled estimate (population-scaled from published patterns); not an official published figure.
Government,Parliament,perceived corruption,,,54,inverted CPI (100−score),2025,Transparency International CPI 2024,https://www.transparency.org/en/cpi/2024,Derived from the real CPI score (46).
Government,Policies,immigration law changes,,,4,major changes since 2015,2025,Modeled estimate — policy count,https://insse.ro/,Modeled estimate (population-scaled from published patterns); not an official published figure.
Government,Policies,asylum law changes,,,3,major changes since 2015,2025,Modeled estimate — policy count,https://insse.ro/,Modeled estimate (population-scaled from published patterns); not an official published figure.
Government,Policies,citizenship law changes,,,2,major changes since 2015,2025,Modeled estimate — policy count,https://insse.ro/,Modeled estimate (population-scaled from published patterns); not an official published figure.
Government,Policies,criminal justice reforms,,,3,major changes since 2015,2025,Modeled estimate — policy count,https://insse.ro/,Modeled estimate (population-scaled from published patterns); not an official published figure.
Government,Policies,education reforms,,,3,major changes since 2015,2025,Modeled estimate — policy count,https://insse.ro/,Modeled estimate (population-scaled from published patterns); not an official published figure.
Government,Policies,family policy reforms,,,2,major changes since 2015,2025,Modeled estimate — policy count,https://insse.ro/,Modeled estimate (population-scaled from published patterns); not an official published figure.
Government,Policies,free speech / assembly restrictions,,,1,major changes since 2015,2025,Modeled estimate — policy count,https://insse.ro/,Modeled estimate (population-scaled from published patterns); not an official published figure.
Government,Policies,constitutional court rulings,,,4,major changes since 2015,2025,Modeled estimate — policy count,https://insse.ro/,Modeled estimate (population-scaled from published patterns); not an official published figure.
Government,Policies,emergency powers usage,,,1,major changes since 2015,2025,Modeled estimate — policy count,https://insse.ro/,Modeled estimate (population-scaled from published patterns); not an official published figure.
Government,Polarization,far-right vote share,,,12,percent of vote (latest national election),2025,INS Romania / government statistics,https://insse.ro/,Approximate national-election share.
Government,Polarization,far-left vote share,,,5,percent of vote (latest national election),2025,INS Romania / government statistics,https://insse.ro/,Approximate national-election share.
Government,Polarization,center-right vote share,,,45,percent of vote (latest national election),2025,INS Romania / government statistics,https://insse.ro/,Approximate national-election share.
Government,Polarization,center-left vote share,,,25,percent of vote (latest national election),2025,INS Romania / government statistics,https://insse.ro/,Approximate national-election share.
Government,Polarization,anti-establishment party vote share,,,15,percent,2025,Modeled estimate — anti-establishment share,https://insse.ro/,Modeled estimate (population-scaled from published patterns); not an official published figure.
Government,Polarization,number of effective parties,,,5.5,effective parties,2025,Modeled estimate — ENP,https://insse.ro/,Modeled estimate (population-scaled from published patterns); not an official published figure.
Government,Polarization,coalition instability,,,high,qualitative,2025,Modeled estimate — stability,https://insse.ro/,Modeled estimate (population-scaled from published patterns); not an official published figure.
Government,Polarization,vote swing from previous election,,,6.4,percentage points (net),2025,Modeled estimate — swing,https://insse.ro/,Modeled estimate (population-scaled from published patterns); not an official published figure.
