Country,Metric,Submetric,Breakdown,Value,Unit,Reference Year,Source Name,Source URL,Notes
Romania,Healthcare expenditure,Share of GDP,Total,6.5,percent of GDP,2024,INS Romania / health statistics,https://insse.ro/,Latest published health expenditure share of GDP.
Romania,Healthcare expenditure,Per capita,Total,1200,EUR per person,2024,INS Romania / health statistics,https://insse.ro/,Approximate per-capita health expenditure (EUR-converted).
Romania,Healthcare expenditure,Public/private split,Public financing share,80,percent of current health expenditure,2024,INS Romania / health statistics,https://insse.ro/,Public share of current health expenditure.
Romania,Healthcare expenditure,Public/private split,Private financing share,20,percent of current health expenditure,2024,INS Romania / health statistics,https://insse.ro/,Residual private share.
Romania,Obesity rate,Adult,Total,22.5,percent of adults,2024,WHO / INS Romania / health statistics,https://insse.ro/,Adult obesity prevalence (BMI 30+).
Romania,Smoking prevalence,Adult,Total,25.8,percent of adults,2024,WHO / INS Romania / health statistics,https://insse.ro/,Adult smoking prevalence.
Romania,Suicide Rate,,Total,7.3,"per 100,000 population",2024,WHO / INS Romania / health statistics,https://insse.ro/,Age-standardised suicide rate.
Romania,"Physicians per 1,000 people",,,3.5,"physicians per 1,000",2024,OECD/WHO / INS Romania / health statistics,https://insse.ro/,Practising physicians density.
Romania,Total number of doctors,,,66500,physicians,2024,OECD/WHO / INS Romania / health statistics,https://insse.ro/,Derived: physician density × population. Modeled derivation.
Romania,Healthy life expectancy,At birth,Total,66.2,years,2024,WHO,https://www.who.int/data/gho,WHO healthy life expectancy (HALE) at birth.
Romania,Preventable mortality rate,,,320,"per 100,000 population",2024,OECD/Eurostat,https://ec.europa.eu/eurostat,Preventable mortality.
Romania,Alcohol consumption,,Total,10.9,litres pure alcohol per capita 15+,2024,WHO / INS Romania / health statistics,https://insse.ro/,Annual per-capita alcohol consumption.
