Country,Metric,Submetric,Breakdown,Value,Unit,Reference Year,Source Name,Source URL,Notes
Romania,Youth unemployment rate,,Ages 15–24,21.5,percent,2024,INS Romania / labour statistics,https://insse.ro/,Latest published youth unemployment rate.
Romania,Long-term unemployment rate,,,2,percent of labour force,2024,INS Romania / labour statistics,https://insse.ro/,Long-term (12m+) unemployment.
Romania,Labour force participation rate,,Total (15–64),57,percent,2024,INS Romania / labour statistics,https://insse.ro/,Latest published participation rate.
Romania,Labour force participation rate,By migrant/native status,Native-born — total,58.5,percent,2024,Modeled estimate — labour,https://insse.ro/,Modeled estimate (population-scaled from published patterns); not an official published figure.
Romania,Labour force participation rate,By migrant/native status,Foreign-born — total,51,percent,2024,Modeled estimate — labour,https://insse.ro/,Modeled estimate (population-scaled from published patterns); not an official published figure.
Romania,Labour force participation rate,By migrant/native status,Native-born — men,62,percent,2024,Modeled estimate — labour,https://insse.ro/,Modeled estimate (population-scaled from published patterns); not an official published figure.
Romania,Labour force participation rate,By migrant/native status,Foreign-born — men,56,percent,2024,Modeled estimate — labour,https://insse.ro/,Modeled estimate (population-scaled from published patterns); not an official published figure.
Romania,Labour force participation rate,By migrant/native status,Native-born — women,55,percent,2024,Modeled estimate — labour,https://insse.ro/,Modeled estimate (population-scaled from published patterns); not an official published figure.
Romania,Labour force participation rate,By migrant/native status,Foreign-born — women,45,percent,2024,Modeled estimate — labour,https://insse.ro/,Modeled estimate (population-scaled from published patterns); not an official published figure.
Romania,Minimum wage,,,"RON 4,050/month",statutory minimum,2024,INS Romania / labour statistics,https://insse.ro/,Statutory minimum wage (or none where wages are set by collective agreements).
Romania,Average annual working hours per worker,,,1800,hours per year,2024,INS Romania / labour statistics,https://insse.ro/,OECD-style average annual hours actually worked.
