country,year,age_group,male_population,female_population,total_population
Romania,2025,0-4,468933,443741,912674
Romania,2025,5-9,507576,482897,990473
Romania,2025,10-14,477373,453002,930375
Romania,2025,15-19,473106,448952,922058
Romania,2025,20-24,498878,474627,973505
Romania,2025,25-29,584259,513677,1097936
Romania,2025,30-34,612242,564668,1176910
Romania,2025,35-39,670595,623873,1294468
Romania,2025,40-44,613061,612573,1225634
Romania,2025,45-49,571676,571193,1142869
Romania,2025,50-54,584758,584280,1169038
Romania,2025,55-59,733442,732969,1466411
Romania,2025,60-64,721812,743209,1465021
Romania,2025,65-69,580178,622673,1202851
Romania,2025,70-74,449397,534495,983892
Romania,2025,75-79,336420,399003,735423
Romania,2025,80-84,274896,358960,633856
Romania,2025,85-89,183341,290442,473783
Romania,2025,90-94,53397,107777,161174
Romania,2025,95-99,9956,27780,37736
Romania,2025,100+,833,3078,3911
