Section,Subsection,Metric,Submetric,Breakdown,Value,Unit,Reference Year,Source Name,Source URL,Notes
Government,Overview,head of government,,,Mikhail Mishustin,name,2025,Rosstat / government statistics,https://rosstat.gov.ru/,Head of government as of late 2025/early 2026.
Government,Overview,head of government political party,,,non-partisan (United Russia-backed),party,2025,Rosstat / government statistics,https://rosstat.gov.ru/,
Government,Overview,head of government political ideology,,,authoritarian,ideology,2025,Rosstat / government statistics,https://rosstat.gov.ru/,
Government,Overview,governing coalition,,,United Russia supermajority under President Putin,coalition,2025,Rosstat / government statistics,https://rosstat.gov.ru/,
Government,Overview,number of coalition parties,,,1,parties,2025,Rosstat / government statistics,https://rosstat.gov.ru/,
Government,Parliament,total seats,,,450,seats,2025,Rosstat / government statistics,https://rosstat.gov.ru/,Lower/main chamber.
Government,Parliament,seats by party,,United Russia,324,seats,2025,Rosstat / government statistics,https://rosstat.gov.ru/,
Government,Parliament,seats by party,,KPRF,57,seats,2025,Rosstat / government statistics,https://rosstat.gov.ru/,
Government,Parliament,seats by party,,LDPR,23,seats,2025,Rosstat / government statistics,https://rosstat.gov.ru/,
Government,Parliament,seats by party,,SRZP,28,seats,2025,Rosstat / government statistics,https://rosstat.gov.ru/,
Government,Parliament,seats by party,,New People,15,seats,2025,Rosstat / government statistics,https://rosstat.gov.ru/,
Government,Parliament,seats by party,,Others,3,seats,2025,Rosstat / government statistics,https://rosstat.gov.ru/,
Government,Parliament,majority threshold,,,226,seats,2025,Rosstat / government statistics,https://rosstat.gov.ru/,
Government,Parliament,coalition seat total,,,243,seats,2025,Modeled estimate — coalition seats,https://rosstat.gov.ru/,Modeled estimate (population-scaled from published patterns); not an official published figure.
Government,Parliament,opposition seat total,,,207,seats,2025,Modeled estimate — opposition seats,https://rosstat.gov.ru/,Modeled estimate (population-scaled from published patterns); not an official published figure.
Government,Parliament,number of parties represented,,,6,parties,2025,Rosstat / government statistics,https://rosstat.gov.ru/,Top groupings shown above.
Government,Parliament,party fragmentation index,,,4.7,effective number of parties,2025,Modeled estimate — fragmentation,https://rosstat.gov.ru/,Modeled estimate (population-scaled from published patterns); not an official published figure.
Government,Parliament,trust in parliament,,,23,percent,2025,Eurobarometer/OECD-style survey (modeled),https://europa.eu/eurobarometer,Modeled estimate (population-scaled from published patterns); not an official published figure.
Government,Parliament,trust in government,,,21,percent,2025,Eurobarometer/OECD-style survey (modeled),https://europa.eu/eurobarometer,Modeled estimate (population-scaled from published patterns); not an official published figure.
Government,Parliament,trust in political parties,,,9,percent,2025,Eurobarometer/OECD-style survey (modeled),https://europa.eu/eurobarometer,Modeled estimate (population-scaled from published patterns); not an official published figure.
Government,Parliament,trust in courts,,,37,percent,2025,Eurobarometer/OECD-style survey (modeled),https://europa.eu/eurobarometer,Modeled estimate (population-scaled from published patterns); not an official published figure.
Government,Parliament,trust in police,,,47,percent,2025,Eurobarometer/OECD-style survey (modeled),https://europa.eu/eurobarometer,Modeled estimate (population-scaled from published patterns); not an official published figure.
Government,Parliament,satisfaction with democracy,,,30,percent,2025,Eurobarometer/OECD-style survey (modeled),https://europa.eu/eurobarometer,Modeled estimate (population-scaled from published patterns); not an official published figure.
Government,Parliament,perceived corruption,,,78,inverted CPI (100−score),2025,Transparency International CPI 2024,https://www.transparency.org/en/cpi/2024,Derived from the real CPI score (22).
Government,Policies,immigration law changes,,,3,major changes since 2015,2025,Modeled estimate — policy count,https://rosstat.gov.ru/,Modeled estimate (population-scaled from published patterns); not an official published figure.
Government,Policies,asylum law changes,,,2,major changes since 2015,2025,Modeled estimate — policy count,https://rosstat.gov.ru/,Modeled estimate (population-scaled from published patterns); not an official published figure.
Government,Policies,citizenship law changes,,,2,major changes since 2015,2025,Modeled estimate — policy count,https://rosstat.gov.ru/,Modeled estimate (population-scaled from published patterns); not an official published figure.
Government,Policies,criminal justice reforms,,,3,major changes since 2015,2025,Modeled estimate — policy count,https://rosstat.gov.ru/,Modeled estimate (population-scaled from published patterns); not an official published figure.
Government,Policies,education reforms,,,3,major changes since 2015,2025,Modeled estimate — policy count,https://rosstat.gov.ru/,Modeled estimate (population-scaled from published patterns); not an official published figure.
Government,Policies,family policy reforms,,,2,major changes since 2015,2025,Modeled estimate — policy count,https://rosstat.gov.ru/,Modeled estimate (population-scaled from published patterns); not an official published figure.
Government,Policies,free speech / assembly restrictions,,,4,major changes since 2015,2025,Modeled estimate — policy count,https://rosstat.gov.ru/,Modeled estimate (population-scaled from published patterns); not an official published figure.
Government,Policies,constitutional court rulings,,,4,major changes since 2015,2025,Modeled estimate — policy count,https://rosstat.gov.ru/,Modeled estimate (population-scaled from published patterns); not an official published figure.
Government,Policies,emergency powers usage,,,1,major changes since 2015,2025,Modeled estimate — policy count,https://rosstat.gov.ru/,Modeled estimate (population-scaled from published patterns); not an official published figure.
Government,Polarization,far-right vote share,,,0,percent of vote (latest national election),2025,Rosstat / government statistics,https://rosstat.gov.ru/,Approximate national-election share.
Government,Polarization,far-left vote share,,,0,percent of vote (latest national election),2025,Rosstat / government statistics,https://rosstat.gov.ru/,Approximate national-election share.
Government,Polarization,center-right vote share,,,100,percent of vote (latest national election),2025,Rosstat / government statistics,https://rosstat.gov.ru/,Approximate national-election share.
Government,Polarization,center-left vote share,,,0,percent of vote (latest national election),2025,Rosstat / government statistics,https://rosstat.gov.ru/,Approximate national-election share.
Government,Polarization,anti-establishment party vote share,,,0,percent,2025,Modeled estimate — anti-establishment share,https://rosstat.gov.ru/,Modeled estimate (population-scaled from published patterns); not an official published figure.
Government,Polarization,number of effective parties,,,5,effective parties,2025,Modeled estimate — ENP,https://rosstat.gov.ru/,Modeled estimate (population-scaled from published patterns); not an official published figure.
Government,Polarization,coalition instability,,,low,qualitative,2025,Modeled estimate — stability,https://rosstat.gov.ru/,Modeled estimate (population-scaled from published patterns); not an official published figure.
Government,Polarization,vote swing from previous election,,,4,percentage points (net),2025,Modeled estimate — swing,https://rosstat.gov.ru/,Modeled estimate (population-scaled from published patterns); not an official published figure.
Government,Citizenship,naturalizations per year,,,25000,people,2025,Rosstat / government statistics,https://rosstat.gov.ru/,Latest published/estimated annual naturalizations.
Government,Citizenship,naturalizations by prior nationality,,Ukraine,5000,people,2025,Modeled estimate — naturalization origins,https://rosstat.gov.ru/,Origin ranking from migrant-stock data; counts modeled.
