country,year,age_group,male_population,female_population,total_population
Russia,2025,0-4,3971456,3758103,7729559
Russia,2025,5-9,4255542,4048639,8304181
Russia,2025,10-14,3960970,3758750,7719720
Russia,2025,15-19,3883810,3685533,7569343
Russia,2025,20-24,4050535,3853642,7904177
Russia,2025,25-29,4690269,4123655,8813924
Russia,2025,30-34,4857764,4480301,9338065
Russia,2025,35-39,5256979,4890707,10147686
Russia,2025,40-44,4746498,4742727,9489225
Russia,2025,45-49,4369565,4365880,8735445
Russia,2025,50-54,4410598,4406995,8817593
Russia,2025,55-59,5456632,5453116,10909748
Russia,2025,60-64,5294375,5451323,10745698
Russia,2025,65-69,4193398,4500547,8693945
Russia,2025,70-74,3199041,3804806,7003847
Russia,2025,75-79,2357286,2795799,5153085
Russia,2025,80-84,1894876,2474341,4369217
Russia,2025,85-89,1242458,1968256,3210714
Russia,2025,90-94,355513,717571,1073084
Russia,2025,95-99,65077,181587,246664
Russia,2025,100+,5340,19739,25079
