Topic,Published Date,Title,URL,Image
Economy,2026-08-12,"Ad Spending on Wildberries Nosedives After Ukrainian Drone Attacks, Kommersant Reports",https://www.themoscowtimes.com/2026/08/12/ad-spending-on-wildberries-nosedives-after-ukrainian-drone-attacks-kommersant-reports-a93472,
Economy,2026-08-06,Russian Household Incomes Stall as Wartime Economy Loses Momentum,https://www.themoscowtimes.com/2026/08/06/russian-household-incomes-stall-as-wartime-economy-loses-momentum-a93433,
Economy,2026-08-05,"Can ‘Russia’s Amazon’ Survive Ukraine’s Drone Campaign?",https://www.themoscowtimes.com/2026/08/05/can-russias-amazon-survive-ukraines-drone-campaign-a93422,
Economy,2026-08-03,Russian Oil Refining Falls to 24-Year Low After Ukrainian Drone Strikes – Bloomberg,https://www.themoscowtimes.com/2026/08/03/russian-oil-refining-falls-to-24-year-low-after-ukrainian-drone-strikes-bloomberg-a93404,
Economy,2026-07-31,"Russian Banks Lack Cash to Buy Government Debt, Sberbank Executive Says",https://www.themoscowtimes.com/2026/07/31/russian-banks-lack-cash-to-buy-government-debt-sberbank-executive-says-a93391,
Economy,2026-07-29,Russia's Sberbank Warns of Rising Corporate Credit Risks as Bad Loans Increase,https://www.themoscowtimes.com/2026/07/29/russias-sberbank-warns-of-rising-corporate-credit-risks-as-bad-loans-increase-a93374,
Economy,2026-07-25,Russia Turns to State Banks to Help Finance Mounting Wartime Budget Deficit,https://www.themoscowtimes.com/2026/07/25/russia-turns-to-state-banks-to-help-finance-mounting-wartime-budget-deficit-a93336,
Economy,2026-07-24,Russia Slashes Funding for Putin's Technology Projects as Budget Strains Mount,https://www.themoscowtimes.com/2026/07/24/russia-slashes-funding-for-putins-technology-projects-as-budget-strains-mount-a93335,
Economy,2026-07-21,Russia Halts Bond Auctions as Government Debt Selloff Complicates Budget Financing,https://www.themoscowtimes.com/2026/07/21/russia-halts-bond-auctions-as-government-debt-selloff-complicates-budget-financing-a93297,
Economy,2026-07-16,Russia's Fuel Crisis Raises Stagflation Fears as Growth Stalls and Inflation Accelerates,https://www.themoscowtimes.com/2026/07/16/russias-fuel-crisis-raises-stagflation-fears-as-growth-stalls-and-inflation-accelerates-a93272,
Immigration,2026-07-08,State Duma Tightens Rules for Migrant Workers and Their Children,https://www.themoscowtimes.com/2026/07/08/state-duma-tightens-rules-for-migrant-workers-and-their-children-a93201,
Immigration,2026-01-29,Migrant Crackdown Leads to 10% Drop in Foreigners Residing in Russia,https://www.themoscowtimes.com/2026/01/29/migrant-crackdown-leads-to-10-drop-in-foreigners-residing-in-russia-a91812,
Immigration,2026-01-27,Kyrgyzstan Sues Russia at Eurasian Court Over Migrant Families’ Health Insurance,https://www.themoscowtimes.com/2026/01/27/kyrgyzstan-sues-russia-at-eurasian-court-over-migrant-families-health-insurance-a91792,
Immigration,2025-12-10,FSB Says Busted Migrant Legalization Ring,https://www.themoscowtimes.com/2025/12/10/fsb-says-busted-migrant-legalization-ring-a91402,
Immigration,2025-09-22,"Russia’s Taxi Industry Hits a Breaking Point as Prices Soar, Migrants Shut Out and Options Shrink",https://www.themoscowtimes.com/2025/09/22/russias-taxi-industry-hits-a-breaking-point-as-prices-soar-migrants-shut-out-and-options-shrink-a90429,
Immigration,2025-09-04,Uzbekistan Issues Diplomatic Note to Russia Over Video Showing Taxi Driver Insulted as ‘Slave’,https://www.themoscowtimes.com/2025/09/04/uzbekistan-issues-diplomatic-note-to-russia-over-video-showing-taxi-driver-insulted-as-slave-a90424,
Immigration,2025-09-01,"Russian Students Start School Year Marked by Surveillance, War Veterans and Anti-Migrant Measures",https://www.themoscowtimes.com/2025/09/01/russian-students-start-school-year-marked-by-surveillance-war-veterans-and-anti-migrant-measures-a90397,
Immigration,2025-08-11,St. Petersburg Bans Migrant Workers From Delivery Jobs,https://www.themoscowtimes.com/2025/08/11/st-petersburg-bans-migrant-workers-from-delivery-jobs-a90167,
Immigration,2025-07-28,UN Experts Urge Russia to Tackle Forced Labor of Migrant Women,https://www.themoscowtimes.com/2025/07/28/un-experts-urge-russia-to-tackle-forced-labor-of-migrant-women-a89994,
Immigration,2025-07-10,Nizhny Novgorod Region Rolls Back Migrant Work Ban Amid Labor Shortages,https://www.themoscowtimes.com/2025/07/10/nizhny-novgorod-region-rolls-back-migrant-work-ban-amid-labor-shortages-a89758,
Crime,2026-08-13,Novosibirsk Activist Who Documented Farmer Protests Arrested on Terrorism Charges,https://www.themoscowtimes.com/2026/08/13/novosibirsk-activist-who-documented-farmer-protests-arrested-on-terrorism-charges-a93490,
