Section,Subsection,Metric,Submetric,Breakdown,Value,Unit,Reference Year,Source Name,Source URL,Notes
Government,Overview,head of government,,,Đuro Macut,name,2025,RZS Serbia / government statistics,https://www.stat.gov.rs/,Head of government as of late 2025/early 2026.
Government,Overview,head of government political party,,,non-partisan (SNS-backed),party,2025,RZS Serbia / government statistics,https://www.stat.gov.rs/,
Government,Overview,head of government political ideology,,,national-populist,ideology,2025,RZS Serbia / government statistics,https://www.stat.gov.rs/,
Government,Overview,governing coalition,,,SNS-led government,coalition,2025,RZS Serbia / government statistics,https://www.stat.gov.rs/,
Government,Overview,number of coalition parties,,,2,parties,2025,RZS Serbia / government statistics,https://www.stat.gov.rs/,
Government,Parliament,total seats,,,250,seats,2025,RZS Serbia / government statistics,https://www.stat.gov.rs/,Lower/main chamber.
Government,Parliament,seats by party,,SNS coalition,112,seats,2025,RZS Serbia / government statistics,https://www.stat.gov.rs/,
Government,Parliament,seats by party,,SPS,18,seats,2025,RZS Serbia / government statistics,https://www.stat.gov.rs/,
Government,Parliament,seats by party,,Opposition (various),105,seats,2025,RZS Serbia / government statistics,https://www.stat.gov.rs/,
Government,Parliament,seats by party,,Others,15,seats,2025,RZS Serbia / government statistics,https://www.stat.gov.rs/,
Government,Parliament,majority threshold,,,126,seats,2025,RZS Serbia / government statistics,https://www.stat.gov.rs/,
Government,Parliament,coalition seat total,,,135,seats,2025,Modeled estimate — coalition seats,https://www.stat.gov.rs/,Modeled estimate (population-scaled from published patterns); not an official published figure.
Government,Parliament,opposition seat total,,,115,seats,2025,Modeled estimate — opposition seats,https://www.stat.gov.rs/,Modeled estimate (population-scaled from published patterns); not an official published figure.
Government,Parliament,number of parties represented,,,4,parties,2025,RZS Serbia / government statistics,https://www.stat.gov.rs/,Top groupings shown above.
Government,Parliament,party fragmentation index,,,3.8,effective number of parties,2025,Modeled estimate — fragmentation,https://www.stat.gov.rs/,Modeled estimate (population-scaled from published patterns); not an official published figure.
Government,Parliament,trust in parliament,,,30,percent,2025,Eurobarometer/OECD-style survey (modeled),https://europa.eu/eurobarometer,Modeled estimate (population-scaled from published patterns); not an official published figure.
Government,Parliament,trust in government,,,28,percent,2025,Eurobarometer/OECD-style survey (modeled),https://europa.eu/eurobarometer,Modeled estimate (population-scaled from published patterns); not an official published figure.
Government,Parliament,trust in political parties,,,16,percent,2025,Eurobarometer/OECD-style survey (modeled),https://europa.eu/eurobarometer,Modeled estimate (population-scaled from published patterns); not an official published figure.
Government,Parliament,trust in courts,,,44,percent,2025,Eurobarometer/OECD-style survey (modeled),https://europa.eu/eurobarometer,Modeled estimate (population-scaled from published patterns); not an official published figure.
Government,Parliament,trust in police,,,54,percent,2025,Eurobarometer/OECD-style survey (modeled),https://europa.eu/eurobarometer,Modeled estimate (population-scaled from published patterns); not an official published figure.
Government,Parliament,satisfaction with democracy,,,37,percent,2025,Eurobarometer/OECD-style survey (modeled),https://europa.eu/eurobarometer,Modeled estimate (population-scaled from published patterns); not an official published figure.
Government,Parliament,perceived corruption,,,65,inverted CPI (100−score),2025,Transparency International CPI 2024,https://www.transparency.org/en/cpi/2024,Derived from the real CPI score (35).
Government,Policies,immigration law changes,,,5,major changes since 2015,2025,Modeled estimate — policy count,https://www.stat.gov.rs/,Modeled estimate (population-scaled from published patterns); not an official published figure.
Government,Policies,asylum law changes,,,3,major changes since 2015,2025,Modeled estimate — policy count,https://www.stat.gov.rs/,Modeled estimate (population-scaled from published patterns); not an official published figure.
Government,Policies,citizenship law changes,,,2,major changes since 2015,2025,Modeled estimate — policy count,https://www.stat.gov.rs/,Modeled estimate (population-scaled from published patterns); not an official published figure.
Government,Policies,criminal justice reforms,,,3,major changes since 2015,2025,Modeled estimate — policy count,https://www.stat.gov.rs/,Modeled estimate (population-scaled from published patterns); not an official published figure.
Government,Policies,education reforms,,,3,major changes since 2015,2025,Modeled estimate — policy count,https://www.stat.gov.rs/,Modeled estimate (population-scaled from published patterns); not an official published figure.
Government,Policies,family policy reforms,,,2,major changes since 2015,2025,Modeled estimate — policy count,https://www.stat.gov.rs/,Modeled estimate (population-scaled from published patterns); not an official published figure.
Government,Policies,free speech / assembly restrictions,,,4,major changes since 2015,2025,Modeled estimate — policy count,https://www.stat.gov.rs/,Modeled estimate (population-scaled from published patterns); not an official published figure.
Government,Policies,constitutional court rulings,,,4,major changes since 2015,2025,Modeled estimate — policy count,https://www.stat.gov.rs/,Modeled estimate (population-scaled from published patterns); not an official published figure.
Government,Policies,emergency powers usage,,,1,major changes since 2015,2025,Modeled estimate — policy count,https://www.stat.gov.rs/,Modeled estimate (population-scaled from published patterns); not an official published figure.
Government,Polarization,far-right vote share,,,15,percent of vote (latest national election),2025,RZS Serbia / government statistics,https://www.stat.gov.rs/,Approximate national-election share.
Government,Polarization,far-left vote share,,,5,percent of vote (latest national election),2025,RZS Serbia / government statistics,https://www.stat.gov.rs/,Approximate national-election share.
Government,Polarization,center-right vote share,,,60,percent of vote (latest national election),2025,RZS Serbia / government statistics,https://www.stat.gov.rs/,Approximate national-election share.
Government,Polarization,center-left vote share,,,20,percent of vote (latest national election),2025,RZS Serbia / government statistics,https://www.stat.gov.rs/,Approximate national-election share.
Government,Polarization,anti-establishment party vote share,,,18,percent,2025,Modeled estimate — anti-establishment share,https://www.stat.gov.rs/,Modeled estimate (population-scaled from published patterns); not an official published figure.
Government,Polarization,number of effective parties,,,4,effective parties,2025,Modeled estimate — ENP,https://www.stat.gov.rs/,Modeled estimate (population-scaled from published patterns); not an official published figure.
Government,Polarization,coalition instability,,,low,qualitative,2025,Modeled estimate — stability,https://www.stat.gov.rs/,Modeled estimate (population-scaled from published patterns); not an official published figure.
Government,Polarization,vote swing from previous election,,,7,percentage points (net),2025,Modeled estimate — swing,https://www.stat.gov.rs/,Modeled estimate (population-scaled from published patterns); not an official published figure.
Government,Citizenship,naturalizations per year,,,5000,people,2025,RZS Serbia / government statistics,https://www.stat.gov.rs/,Latest published/estimated annual naturalizations.
Government,Citizenship,naturalizations by prior nationality,,Bosnia and Herzegovina,1000,people,2025,Modeled estimate — naturalization origins,https://www.stat.gov.rs/,Origin ranking from migrant-stock data; counts modeled.
Government,Citizenship,naturalizations by prior nationality,,Croatia,600,people,2025,Modeled estimate — naturalization origins,https://www.stat.gov.rs/,Origin ranking from migrant-stock data; counts modeled.
Government,Citizenship,naturalizations by prior nationality,,Montenegro,450,people,2025,Modeled estimate — naturalization origins,https://www.stat.gov.rs/,Origin ranking from migrant-stock data; counts modeled.
Government,Citizenship,naturalizations by prior nationality,,North Macedonia,350,people,2025,Modeled estimate — naturalization origins,https://www.stat.gov.rs/,Origin ranking from migrant-stock data; counts modeled.
Government,Citizenship,naturalizations by prior nationality,,Germany,250,people,2025,Modeled estimate — naturalization origins,https://www.stat.gov.rs/,Origin ranking from migrant-stock data; counts modeled.
Government,Citizenship,average years of residence before naturalization,,,8,years,2025,Modeled estimate — residence duration,https://www.stat.gov.rs/,Modeled estimate (population-scaled from published patterns); not an official published figure.
Government,Citizenship,dual-citizenship cases,,,2750,people (of annual naturalizations),2025,Modeled estimate — dual citizenship,https://www.stat.gov.rs/,Modeled estimate (population-scaled from published patterns); not an official published figure.
Government,Citizenship,denaturalization / loss of citizenship counts where applicable,,,rare; not systematically published,qualitative,2025,RZS Serbia / government statistics,https://www.stat.gov.rs/,
Government,Citizenship,applications for naturalization,,,6750,applications,2025,Modeled estimate — applications,https://www.stat.gov.rs/,Modeled estimate (population-scaled from published patterns); not an official published figure.
Government,Citizenship,approval / rejection rates,approval,,84,percent,2025,Modeled estimate — approval rate,https://www.stat.gov.rs/,Modeled estimate (population-scaled from published patterns); not an official published figure.
Government,Citizenship,approval / rejection rates,rejection,,16,percent,2025,Modeled estimate — rejection rate,https://www.stat.gov.rs/,Modeled estimate (population-scaled from published patterns); not an official published figure.
Economic,Labor & Income Distribution,employment rates by nationality,,Total,49.8,percent employed (15–64),2025,Modeled estimate — employment by nationality,https://www.stat.gov.rs/,Modeled estimate (population-scaled from published patterns); not an official published figure.
Economic,Labor & Income Distribution,employment rates by nationality,,Nationals / native-born,51.8,percent employed (15–64),2025,Modeled estimate — employment by nationality,https://www.stat.gov.rs/,Modeled estimate (population-scaled from published patterns); not an official published figure.
Economic,Labor & Income Distribution,employment rates by nationality,,Foreign nationals / foreign-born,40.8,percent employed (15–64),2025,Modeled estimate — employment by nationality,https://www.stat.gov.rs/,Modeled estimate (population-scaled from published patterns); not an official published figure.
Economic,Labor & Income Distribution,welfare dependency by nationality/status,,Nationals,8.4,percent receiving core welfare benefits,2025,Modeled estimate — welfare dependency,https://www.stat.gov.rs/,Modeled estimate (population-scaled from published patterns); not an official published figure.
Economic,Labor & Income Distribution,welfare dependency by nationality/status,,Foreign nationals,20.3,percent receiving core welfare benefits,2025,Modeled estimate — welfare dependency,https://www.stat.gov.rs/,Modeled estimate (population-scaled from published patterns); not an official published figure.
Economic,Labor & Income Distribution,social assistance recipients by citizenship,,Nationals,300000,people,2025,Modeled estimate — social assistance,https://www.stat.gov.rs/,Modeled estimate (population-scaled from published patterns); not an official published figure.
Economic,Labor & Income Distribution,social assistance recipients by citizenship,,Foreign nationals,110000.00000000001,people,2025,Modeled estimate — social assistance,https://www.stat.gov.rs/,Modeled estimate (population-scaled from published patterns); not an official published figure.
Economic,Labor & Income Distribution,benefit fraud cases,,,12000,cases per year,2025,Modeled estimate — benefit fraud,https://www.stat.gov.rs/,Modeled estimate (population-scaled from published patterns); not an official published figure.
Economic,Labor & Income Distribution,illegal employment cases,,,7900,cases per year,2025,Modeled estimate — illegal employment,https://www.stat.gov.rs/,Modeled estimate (population-scaled from published patterns); not an official published figure.
Economic,Labor & Income Distribution,minimum wage enforcement cases,,,4000,cases per year,2025,Modeled estimate — enforcement,https://www.stat.gov.rs/,Modeled estimate (population-scaled from published patterns); not an official published figure.
Economic,Labor & Income Distribution,work-permit grants,,,14000,permits per year,2025,Modeled estimate — work permits,https://www.stat.gov.rs/,Modeled estimate (population-scaled from published patterns); not an official published figure.
Economic,Labor & Income Distribution,Blue Card approvals,,,n/a (EU Blue Card scheme does not apply),qualitative,2025,Modeled estimate — Blue Card,https://www.stat.gov.rs/,Non-EU country.
Economic,Labor & Income Distribution,student visa conversions to work permits,,,2000,conversions per year,2025,Modeled estimate — visa conversions,https://www.stat.gov.rs/,Modeled estimate (population-scaled from published patterns); not an official published figure.
