Country,Metric,Submetric,Breakdown,Value,Unit,Reference Year,Source Name,Source URL,Notes
Serbia,Youth unemployment rate,,Ages 15–24,24,percent,2024,RZS Serbia / labour statistics,https://www.stat.gov.rs/,Latest published youth unemployment rate.
Serbia,Long-term unemployment rate,,,4,percent of labour force,2024,RZS Serbia / labour statistics,https://www.stat.gov.rs/,Long-term (12m+) unemployment.
Serbia,Labour force participation rate,,Total (15–64),55,percent,2024,RZS Serbia / labour statistics,https://www.stat.gov.rs/,Latest published participation rate.
Serbia,Labour force participation rate,By migrant/native status,Native-born — total,56.5,percent,2024,Modeled estimate — labour,https://www.stat.gov.rs/,Modeled estimate (population-scaled from published patterns); not an official published figure.
Serbia,Labour force participation rate,By migrant/native status,Foreign-born — total,49,percent,2024,Modeled estimate — labour,https://www.stat.gov.rs/,Modeled estimate (population-scaled from published patterns); not an official published figure.
Serbia,Labour force participation rate,By migrant/native status,Native-born — men,60,percent,2024,Modeled estimate — labour,https://www.stat.gov.rs/,Modeled estimate (population-scaled from published patterns); not an official published figure.
Serbia,Labour force participation rate,By migrant/native status,Foreign-born — men,54,percent,2024,Modeled estimate — labour,https://www.stat.gov.rs/,Modeled estimate (population-scaled from published patterns); not an official published figure.
Serbia,Labour force participation rate,By migrant/native status,Native-born — women,53,percent,2024,Modeled estimate — labour,https://www.stat.gov.rs/,Modeled estimate (population-scaled from published patterns); not an official published figure.
Serbia,Labour force participation rate,By migrant/native status,Foreign-born — women,43,percent,2024,Modeled estimate — labour,https://www.stat.gov.rs/,Modeled estimate (population-scaled from published patterns); not an official published figure.
Serbia,Minimum wage,,,"RSD 53,592/month",statutory minimum,2024,RZS Serbia / labour statistics,https://www.stat.gov.rs/,Statutory minimum wage (or none where wages are set by collective agreements).
Serbia,Average annual working hours per worker,,,1780,hours per year,2024,RZS Serbia / labour statistics,https://www.stat.gov.rs/,OECD-style average annual hours actually worked.
