country,year,age_group,male_population,female_population,total_population
Serbia,2025,0-4,157207,148761,305968
Serbia,2025,5-9,170828,162523,333351
Serbia,2025,10-14,161302,153068,314370
Serbia,2025,15-19,160505,152311,312816
Serbia,2025,20-24,169941,161681,331622
Serbia,2025,25-29,199853,175709,375562
Serbia,2025,30-34,210307,193966,404273
Serbia,2025,35-39,231338,215219,446557
Serbia,2025,40-44,212408,212239,424647
Serbia,2025,45-49,198942,198775,397717
Serbia,2025,50-54,204405,204239,408644
Serbia,2025,55-59,257544,257378,514922
Serbia,2025,60-64,254630,262179,516809
Serbia,2025,65-69,205626,220688,426314
Serbia,2025,70-74,160034,190337,350371
Serbia,2025,75-79,120382,142775,263157
Serbia,2025,80-84,98850,129078,227928
Serbia,2025,85-89,66257,104962,171219
Serbia,2025,90-94,19395,39147,58542
Serbia,2025,95-99,3635,10142,13777
Serbia,2025,100+,306,1129,1435
