country,year,age_group,male_population,female_population,total_population
Slovakia,2025,0-4,137870,130464,268334
Slovakia,2025,5-9,148692,141463,290155
Slovakia,2025,10-14,139329,132215,271544
Slovakia,2025,15-19,137562,130539,268101
Slovakia,2025,20-24,144495,137472,281967
Slovakia,2025,25-29,168558,148195,316753
Slovakia,2025,30-34,175917,162248,338165
Slovakia,2025,35-39,191888,178519,370407
Slovakia,2025,40-44,174683,174544,349227
Slovakia,2025,45-49,162185,162049,324234
Slovakia,2025,50-54,165161,165026,330187
Slovakia,2025,55-59,206214,206081,412295
Slovakia,2025,60-64,201999,207987,409986
Slovakia,2025,65-69,161587,173423,335010
Slovakia,2025,70-74,124550,148135,272685
Slovakia,2025,75-79,92770,110028,202798
Slovakia,2025,80-84,75414,98475,173889
Slovakia,2025,85-89,50031,79257,129288
Slovakia,2025,90-94,14492,29251,43743
Slovakia,2025,95-99,2687,7497,10184
Slovakia,2025,100+,223,826,1049
