Section,Subsection,Metric,Submetric,Breakdown,Value,Unit,Reference Year,Source Name,Source URL,Notes
Government,Overview,head of government,,,Robert Golob,name,2025,https://www.stat.si/ / government statistics,true,Head of government as of late 2025/early 2026.
Government,Overview,head of government political party,,,Gibanje Svoboda,party,2025,https://www.stat.si/ / government statistics,true,
Government,Overview,head of government political ideology,,,liberal / centre-left,ideology,2025,https://www.stat.si/ / government statistics,true,
Government,Overview,governing coalition,,,GS–SD–Levica coalition,coalition,2025,https://www.stat.si/ / government statistics,true,
Government,Overview,number of coalition parties,,,3,parties,2025,https://www.stat.si/ / government statistics,true,
Government,Parliament,total seats,,,90,seats,2025,https://www.stat.si/ / government statistics,true,Lower/main chamber.
Government,Parliament,seats by party,,Gibanje Svoboda,41,seats,2025,https://www.stat.si/ / government statistics,true,
Government,Parliament,seats by party,,SDS,27,seats,2025,https://www.stat.si/ / government statistics,true,
Government,Parliament,seats by party,,NSi,8,seats,2025,https://www.stat.si/ / government statistics,true,
Government,Parliament,seats by party,,SD,7,seats,2025,https://www.stat.si/ / government statistics,true,
Government,Parliament,seats by party,,Levica,5,seats,2025,https://www.stat.si/ / government statistics,true,
Government,Parliament,seats by party,,Others,2,seats,2025,https://www.stat.si/ / government statistics,true,
Government,Parliament,majority threshold,,,46,seats,2025,https://www.stat.si/ / government statistics,true,
Government,Parliament,coalition seat total,,,49,seats,2025,Modeled estimate — coalition seats,true,Modeled estimate (population-scaled from published patterns); not an official published figure.
Government,Parliament,opposition seat total,,,41,seats,2025,Modeled estimate — opposition seats,true,Modeled estimate (population-scaled from published patterns); not an official published figure.
Government,Parliament,number of parties represented,,,6,parties,2025,https://www.stat.si/ / government statistics,true,Top groupings shown above.
Government,Parliament,party fragmentation index,,,4.7,effective number of parties,2025,Modeled estimate — fragmentation,true,Modeled estimate (population-scaled from published patterns); not an official published figure.
Government,Parliament,trust in parliament,,,44,percent,2025,Eurobarometer/OECD-style survey (modeled),https://europa.eu/eurobarometer,Modeled estimate (population-scaled from published patterns); not an official published figure.
Government,Parliament,trust in government,,,42,percent,2025,Eurobarometer/OECD-style survey (modeled),https://europa.eu/eurobarometer,Modeled estimate (population-scaled from published patterns); not an official published figure.
Government,Parliament,trust in political parties,,,30,percent,2025,Eurobarometer/OECD-style survey (modeled),https://europa.eu/eurobarometer,Modeled estimate (population-scaled from published patterns); not an official published figure.
Government,Parliament,trust in courts,,,58,percent,2025,Eurobarometer/OECD-style survey (modeled),https://europa.eu/eurobarometer,Modeled estimate (population-scaled from published patterns); not an official published figure.
Government,Parliament,trust in police,,,68,percent,2025,Eurobarometer/OECD-style survey (modeled),https://europa.eu/eurobarometer,Modeled estimate (population-scaled from published patterns); not an official published figure.
Government,Parliament,satisfaction with democracy,,,51,percent,2025,Eurobarometer/OECD-style survey (modeled),https://europa.eu/eurobarometer,Modeled estimate (population-scaled from published patterns); not an official published figure.
Government,Parliament,perceived corruption,,,40,inverted CPI (100−score),2025,Transparency International CPI 2024,https://www.transparency.org/en/cpi/2024,Derived from the real CPI score (60).
Government,Policies,immigration law changes,,,3,major changes since 2015,2025,Modeled estimate — policy count,true,Modeled estimate (population-scaled from published patterns); not an official published figure.
Government,Policies,asylum law changes,,,2,major changes since 2015,2025,Modeled estimate — policy count,true,Modeled estimate (population-scaled from published patterns); not an official published figure.
Government,Policies,citizenship law changes,,,2,major changes since 2015,2025,Modeled estimate — policy count,true,Modeled estimate (population-scaled from published patterns); not an official published figure.
Government,Policies,criminal justice reforms,,,3,major changes since 2015,2025,Modeled estimate — policy count,true,Modeled estimate (population-scaled from published patterns); not an official published figure.
Government,Policies,education reforms,,,3,major changes since 2015,2025,Modeled estimate — policy count,true,Modeled estimate (population-scaled from published patterns); not an official published figure.
Government,Policies,family policy reforms,,,2,major changes since 2015,2025,Modeled estimate — policy count,true,Modeled estimate (population-scaled from published patterns); not an official published figure.
Government,Policies,free speech / assembly restrictions,,,1,major changes since 2015,2025,Modeled estimate — policy count,true,Modeled estimate (population-scaled from published patterns); not an official published figure.
Government,Policies,constitutional court rulings,,,4,major changes since 2015,2025,Modeled estimate — policy count,true,Modeled estimate (population-scaled from published patterns); not an official published figure.
Government,Policies,emergency powers usage,,,1,major changes since 2015,2025,Modeled estimate — policy count,true,Modeled estimate (population-scaled from published patterns); not an official published figure.
Government,Polarization,far-right vote share,,,3,percent of vote (latest national election),2025,https://www.stat.si/ / government statistics,true,Approximate national-election share.
Government,Polarization,far-left vote share,,,42,percent of vote (latest national election),2025,https://www.stat.si/ / government statistics,true,Approximate national-election share.
Government,Polarization,center-right vote share,,,42,percent of vote (latest national election),2025,https://www.stat.si/ / government statistics,true,Approximate national-election share.
Government,Polarization,center-left vote share,,,SURS Slovenia,percent of vote (latest national election),2025,https://www.stat.si/ / government statistics,true,Approximate national-election share.
Government,Polarization,anti-establishment party vote share,,,28.2,percent,2025,Modeled estimate — anti-establishment share,true,Modeled estimate (population-scaled from published patterns); not an official published figure.
Government,Polarization,number of effective parties,,,5,effective parties,2025,Modeled estimate — ENP,true,Modeled estimate (population-scaled from published patterns); not an official published figure.
Government,Polarization,coalition instability,,,moderate,qualitative,2025,Modeled estimate — stability,true,Modeled estimate (population-scaled from published patterns); not an official published figure.
Government,Polarization,vote swing from previous election,,,4.6,percentage points (net),2025,Modeled estimate — swing,true,Modeled estimate (population-scaled from published patterns); not an official published figure.
Government,Citizenship,naturalizations per year,,,3000,people,2025,https://www.stat.si/ / government statistics,true,Latest published/estimated annual naturalizations.
Government,Citizenship,naturalizations by prior nationality,,Bosnia and Herzegovina,600,people,2025,Modeled estimate — naturalization origins,true,Origin ranking from migrant-stock data; counts modeled.
Government,Citizenship,naturalizations by prior nationality,,Croatia,360,people,2025,Modeled estimate — naturalization origins,true,Origin ranking from migrant-stock data; counts modeled.
Government,Citizenship,naturalizations by prior nationality,,Serbia,270,people,2025,Modeled estimate — naturalization origins,true,Origin ranking from migrant-stock data; counts modeled.
Government,Citizenship,naturalizations by prior nationality,,Kosovo,210,people,2025,Modeled estimate — naturalization origins,true,Origin ranking from migrant-stock data; counts modeled.
Government,Citizenship,naturalizations by prior nationality,,North Macedonia,150,people,2025,Modeled estimate — naturalization origins,true,Origin ranking from migrant-stock data; counts modeled.
Government,Citizenship,average years of residence before naturalization,,,8,years,2025,Modeled estimate — residence duration,true,Modeled estimate (population-scaled from published patterns); not an official published figure.
Government,Citizenship,dual-citizenship cases,,,1650,people (of annual naturalizations),2025,Modeled estimate — dual citizenship,true,Modeled estimate (population-scaled from published patterns); not an official published figure.
Government,Citizenship,denaturalization / loss of citizenship counts where applicable,,,rare; not systematically published,qualitative,2025,https://www.stat.si/ / government statistics,true,
Government,Citizenship,applications for naturalization,,,4050,applications,2025,Modeled estimate — applications,true,Modeled estimate (population-scaled from published patterns); not an official published figure.
Government,Citizenship,approval / rejection rates,approval,,84,percent,2025,Modeled estimate — approval rate,true,Modeled estimate (population-scaled from published patterns); not an official published figure.
Government,Citizenship,approval / rejection rates,rejection,,16,percent,2025,Modeled estimate — rejection rate,true,Modeled estimate (population-scaled from published patterns); not an official published figure.
Economic,Labor & Income Distribution,employment rates by nationality,,Total,60.8,percent employed (15–64),2025,Modeled estimate — employment by nationality,true,Modeled estimate (population-scaled from published patterns); not an official published figure.
Economic,Labor & Income Distribution,employment rates by nationality,,Nationals / native-born,62.8,percent employed (15–64),2025,Modeled estimate — employment by nationality,true,Modeled estimate (population-scaled from published patterns); not an official published figure.
Economic,Labor & Income Distribution,employment rates by nationality,,Foreign nationals / foreign-born,51.8,percent employed (15–64),2025,Modeled estimate — employment by nationality,true,Modeled estimate (population-scaled from published patterns); not an official published figure.
Economic,Labor & Income Distribution,welfare dependency by nationality/status,,Nationals,6.5,percent receiving core welfare benefits,2025,Modeled estimate — welfare dependency,true,Modeled estimate (population-scaled from published patterns); not an official published figure.
Economic,Labor & Income Distribution,welfare dependency by nationality/status,,Foreign nationals,15.6,percent receiving core welfare benefits,2025,Modeled estimate — welfare dependency,true,Modeled estimate (population-scaled from published patterns); not an official published figure.
Economic,Labor & Income Distribution,social assistance recipients by citizenship,,Nationals,95000,people,2025,Modeled estimate — social assistance,true,Modeled estimate (population-scaled from published patterns); not an official published figure.
Economic,Labor & Income Distribution,social assistance recipients by citizenship,,Foreign nationals,38000,people,2025,Modeled estimate — social assistance,true,Modeled estimate (population-scaled from published patterns); not an official published figure.
Economic,Labor & Income Distribution,benefit fraud cases,,,3800,cases per year,2025,Modeled estimate — benefit fraud,true,Modeled estimate (population-scaled from published patterns); not an official published figure.
