country,year,age_group,male_population,female_population,total_population
Slovenia,2025,0-4,48647,46034,94681
Slovenia,2025,5-9,53087,50506,103593
Slovenia,2025,10-14,50341,47771,98112
Slovenia,2025,15-19,50308,47740,98048
Slovenia,2025,20-24,53496,50896,104392
Slovenia,2025,25-29,63187,55553,118740
Slovenia,2025,30-34,66784,61594,128378
Slovenia,2025,35-39,73786,68645,142431
Slovenia,2025,40-44,68049,67995,136044
Slovenia,2025,45-49,64020,63966,127986
Slovenia,2025,50-54,66073,66020,132093
Slovenia,2025,55-59,83627,83574,167201
Slovenia,2025,60-64,83057,85520,168577
Slovenia,2025,65-69,67380,72316,139696
Slovenia,2025,70-74,52682,62658,115340
Slovenia,2025,75-79,39813,47219,87032
Slovenia,2025,80-84,32844,42889,75733
Slovenia,2025,85-89,22119,35039,57158
Slovenia,2025,90-94,6505,13131,19636
Slovenia,2025,95-99,1225,3418,4643
Slovenia,2025,100+,103,383,486
