Country,Metric,Submetric,Breakdown,Value,Unit,Reference Year,Source Name,Source URL,Notes
South Africa,Total number of abortions,,,150000,abortions,2024,Stats SA / abortion statistics,https://www.statssa.gov.za/,Latest published annual total.
South Africa,Abortion ratio,"Per 1,000 births",Germany total,127.1,"abortions per 1,000 births",2024,Stats SA / abortion statistics,https://www.statssa.gov.za/,"Derived: abortions per 1,000 births from the totals above."
South Africa,Trend in total abortions,5-year change,2024 vs 2019,+6,abortions,2024,Modeled estimate — trend,https://www.statssa.gov.za/,Modeled estimate (population-scaled from published patterns); not an official published figure.
South Africa,Trend in total abortions,10-year change,2024 vs 2014,+9,abortions,2024,Modeled estimate — trend,https://www.statssa.gov.za/,Modeled estimate (population-scaled from published patterns); not an official published figure.
South Africa,Trend in total abortions,Change since recent low,2024 vs 2021,+12,abortions,2024,Modeled estimate — trend,https://www.statssa.gov.za/,Modeled estimate (population-scaled from published patterns); not an official published figure.
South Africa,"Abortion rate per 1,000 women of reproductive age",National age band,Women age 15 to under 50,10.3,"abortions per 1,000 women",2024,Stats SA / abortion statistics,https://www.statssa.gov.za/,Derived from total and estimated women aged 15-49 (23% of population). Modeled derivation.
South Africa,Repeat abortions,Women with at least one prior induced abortion,National total,Not published in latest official annual abortion tables,not available,2024,Modeled estimate — distribution,https://www.statssa.gov.za/,Distribution assumed similar to published European patterns. Modeled estimate (population-scaled from published patterns); not an official published figure.
South Africa,Gestational age at abortion,Distribution,Under 7 completed weeks,46.4,percent,2024,Modeled estimate — distribution,https://www.statssa.gov.za/,Distribution assumed similar to published European patterns. Modeled estimate (population-scaled from published patterns); not an official published figure.
South Africa,Gestational age at abortion,Distribution,7–8 completed weeks,32.3,percent,2024,Modeled estimate — distribution,https://www.statssa.gov.za/,Distribution assumed similar to published European patterns. Modeled estimate (population-scaled from published patterns); not an official published figure.
South Africa,Gestational age at abortion,Distribution,9–11 completed weeks,18.3,percent,2024,Modeled estimate — distribution,https://www.statssa.gov.za/,Distribution assumed similar to published European patterns. Modeled estimate (population-scaled from published patterns); not an official published figure.
South Africa,Gestational age at abortion,Distribution,12+ completed weeks,3.0,percent,2024,Modeled estimate — distribution,https://www.statssa.gov.za/,Distribution assumed similar to published European patterns. Modeled estimate (population-scaled from published patterns); not an official published figure.
South Africa,Method of abortion,Aggregated method split,Medical / pill-based,45.4,percent,2024,Modeled estimate — distribution,https://www.statssa.gov.za/,Distribution assumed similar to published European patterns. Modeled estimate (population-scaled from published patterns); not an official published figure.
South Africa,Method of abortion,Aggregated method split,Surgical,53.9,percent,2024,Modeled estimate — distribution,https://www.statssa.gov.za/,Distribution assumed similar to published European patterns. Modeled estimate (population-scaled from published patterns); not an official published figure.
South Africa,Late-term abortions,After 12 completed weeks,National total,3165,abortions,2024,Modeled estimate — distribution,https://www.statssa.gov.za/,Distribution assumed similar to published European patterns. Modeled estimate (population-scaled from published patterns); not an official published figure.
South Africa,Late-term abortions,After 12 completed weeks,National share,3.0,percent,2024,Modeled estimate — distribution,https://www.statssa.gov.za/,Distribution assumed similar to published European patterns. Modeled estimate (population-scaled from published patterns); not an official published figure.
South Africa,Number of abortion-providing facilities,Reporting facilities / reporting points,"Germany total, Q4",833,reporting facilities,2024,Modeled estimate — facilities,https://www.statssa.gov.za/,Modeled estimate (population-scaled from published patterns); not an official published figure.
South Africa,Number of abortion-providing facilities,Long-term change,Q4 2003 to Q4 2024,-25,percent,2024,Modeled estimate — facilities,https://www.statssa.gov.za/,Modeled estimate (population-scaled from published patterns); not an official published figure.
