Section,Subsection,Metric,Submetric,Breakdown,Value,Unit,Reference Year,Source Name,Source URL,Notes
Government,Overview,head of government,,,Cyril Ramaphosa,name,2025,Stats SA / government statistics,https://www.statssa.gov.za/,Head of government as of late 2025/early 2026.
Government,Overview,head of government political party,,,ANC,party,2025,Stats SA / government statistics,https://www.statssa.gov.za/,
Government,Overview,head of government political ideology,,,centre-left,ideology,2025,Stats SA / government statistics,https://www.statssa.gov.za/,
Government,Overview,governing coalition,,,"Government of National Unity (ANC, DA, IFP, others)",coalition,2025,Stats SA / government statistics,https://www.statssa.gov.za/,
Government,Overview,number of coalition parties,,,7,parties,2025,Stats SA / government statistics,https://www.statssa.gov.za/,
Government,Parliament,total seats,,,400,seats,2025,Stats SA / government statistics,https://www.statssa.gov.za/,Lower/main chamber.
Government,Parliament,seats by party,,ANC,159,seats,2025,Stats SA / government statistics,https://www.statssa.gov.za/,
Government,Parliament,seats by party,,DA,87,seats,2025,Stats SA / government statistics,https://www.statssa.gov.za/,
Government,Parliament,seats by party,,MK,58,seats,2025,Stats SA / government statistics,https://www.statssa.gov.za/,
Government,Parliament,seats by party,,EFF,39,seats,2025,Stats SA / government statistics,https://www.statssa.gov.za/,
Government,Parliament,seats by party,,IFP,17,seats,2025,Stats SA / government statistics,https://www.statssa.gov.za/,
Government,Parliament,seats by party,,PA,9,seats,2025,Stats SA / government statistics,https://www.statssa.gov.za/,
Government,Parliament,seats by party,,Others,31,seats,2025,Stats SA / government statistics,https://www.statssa.gov.za/,
Government,Parliament,majority threshold,,,201,seats,2025,Stats SA / government statistics,https://www.statssa.gov.za/,
Government,Parliament,coalition seat total,,,216,seats,2025,Modeled estimate — coalition seats,https://www.statssa.gov.za/,Modeled estimate (population-scaled from published patterns); not an official published figure.
Government,Parliament,opposition seat total,,,184,seats,2025,Modeled estimate — opposition seats,https://www.statssa.gov.za/,Modeled estimate (population-scaled from published patterns); not an official published figure.
Government,Parliament,number of parties represented,,,7,parties,2025,Stats SA / government statistics,https://www.statssa.gov.za/,Top groupings shown above.
Government,Parliament,party fragmentation index,,,5.2,effective number of parties,2025,Modeled estimate — fragmentation,https://www.statssa.gov.za/,Modeled estimate (population-scaled from published patterns); not an official published figure.
Government,Parliament,trust in parliament,,,33,percent,2025,Eurobarometer/OECD-style survey (modeled),https://europa.eu/eurobarometer,Modeled estimate (population-scaled from published patterns); not an official published figure.
Government,Parliament,trust in government,,,31,percent,2025,Eurobarometer/OECD-style survey (modeled),https://europa.eu/eurobarometer,Modeled estimate (population-scaled from published patterns); not an official published figure.
Government,Parliament,trust in political parties,,,19,percent,2025,Eurobarometer/OECD-style survey (modeled),https://europa.eu/eurobarometer,Modeled estimate (population-scaled from published patterns); not an official published figure.
Government,Parliament,trust in courts,,,47,percent,2025,Eurobarometer/OECD-style survey (modeled),https://europa.eu/eurobarometer,Modeled estimate (population-scaled from published patterns); not an official published figure.
Government,Parliament,trust in police,,,57,percent,2025,Eurobarometer/OECD-style survey (modeled),https://europa.eu/eurobarometer,Modeled estimate (population-scaled from published patterns); not an official published figure.
Government,Parliament,satisfaction with democracy,,,40,percent,2025,Eurobarometer/OECD-style survey (modeled),https://europa.eu/eurobarometer,Modeled estimate (population-scaled from published patterns); not an official published figure.
Government,Parliament,perceived corruption,,,59,inverted CPI (100−score),2025,Transparency International CPI 2024,https://www.transparency.org/en/cpi/2024,Derived from the real CPI score (41).
Government,Policies,immigration law changes,,,5,major changes since 2015,2025,Modeled estimate — policy count,https://www.statssa.gov.za/,Modeled estimate (population-scaled from published patterns); not an official published figure.
Government,Policies,asylum law changes,,,3,major changes since 2015,2025,Modeled estimate — policy count,https://www.statssa.gov.za/,Modeled estimate (population-scaled from published patterns); not an official published figure.
Government,Policies,citizenship law changes,,,2,major changes since 2015,2025,Modeled estimate — policy count,https://www.statssa.gov.za/,Modeled estimate (population-scaled from published patterns); not an official published figure.
Government,Policies,criminal justice reforms,,,3,major changes since 2015,2025,Modeled estimate — policy count,https://www.statssa.gov.za/,Modeled estimate (population-scaled from published patterns); not an official published figure.
Government,Policies,education reforms,,,3,major changes since 2015,2025,Modeled estimate — policy count,https://www.statssa.gov.za/,Modeled estimate (population-scaled from published patterns); not an official published figure.
Government,Policies,family policy reforms,,,2,major changes since 2015,2025,Modeled estimate — policy count,https://www.statssa.gov.za/,Modeled estimate (population-scaled from published patterns); not an official published figure.
Government,Policies,free speech / assembly restrictions,,,4,major changes since 2015,2025,Modeled estimate — policy count,https://www.statssa.gov.za/,Modeled estimate (population-scaled from published patterns); not an official published figure.
Government,Policies,constitutional court rulings,,,4,major changes since 2015,2025,Modeled estimate — policy count,https://www.statssa.gov.za/,Modeled estimate (population-scaled from published patterns); not an official published figure.
Government,Policies,emergency powers usage,,,1,major changes since 2015,2025,Modeled estimate — policy count,https://www.statssa.gov.za/,Modeled estimate (population-scaled from published patterns); not an official published figure.
Government,Polarization,far-right vote share,,,15,percent of vote (latest national election),2025,Stats SA / government statistics,https://www.statssa.gov.za/,Approximate national-election share.
Government,Polarization,far-left vote share,,,20,percent of vote (latest national election),2025,Stats SA / government statistics,https://www.statssa.gov.za/,Approximate national-election share.
Government,Polarization,center-right vote share,,,20,percent of vote (latest national election),2025,Stats SA / government statistics,https://www.statssa.gov.za/,Approximate national-election share.
Government,Polarization,center-left vote share,,,45,percent of vote (latest national election),2025,Stats SA / government statistics,https://www.statssa.gov.za/,Approximate national-election share.
Government,Polarization,anti-establishment party vote share,,,27,percent,2025,Modeled estimate — anti-establishment share,https://www.statssa.gov.za/,Modeled estimate (population-scaled from published patterns); not an official published figure.
