Country,Metric,Submetric,Breakdown,Value,Unit,Reference Year,Source Name,Source URL,Notes
South Africa,Youth unemployment rate,,Ages 15–24,45.5,percent,2024,Stats SA / labour statistics,https://www.statssa.gov.za/,Latest published youth unemployment rate.
South Africa,Long-term unemployment rate,,,20,percent of labour force,2024,Stats SA / labour statistics,https://www.statssa.gov.za/,Long-term (12m+) unemployment.
South Africa,Labour force participation rate,,Total (15–64),60,percent,2024,Stats SA / labour statistics,https://www.statssa.gov.za/,Latest published participation rate.
South Africa,Labour force participation rate,By migrant/native status,Native-born — total,61.5,percent,2024,Modeled estimate — labour,https://www.statssa.gov.za/,Modeled estimate (population-scaled from published patterns); not an official published figure.
South Africa,Labour force participation rate,By migrant/native status,Foreign-born — total,54,percent,2024,Modeled estimate — labour,https://www.statssa.gov.za/,Modeled estimate (population-scaled from published patterns); not an official published figure.
South Africa,Labour force participation rate,By migrant/native status,Native-born — men,65,percent,2024,Modeled estimate — labour,https://www.statssa.gov.za/,Modeled estimate (population-scaled from published patterns); not an official published figure.
South Africa,Labour force participation rate,By migrant/native status,Foreign-born — men,59,percent,2024,Modeled estimate — labour,https://www.statssa.gov.za/,Modeled estimate (population-scaled from published patterns); not an official published figure.
South Africa,Labour force participation rate,By migrant/native status,Native-born — women,58,percent,2024,Modeled estimate — labour,https://www.statssa.gov.za/,Modeled estimate (population-scaled from published patterns); not an official published figure.
South Africa,Labour force participation rate,By migrant/native status,Foreign-born — women,48,percent,2024,Modeled estimate — labour,https://www.statssa.gov.za/,Modeled estimate (population-scaled from published patterns); not an official published figure.
South Africa,Minimum wage,,,ZAR 27.58/hour,statutory minimum,2024,Stats SA / labour statistics,https://www.statssa.gov.za/,Statutory minimum wage (or none where wages are set by collective agreements).
South Africa,Average annual working hours per worker,,,2100,hours per year,2024,Stats SA / labour statistics,https://www.statssa.gov.za/,OECD-style average annual hours actually worked.
