country,year,age_group,male_population,female_population,total_population
South Africa,2025,0-4,2301784,2178128,4479912
South Africa,2025,5-9,2404418,2287516,4691934
South Africa,2025,10-14,2177983,2066790,4244773
South Africa,2025,15-19,2074359,1968459,4042818
South Africa,2025,20-24,2096965,1995033,4091998
South Africa,2025,25-29,2347996,2064343,4412339
South Africa,2025,30-34,2345270,2163036,4508306
South Africa,2025,35-39,2440219,2270200,4710419
South Africa,2025,40-44,2111022,2109344,4220366
South Africa,2025,45-49,1854582,1853018,3707600
South Africa,2025,50-54,1778172,1776720,3554892
South Africa,2025,55-59,2078250,2076910,4155160
South Africa,2025,60-64,1892633,1948739,3841372
South Africa,2025,65-69,1396050,1498305,2894355
South Africa,2025,70-74,982374,1168395,2150769
South Africa,2025,75-79,659764,782495,1442259
South Africa,2025,80-84,475994,621555,1097549
South Africa,2025,85-89,274475,434813,709288
South Africa,2025,90-94,67150,135536,202686
South Africa,2025,95-99,10084,28137,38221
South Africa,2025,100+,635,2348,2983
