Country,Metric,Submetric,Breakdown,Value,Unit,Reference Year,Source Name,Source URL,Notes
Spain,Total number of abortions,Latest annual total,National total,103097,abortions,2023,Ministerio de Sanidad — Interrupción Voluntaria del Embarazo,https://www.sanidad.gob.es/areas/promocionPrevencion/embarazo/home.htm,Latest published annual total from the national IVE register; the highest recorded since the series began.
Spain,Total number of abortions,Prior year,2022 total,98316,abortions,2022,Ministerio de Sanidad — Interrupción Voluntaria del Embarazo,https://www.sanidad.gob.es/areas/promocionPrevencion/embarazo/home.htm,Comparison year.
Spain,Total number of abortions,Change since recent low,2023 vs 2020,+16.8,percent,2023,Ministerio de Sanidad (derived),https://www.sanidad.gob.es/areas/promocionPrevencion/embarazo/home.htm,"2020 was the pandemic-year low at 88,269; the total has risen every year since."
Spain,Abortion ratio,"Per 1,000 live births",National total,321,"abortions per 1,000 births",2023,Ministerio de Sanidad / INE (derived),https://www.ine.es/,"Derived: 103,097 abortions against roughly 321,000 live births in 2023."
Spain,Abortion ratio,"Per 1,000 women aged 15–44",National rate,12.1,"abortions per 1,000 women",2023,Ministerio de Sanidad — Interrupción Voluntaria del Embarazo,https://www.sanidad.gob.es/areas/promocionPrevencion/embarazo/home.htm,Official national rate; the highest in the published series.
Spain,Gestational age at abortion,Distribution,Up to 8 weeks,64.5,percent,2023,Ministerio de Sanidad — Interrupción Voluntaria del Embarazo,https://www.sanidad.gob.es/areas/promocionPrevencion/embarazo/home.htm,Share performed at 8 completed weeks or earlier.
Spain,Gestational age at abortion,Distribution,9–12 weeks,25.6,percent,2023,Ministerio de Sanidad — Interrupción Voluntaria del Embarazo,https://www.sanidad.gob.es/areas/promocionPrevencion/embarazo/home.htm,Share performed between 9 and 12 completed weeks.
Spain,Gestational age at abortion,Distribution,13–16 weeks,6.0,percent,2023,Ministerio de Sanidad — Interrupción Voluntaria del Embarazo,https://www.sanidad.gob.es/areas/promocionPrevencion/embarazo/home.htm,Share performed between 13 and 16 completed weeks.
Spain,Gestational age at abortion,Distribution,17+ weeks,3.9,percent,2023,Ministerio de Sanidad — Interrupción Voluntaria del Embarazo,https://www.sanidad.gob.es/areas/promocionPrevencion/embarazo/home.htm,Share performed at 17 completed weeks or later.
Spain,Method of abortion,Aggregated method split,Surgical,64.0,percent,2023,Ministerio de Sanidad — Interrupción Voluntaria del Embarazo,https://www.sanidad.gob.es/areas/promocionPrevencion/embarazo/home.htm,"Spain remains surgically dominant, unlike most of northern Europe."
Spain,Method of abortion,Aggregated method split,Medical / pill-based,36.0,percent,2023,Ministerio de Sanidad — Interrupción Voluntaria del Embarazo,https://www.sanidad.gob.es/areas/promocionPrevencion/embarazo/home.htm,Pharmacological share has risen steadily but remains a minority of procedures.
Spain,Late-term abortions,After 12 completed weeks,National share,9.9,percent,2023,Ministerio de Sanidad (derived),https://www.sanidad.gob.es/areas/promocionPrevencion/embarazo/home.htm,Combined 13–16 week and 17+ week shares.
Spain,Late-term abortions,After 12 completed weeks,National total,10207,abortions,2023,Ministerio de Sanidad (derived),https://www.sanidad.gob.es/areas/promocionPrevencion/embarazo/home.htm,"Derived: 9.9% of the 103,097 annual total."
Spain,Number of abortion-providing facilities,Reporting facilities,Accredited centres notifying procedures,203,reporting facilities,2023,Ministerio de Sanidad — Interrupción Voluntaria del Embarazo,https://www.sanidad.gob.es/areas/promocionPrevencion/embarazo/home.htm,Accredited centres that notified at least one procedure in the reference year.
Spain,Number of abortion-providing facilities,Place of procedure,Private accredited clinics,79.0,percent,2023,Ministerio de Sanidad — Interrupción Voluntaria del Embarazo,https://www.sanidad.gob.es/areas/promocionPrevencion/embarazo/home.htm,"Most procedures are carried out in publicly funded private accredited centres rather than public hospitals."
Spain,Number of abortion-providing facilities,Place of procedure,Public hospitals,21.0,percent,2023,Ministerio de Sanidad — Interrupción Voluntaria del Embarazo,https://www.sanidad.gob.es/areas/promocionPrevencion/embarazo/home.htm,"Provision is heavily uneven by region; several provinces report no public-hospital procedures at all."
