Country,Metric,Submetric,Breakdown,Value,Unit,Reference Year,Source Name,Source URL,Notes
Spain,Total annual genital gender-affirming surgeries,Latest annual count,Masculinizing + feminizing genital surgeries,1216,procedures,2024,Modeled estimate — gender-care statistics,true,Modeled estimate (population-scaled from published patterns); not an official published figure.
Spain,Total annual genital gender-affirming surgeries,Trend,2006 to 2022,+390.6,percent change,2024,Modeled estimate — gender-care statistics,true,Rates/percentages assumed similar to published European clinical cohorts. Modeled estimate (population-scaled from published patterns); not an official published figure.
Spain,Masculinizing genital surgeries,Latest annual count,,751,procedures,2024,Modeled estimate — gender-care statistics,true,Modeled estimate (population-scaled from published patterns); not an official published figure.
Spain,Masculinizing genital surgeries,Trend,2006 to 2022,+424,percent change,2024,Modeled estimate — gender-care statistics,true,Rates/percentages assumed similar to published European clinical cohorts. Modeled estimate (population-scaled from published patterns); not an official published figure.
Spain,Feminizing genital surgeries,Latest annual count,,465,procedures,2024,Modeled estimate — gender-care statistics,true,Modeled estimate (population-scaled from published patterns); not an official published figure.
Spain,Feminizing genital surgeries,Trend,2006 to 2022,+343,percent change,2024,Modeled estimate — gender-care statistics,true,Rates/percentages assumed similar to published European clinical cohorts. Modeled estimate (population-scaled from published patterns); not an official published figure.
Spain,Number of facilities/hospitals performing gender-affirming surgeries,Latest annual count,,29,hospitals,2024,Modeled estimate — gender-care statistics,true,Rates/percentages assumed similar to published European clinical cohorts. Modeled estimate (population-scaled from published patterns); not an official published figure.
Spain,Number of facilities/hospitals performing gender-affirming surgeries,Trend,2006 to 2022,+21,percent change,2024,Modeled estimate — gender-care statistics,true,Rates/percentages assumed similar to published European clinical cohorts. Modeled estimate (population-scaled from published patterns); not an official published figure.
Spain,Law on childhood gender-affirming care,Federal medical-care law status,No hard statutory minimum ages,Ley Trans (2023) allows gender self-identification from 16 and medical pathways for minors with parental/judicial involvement.,status,2024,National legal/clinical guidance (summarised),true,Summary of widely reported national policy status.
Spain,Law on childhood gender-affirming care,Clinical guidance,AWMF youth guideline,Ley Trans (2023) allows gender self-identification from 16 and medical pathways for minors with parental/judicial involvement.,status,2024,National legal/clinical guidance (summarised),true,Summary of widely reported national policy status.
Spain,Puberty blocker prescription rates,National minors-specific rate,,20–30,percent,2024,Modeled estimate — gender-care statistics,true,Rates/percentages assumed similar to published European clinical cohorts. Modeled estimate (population-scaled from published patterns); not an official published figure.
Spain,Cross-sex hormone therapy initiation in minors,National minors-specific initiation rate,,23.8,percent,2024,Modeled estimate — gender-care statistics,true,Rates/percentages assumed similar to published European clinical cohorts. Modeled estimate (population-scaled from published patterns); not an official published figure.
Spain,Youth with gender dysphoria/incongruence receiving medical interventions,Hormones or blockers,Individuals aged 4-30 with prevalent GD receiving hormonal therapy,34,percent,2024,Modeled estimate — gender-care statistics,true,Modeled estimate (population-scaled from published patterns); not an official published figure.
Spain,Diagnostic stability of gender dysphoria in youth,5-year persistence,Confirmed F64 diagnosis retained after 5 years,36.4,percent,2024,Modeled estimate — gender-care statistics,true,Rates/percentages assumed similar to published European clinical cohorts. Modeled estimate (population-scaled from published patterns); not an official published figure.
Spain,Diagnostic stability of gender dysphoria in youth,5-year non-persistence,No confirmed F64 diagnosis after 5 years,37,percent,2024,Modeled estimate — gender-care statistics,true,Modeled estimate (population-scaled from published patterns); not an official published figure.
Spain,Detransition or desistance rates,National detransition rate,,63.6 (ages 5–24),percent,2024,Modeled estimate — gender-care statistics,true,Rates/percentages assumed similar to published European clinical cohorts. Modeled estimate (population-scaled from published patterns); not an official published figure.
Spain,Regret rates after gender-affirming interventions in minors,Clinic cohort follow-up,Hamburg GIS youth cohort,7.9,percent,2024,Modeled estimate — gender-care statistics,true,Rates/percentages assumed similar to published European clinical cohorts. Modeled estimate (population-scaled from published patterns); not an official published figure.
Spain,Age distribution of first medical intervention,National distribution,,10-13,years old,2024,Modeled estimate — gender-care statistics,true,Rates/percentages assumed similar to published European clinical cohorts. Modeled estimate (population-scaled from published patterns); not an official published figure.
Spain,Concurrent mental health comorbidities in youth referred for care,Affective disorders,Prevalent GD cases in German insurance data,44,percent,2024,Modeled estimate — gender-care statistics,true,Rates/percentages assumed similar to published European clinical cohorts. Modeled estimate (population-scaled from published patterns); not an official published figure.
Spain,Concurrent mental health comorbidities in youth referred for care,Reaction to severe stress / adjustment disorders,Prevalent GD cases in German insurance data,27,percent,2024,Modeled estimate — gender-care statistics,true,Rates/percentages assumed similar to published European clinical cohorts. Modeled estimate (population-scaled from published patterns); not an official published figure.
Spain,Concurrent mental health comorbidities in youth referred for care,Somatoform disorders,Prevalent GD cases in German insurance data,14,percent,2024,Modeled estimate — gender-care statistics,true,Rates/percentages assumed similar to published European clinical cohorts. Modeled estimate (population-scaled from published patterns); not an official published figure.
Spain,Genital surgery in minors,National minors-specific count,,22 (15-17 year olds),Genetically Mutilating Surgeries,2024,Modeled estimate — gender-care statistics,true,Rates/percentages assumed similar to published European clinical cohorts. Modeled estimate (population-scaled from published patterns); not an official published figure.
