Country,Metric,Submetric,Breakdown,Value,Unit,Reference Year,Source Name,Source URL,Notes
Spain,Healthcare expenditure,Share of GDP,Total,10.7,percent of GDP,2024,INE / Ministerio de Sanidad,https://www.ine.es/,Latest published health expenditure share of GDP.
Spain,Healthcare expenditure,Per capita,Total,3000,EUR per person,2024,INE / Ministerio de Sanidad,https://www.ine.es/,Approximate per-capita health expenditure (EUR-converted).
Spain,Healthcare expenditure,Public/private split,Public financing share,72,percent of current health expenditure,2024,INE / Ministerio de Sanidad,https://www.ine.es/,Public share of current health expenditure.
Spain,Healthcare expenditure,Public/private split,Private financing share,28,percent of current health expenditure,2024,INE / Ministerio de Sanidad,https://www.ine.es/,Residual private share.
Spain,Obesity rate,Adults,Self-reported,15,percent,2025,OECD Health at a Glance / Encuesta Europea de Salud en España,https://www.oecd.org/en/topics/health.html,Self-reported adult obesity rate (BMI 30+). Measured rates are materially higher than self-reported ones.
Spain,Smoking prevalence,Daily adults 15+,Total,19.8,percent,2025,OECD / Encuesta Europea de Salud en España,https://www.oecd.org/en/topics/health.html,Daily smoking prevalence among adults aged 15 and older.
Spain,Suicide Rate,,Total,8,"per 100,000 population",2025,INE Defunciones según la Causa de Muerte / WHO,https://www.ine.es/,Age-standardised suicide mortality rate.
Spain,"Physicians per 1,000 people",Practising physicians,Total,4.4 – 4.5,"physicians per 1,000",2025,OECD / WHO,https://www.oecd.org/en/topics/health.html,Practising physician density; sources differ slightly on the practising-versus-licensed definition.
Spain,Total number of doctors,Active physicians,Total,"≈276,000",physicians,2025,INE Estadística de Profesionales Sanitarios Colegiados,https://www.ine.es/,Active (colegiados en ejercicio) physicians nationwide.
Spain,Healthy life expectancy,At birth,Total,≈70 – 79,years,2025,WHO Global Health Observatory / Eurostat,https://www.who.int/data/gho,"Varies materially by source and definition; recent Eurostat healthy-life-years (disability-free) figures sit around 62–70."
Spain,Preventable mortality rate,,Total,92,"per 100,000 population",2025,OECD Health at a Glance / Eurostat,https://ec.europa.eu/eurostat,Preventable mortality; among the lowest rates in the EU.
Spain,Alcohol consumption,Adults 15+,Total,11.1,litres pure alcohol per capita,2025,OECD / WHO,https://www.oecd.org/en/topics/health.html,Annual per-capita alcohol consumption among people aged 15 and older.
Spain,Life expectancy,At birth,Total,83.8 – 84.0,years,2025,INE / OECD Health at a Glance,https://www.ine.es/,Life expectancy at birth; among the highest in the EU and the OECD.
Spain,Self-reported poor health,Population aged 15+,Bad or very bad self-rated health,7.3,percent,2025,OECD Health at a Glance / Eurostat EHIS,https://ec.europa.eu/eurostat,Share of the population aged 15+ rating their health as bad or very bad.
Spain,Insufficient physical activity,Adults,Total,25,percent,2025,OECD Health at a Glance / WHO,https://www.oecd.org/en/topics/health.html,Share of adults with insufficient physical activity.
Spain,Healthy life expectancy (OECD country note),At birth,OECD-style estimate,≈70,years,2025,OECD Health at a Glance 2025 – Spain,https://www.oecd.org/en/topics/health.html,OECD-aligned healthy life expectancy estimate used for the health overview.
