Topic,Published Date,Title,URL,Image
Economy,2026-08-02,"How Spain's expansionary economic cycle is changing","https://elpais.com/economia/negocios/2026-08-02/las-mutaciones-del-ciclo-expansivo-espanol.html",
Economy,2026-07-31,"What is behind Spain's July inflation rise and resilient growth","https://elpais.com/expres/2026-07-31/que-hay-detras-de-la-subida-de-la-inflacion-en-julio-y-por-que-la-economia-sigue-creciendo-con-vigor.html",
Economy,2026-07-28,"Spain's unemployment rate hits its lowest level in 18 years","https://www.euronews.com/business/2026/07/28/summer-hiring-pushes-spain-to-record-228-million-in-work-and-jobless-rate-falls-below-10",
Economy,2026-07-07,"OECD calls limited wage growth a weak point for Spain","https://elpais.com/economia/2026-07-07/la-ocde-dice-que-el-limitado-crecimiento-de-los-salarios-es-un-punto-debil-para-espana.html",
Economy,2026-06-18,"Bank of Spain highlights growth but raises housing shortfall to 750,000 homes","https://elpais.com/economia/2026-06-18/el-banco-de-espana-destaca-el-dinamismo-de-la-economia-pero-eleva-el-deficit-de-vivienda-a-750000-casas.html",
Economy,2026-06-12,"Spain's inflation stays at 3.2% for a third month amid Iran war","https://www.euronews.com/business/2026/06/12/spain-inflation-stuck-at-32-for-third-month-hit-by-war-in-iran",
Economy,2026-06-02,"Spain's unemployment falls to lowest since 2007 as employment hits a record","https://www.euronews.com/business/2026/06/02/unemployment-falls-to-lowest-since-may-2007-as-employment-hits-record-high-in-spain",
Economy,2026-05-13,"Spain leads Europe's big economies for growth in 2026","https://www.euronews.com/business/2026/05/13/which-european-economy-is-growing-the-fastest-in-2026",
Economy,2026-04-21,"Spain announces major public-housing and affordability investment","https://apnews.com/article/fee1de4f9fa0652a2fe19a0f78d1f002",
Economy,2026-01-30,"Why Spain and Portugal are growing twice as fast as the eurozone","https://www.euronews.com/business/2026/01/30/why-are-spain-and-portugal-growing-twice-as-fast-as-the-eurozone",
Immigration,2026-08-04,"Spain's Sánchez fends off EU criticism over the Ceuta crisis","https://apnews.com/article/ea9bf6713d1ab342370f28eec1cd888d",
Immigration,2026-08-02,"Ceuta grapples with the aftermath after most migrants leave the territory","https://apnews.com/article/9960b15a7cf31a0592b09ac47a8eac3f",
Immigration,2026-08-01,"Spain installs sea barrier on Ceuta border after deadly frontier rush","https://apnews.com/article/d76c6dc9d2da828907a1c04e1d482bbe",
Immigration,2026-07-01,"Spain has three months to review one million migrant regularisation applications","https://www.lemonde.fr/en/international/article/2026/07/01/spain-has-three-months-to-review-one-million-applications-for-migrant-regularization_6755027_4.html",
Immigration,2026-06-09,"Pope's Canary Islands visit focuses attention on the treatment of migrants","https://www.investing.com/news/world-news/popes-visit-to-canary-islands-puts-focus-on-treatment-of-migrants-4733075",
Immigration,2026-04-30,"Spain says its humane migration policy is a model for Europe","https://www.euronews.com/my-europe/2026/04/30/spains-humane-migration-policy-is-model-for-europe-minister-says",
Immigration,2026-04-21,"Spain rescues 32 migrants off the Canary Islands","https://www.reutersconnect.com/item/spain-rescues-32-migrants-off-canary-islands-red-cross-says/dGFnOnJldXRlcnMuY29tLDIwMjY6bmV3c21sX1ZBNDQ4MjIyMDQyMDI2UlAx",
Immigration,2026-04-06,"On immigration, Spain moves against the tide of its European neighbours","https://www.lemonde.fr/en/international/article/2026/04/06/on-immigration-spain-moves-against-the-tide-of-its-european-neighbors_6752149_4.html",
Immigration,2026-04-04,"Forty-seven migrants rescued off Spain's Canary Islands","https://www.reutersconnect.com/item/forty-seven-migrants-rescued-off-spains-canary-islands/dGFnOnJldXRlcnMuY29tLDIwMjY6bmV3c21sX1ZBOTk0OTA0MDQyMDI2UlAx",
Immigration,2026-01-27,"Spain to grant legal status to potentially 500,000 undocumented immigrants","https://apnews.com/article/ec1b8c64fb89b348ee4b394b55a94cbe",
Crime,2026-08-05,"Two suspected drug-trafficking brothers arrested with €1 million under a bed","https://elpais.com/espana/2026-08-05/caen-dos-narcohermanos-en-la-rioja-con-un-millon-de-euros-en-cajas-de-zapatos-bajo-la-cama.html",
Crime,2026-08-05,"One of the UK's most wanted fugitives arrested in Madrid","https://elpais.com/espana/2026-08-05/detenido-en-madrid-uno-de-los-fugitivos-mas-buscados-por-el-reino-unido-delatado-por-sus-tatuajes.html",
Crime,2026-08-02,"Minor linked to ultraviolent 764 network detained over death threats","https://elpais.com/espana/2026-08-02/detenido-un-menor-del-grupo-ultraviolento-764-acusado-de-amenazar-de-muerte-a-irene-montero.html",
Crime,2026-07-31,"Four arrested and seven firearms seized after La Mina shooting","https://elpais.com/espana/catalunya/2026-07-31/cuatro-detenidos-y-siete-armas-de-fuego-intervenidas-por-un-tiroteo-sin-heridos-en-la-mina.html",
Crime,2026-07-23,"Fugitive wanted for a Colombian contract killing arrested in Spain","https://elpais.com/espana/2026-07-23/sicario-en-colombia-trabajador-ejemplar-en-espana.html",
Crime,2026-07-22,"Bank-fraud network dismantled after nearly 2,000 victims identified","https://elpais.com/espana/2026-07-22/cae-una-red-de-estafas-bancarias-con-una-base-de-datos-robados-a-medio-millon-de-usuarios-y-casi-2000-victimas-identificadas.html",
Crime,2026-07-13,"International cyberfraud network accused of stealing €140 million dismantled","https://elpais.com/espana/catalunya/2026-07-13/desarticulada-una-organizacion-criminal-que-se-apropio-de-140-millones-de-euros-mediante-fraudes-informaticos.html",
Crime,2026-07-13,"Patient suspected of killing two people at Seville prison psychiatric hospital","https://efe.com/espana/2026-07-13/psiquiatrico-penitenciario-sevilla-suceso-muertes/",
Crime,2026-05-12,"Police arrest 34 suspects tied to violent luxury-watch robberies","https://www.policia.es/_es/comunicacion_prensa_detalle.php?ID=16873",
Crime,2026-02-17,"Spain and Italy break up international drug-trafficking organisation","https://policia.es/_es/comunicacion_prensa_detalle.php?ID=16798",
Health,2026-08-01,"Doctors halt overtime work at 17 Madrid public hospitals","https://elpais.com/espana/madrid/2026-08-01/dos-meses-sin-hacer-horas-extra-en-17-hospitales-publicos-de-madrid.html",
Health,2026-07-17,"Alzheimer's drug funding decision opens dispute with Eli Lilly","https://elpais.com/sociedad/2026-07-17/la-financiacion-publica-de-los-nuevos-tratamientos-para-el-alzheimer-abre-una-crisis-entre-sanidad-y-la-gran-farmaceutica-eli-lilly.html",
Health,2026-07-13,"Waiting lists weigh on confidence in Spain's public health system","https://elpais.com/sociedad/2026-07-13/las-listas-de-espera-lastran-la-percepcion-de-la-sanidad-publica-el-81-cree-que-el-problema-ha-empeorado-o-sigue-igual.html",
