country,year,age_group,male_population,female_population,total_population
Spain,2025,0-4,1115211,1055300,2170511
Spain,2025,5-9,1216996,1157826,2374822
Spain,2025,10-14,1154050,1095132,2249182
Spain,2025,15-19,1153289,1094412,2247701
Spain,2025,20-24,1226381,1166767,2393148
Spain,2025,25-29,1448524,1273534,2722058
Spain,2025,30-34,1530981,1412019,2943000
Spain,2025,35-39,1691506,1573653,3265159
Spain,2025,40-44,1559990,1558751,3118741
Spain,2025,45-49,1467624,1466386,2934010
Spain,2025,50-54,1514707,1513470,3028177
Spain,2025,55-59,1917115,1915879,3832994
Spain,2025,60-64,1904055,1960499,3864554
Spain,2025,65-69,1544662,1657803,3202465
Spain,2025,70-74,1207716,1436407,2644123
Spain,2025,75-79,912692,1082474,1995166
Spain,2025,80-84,752946,983203,1736149
Spain,2025,85-89,507058,803264,1310322
Spain,2025,90-94,149130,301005,450135
Spain,2025,95-99,28082,78359,106441
Spain,2025,100+,2373,8770,11143
