Country,Metric,Submetric,Breakdown,Value,Unit,Reference Year,Source Name,Source URL,Notes
Sweden,Total number of abortions,,,34000,abortions,2024,https://www.scb.se/ / abortion statistics,true,Latest published annual total.
Sweden,Abortion ratio,"Per 1,000 births",Germany total,340,"abortions per 1,000 births",2024,https://www.scb.se/ / abortion statistics,true,"Derived: abortions per 1,000 births from the totals above."
Sweden,Trend in total abortions,5-year change,2024 vs 2019,+6,abortions,2024,Modeled estimate — trend,true,Modeled estimate (population-scaled from published patterns); not an official published figure.
Sweden,Trend in total abortions,10-year change,2024 vs 2014,+9,abortions,2024,Modeled estimate — trend,true,Modeled estimate (population-scaled from published patterns); not an official published figure.
Sweden,Trend in total abortions,Change since recent low,2024 vs 2021,+12,abortions,2024,Modeled estimate — trend,true,Modeled estimate (population-scaled from published patterns); not an official published figure.
Sweden,"Abortion rate per 1,000 women of reproductive age",National age band,Women age 15 to under 50,13.9,"abortions per 1,000 women",2024,https://www.scb.se/ / abortion statistics,true,Derived from total and estimated women aged 15-49 (23% of population). Modeled derivation.
Sweden,Repeat abortions,Women with at least one prior induced abortion,National total,Not published in latest official annual abortion tables,not available,2024,Modeled estimate — distribution,true,Distribution assumed similar to published European patterns. Modeled estimate (population-scaled from published patterns); not an official published figure.
Sweden,Gestational age at abortion,Distribution,Under 7 completed weeks,46.4,percent,2024,Modeled estimate — distribution,true,Distribution assumed similar to published European patterns. Modeled estimate (population-scaled from published patterns); not an official published figure.
Sweden,Gestational age at abortion,Distribution,7–8 completed weeks,32.3,percent,2024,Modeled estimate — distribution,true,Distribution assumed similar to published European patterns. Modeled estimate (population-scaled from published patterns); not an official published figure.
Sweden,Gestational age at abortion,Distribution,9–11 completed weeks,18.3,percent,2024,Modeled estimate — distribution,true,Distribution assumed similar to published European patterns. Modeled estimate (population-scaled from published patterns); not an official published figure.
Sweden,Gestational age at abortion,Distribution,12+ completed weeks,3.0,percent,2024,Modeled estimate — distribution,true,Distribution assumed similar to published European patterns. Modeled estimate (population-scaled from published patterns); not an official published figure.
Sweden,Method of abortion,Aggregated method split,Medical / pill-based,45.4,percent,2024,Modeled estimate — distribution,true,Distribution assumed similar to published European patterns. Modeled estimate (population-scaled from published patterns); not an official published figure.
Sweden,Method of abortion,Aggregated method split,Surgical,53.9,percent,2024,Modeled estimate — distribution,true,Distribution assumed similar to published European patterns. Modeled estimate (population-scaled from published patterns); not an official published figure.
Sweden,Late-term abortions,After 12 completed weeks,National total,3165,abortions,2024,Modeled estimate — distribution,true,Distribution assumed similar to published European patterns. Modeled estimate (population-scaled from published patterns); not an official published figure.
Sweden,Late-term abortions,After 12 completed weeks,National share,3.0,percent,2024,Modeled estimate — distribution,true,Distribution assumed similar to published European patterns. Modeled estimate (population-scaled from published patterns); not an official published figure.
Sweden,Number of abortion-providing facilities,Reporting facilities / reporting points,"Germany total, Q4",140,reporting facilities,2024,Modeled estimate — facilities,true,Modeled estimate (population-scaled from published patterns); not an official published figure.
Sweden,Number of abortion-providing facilities,Long-term change,Q4 2003 to Q4 2024,-25,percent,2024,Modeled estimate — facilities,true,Modeled estimate (population-scaled from published patterns); not an official published figure.
