Section,Subsection,Metric,Submetric,Breakdown,Value,Unit,Reference Year,Source Name,Source URL,Notes
Government,Overview,head of government,,,Ulf Kristersson,name,2025,https://www.scb.se/ / government statistics,true,Head of government as of late 2025/early 2026.
Government,Overview,head of government political party,,,Moderaterna,party,2025,https://www.scb.se/ / government statistics,true,
Government,Overview,head of government political ideology,,,centre-right,ideology,2025,https://www.scb.se/ / government statistics,true,
Government,Overview,governing coalition,,,M–KD–L government with SD support,coalition,2025,https://www.scb.se/ / government statistics,true,
Government,Overview,number of coalition parties,,,4,parties,2025,https://www.scb.se/ / government statistics,true,
Government,Parliament,total seats,,,349,seats,2025,https://www.scb.se/ / government statistics,true,Lower/main chamber.
Government,Parliament,seats by party,,Socialdemokraterna,107,seats,2025,https://www.scb.se/ / government statistics,true,
Government,Parliament,seats by party,,Sverigedemokraterna,72,seats,2025,https://www.scb.se/ / government statistics,true,
Government,Parliament,seats by party,,Moderaterna,68,seats,2025,https://www.scb.se/ / government statistics,true,
Government,Parliament,seats by party,,Vänsterpartiet,24,seats,2025,https://www.scb.se/ / government statistics,true,
Government,Parliament,seats by party,,Centerpartiet,24,seats,2025,https://www.scb.se/ / government statistics,true,
Government,Parliament,seats by party,,KD,19,seats,2025,https://www.scb.se/ / government statistics,true,
Government,Parliament,seats by party,,Others,35,seats,2025,https://www.scb.se/ / government statistics,true,
Government,Parliament,majority threshold,,,175,seats,2025,https://www.scb.se/ / government statistics,true,
Government,Parliament,coalition seat total,,,188,seats,2025,Modeled estimate — coalition seats,true,Modeled estimate (population-scaled from published patterns); not an official published figure.
Government,Parliament,opposition seat total,,,161,seats,2025,Modeled estimate — opposition seats,true,Modeled estimate (population-scaled from published patterns); not an official published figure.
Government,Parliament,number of parties represented,,,7,parties,2025,https://www.scb.se/ / government statistics,true,Top groupings shown above.
Government,Parliament,party fragmentation index,,,5.2,effective number of parties,2025,Modeled estimate — fragmentation,true,Modeled estimate (population-scaled from published patterns); not an official published figure.
Government,Parliament,trust in parliament,,,55,percent,2025,Eurobarometer/OECD-style survey (modeled),https://europa.eu/eurobarometer,Modeled estimate (population-scaled from published patterns); not an official published figure.
Government,Parliament,trust in government,,,53,percent,2025,Eurobarometer/OECD-style survey (modeled),https://europa.eu/eurobarometer,Modeled estimate (population-scaled from published patterns); not an official published figure.
Government,Parliament,trust in political parties,,,41,percent,2025,Eurobarometer/OECD-style survey (modeled),https://europa.eu/eurobarometer,Modeled estimate (population-scaled from published patterns); not an official published figure.
Government,Parliament,trust in courts,,,69,percent,2025,Eurobarometer/OECD-style survey (modeled),https://europa.eu/eurobarometer,Modeled estimate (population-scaled from published patterns); not an official published figure.
Government,Parliament,trust in police,,,79,percent,2025,Eurobarometer/OECD-style survey (modeled),https://europa.eu/eurobarometer,Modeled estimate (population-scaled from published patterns); not an official published figure.
Government,Parliament,satisfaction with democracy,,,62,percent,2025,Eurobarometer/OECD-style survey (modeled),https://europa.eu/eurobarometer,Modeled estimate (population-scaled from published patterns); not an official published figure.
Government,Parliament,perceived corruption,,,20,inverted CPI (100−score),2025,Transparency International CPI 2024,https://www.transparency.org/en/cpi/2024,Derived from the real CPI score (80).
Government,Policies,immigration law changes,,,4,major changes since 2015,2025,Modeled estimate — policy count,true,Modeled estimate (population-scaled from published patterns); not an official published figure.
Government,Policies,asylum law changes,,,3,major changes since 2015,2025,Modeled estimate — policy count,true,Modeled estimate (population-scaled from published patterns); not an official published figure.
Government,Policies,citizenship law changes,,,2,major changes since 2015,2025,Modeled estimate — policy count,true,Modeled estimate (population-scaled from published patterns); not an official published figure.
Government,Policies,criminal justice reforms,,,3,major changes since 2015,2025,Modeled estimate — policy count,true,Modeled estimate (population-scaled from published patterns); not an official published figure.
Government,Policies,education reforms,,,3,major changes since 2015,2025,Modeled estimate — policy count,true,Modeled estimate (population-scaled from published patterns); not an official published figure.
Government,Policies,family policy reforms,,,2,major changes since 2015,2025,Modeled estimate — policy count,true,Modeled estimate (population-scaled from published patterns); not an official published figure.
Government,Policies,free speech / assembly restrictions,,,1,major changes since 2015,2025,Modeled estimate — policy count,true,Modeled estimate (population-scaled from published patterns); not an official published figure.
Government,Policies,constitutional court rulings,,,4,major changes since 2015,2025,Modeled estimate — policy count,true,Modeled estimate (population-scaled from published patterns); not an official published figure.
Government,Policies,emergency powers usage,,,1,major changes since 2015,2025,Modeled estimate — policy count,true,Modeled estimate (population-scaled from published patterns); not an official published figure.
Government,Polarization,far-right vote share,,,7,percent of vote (latest national election),2025,https://www.scb.se/ / government statistics,true,Approximate national-election share.
Government,Polarization,far-left vote share,,,32,percent of vote (latest national election),2025,https://www.scb.se/ / government statistics,true,Approximate national-election share.
Government,Polarization,center-right vote share,,,38,percent of vote (latest national election),2025,https://www.scb.se/ / government statistics,true,Approximate national-election share.
Government,Polarization,center-left vote share,,,SCB Sweden,percent of vote (latest national election),2025,https://www.scb.se/ / government statistics,true,Approximate national-election share.
Government,Polarization,anti-establishment party vote share,,,26.2,percent,2025,Modeled estimate — anti-establishment share,true,Modeled estimate (population-scaled from published patterns); not an official published figure.
Government,Polarization,number of effective parties,,,5.5,effective parties,2025,Modeled estimate — ENP,true,Modeled estimate (population-scaled from published patterns); not an official published figure.
Government,Polarization,coalition instability,,,high,qualitative,2025,Modeled estimate — stability,true,Modeled estimate (population-scaled from published patterns); not an official published figure.
Government,Polarization,vote swing from previous election,,,5.4,percentage points (net),2025,Modeled estimate — swing,true,Modeled estimate (population-scaled from published patterns); not an official published figure.
Government,Citizenship,naturalizations per year,,,21000,people,2025,https://www.scb.se/ / government statistics,true,Latest published/estimated annual naturalizations.
Government,Citizenship,naturalizations by prior nationality,,Syrian Arab Republic,4200,people,2025,Modeled estimate — naturalization origins,true,Origin ranking from migrant-stock data; counts modeled.
Government,Citizenship,naturalizations by prior nationality,,Iraq,2520,people,2025,Modeled estimate — naturalization origins,true,Origin ranking from migrant-stock data; counts modeled.
Government,Citizenship,naturalizations by prior nationality,,Finland,1890,people,2025,Modeled estimate — naturalization origins,true,Origin ranking from migrant-stock data; counts modeled.
Government,Citizenship,naturalizations by prior nationality,,Poland,1470,people,2025,Modeled estimate — naturalization origins,true,Origin ranking from migrant-stock data; counts modeled.
Government,Citizenship,naturalizations by prior nationality,,"Iran, Islamic Rep.",1050,people,2025,Modeled estimate — naturalization origins,true,Origin ranking from migrant-stock data; counts modeled.
