Country,Metric,Submetric,Breakdown,Value,Unit,Reference Year,Source Name,Source URL,Notes
Sweden,Healthcare expenditure,Share of GDP,Total,10.9,percent of GDP,2024,https://www.scb.se/ / health statistics,true,Latest published health expenditure share of GDP.
Sweden,Healthcare expenditure,Per capita,Total,5500,EUR per person,2024,https://www.scb.se/ / health statistics,true,Approximate per-capita health expenditure (EUR-converted).
Sweden,Healthcare expenditure,Public/private split,Public financing share,86,percent of current health expenditure,2024,https://www.scb.se/ / health statistics,true,Public share of current health expenditure.
Sweden,Healthcare expenditure,Public/private split,Private financing share,14,percent of current health expenditure,2024,https://www.scb.se/ / health statistics,true,Residual private share.
Sweden,Obesity rate,Adult,Total,16,percent of adults,2024,WHO / https://www.scb.se/ / health statistics,true,Adult obesity prevalence (BMI 30+).
Sweden,Smoking prevalence,Adult,Total,10.4,percent of adults,2024,WHO / https://www.scb.se/ / health statistics,true,Adult smoking prevalence.
Sweden,Suicide Rate,,Total,12.8,"per 100,000 population",2024,WHO / https://www.scb.se/ / health statistics,true,Age-standardised suicide rate.
Sweden,"Physicians per 1,000 people",,,7.1,"physicians per 1,000",2024,OECD/WHO / https://www.scb.se/ / health statistics,true,Practising physicians density.
Sweden,Total number of doctors,,,75260,physicians,2024,OECD/WHO / https://www.scb.se/ / health statistics,true,Derived: physician density × population. Modeled derivation.
Sweden,Healthy life expectancy,At birth,Total,71.1,years,2024,WHO,https://www.who.int/data/gho,WHO healthy life expectancy (HALE) at birth.
Sweden,Preventable mortality rate,,,120,"per 100,000 population",2024,OECD/Eurostat,https://ec.europa.eu/eurostat,Preventable mortality.
Sweden,Alcohol consumption,,Total,8,litres pure alcohol per capita 15+,2024,WHO / https://www.scb.se/ / health statistics,true,Annual per-capita alcohol consumption.
