Country,Metric,Submetric,Breakdown,Value,Unit,Reference Year,Source Name,Source URL,Notes
Sweden,Youth unemployment rate,,Ages 15–24,23,percent,2024,https://www.scb.se/ / labour statistics,true,Latest published youth unemployment rate.
Sweden,Long-term unemployment rate,,,1.6,percent of labour force,2024,https://www.scb.se/ / labour statistics,true,Long-term (12m+) unemployment.
Sweden,Labour force participation rate,,Total (15–64),74,percent,2024,https://www.scb.se/ / labour statistics,true,Latest published participation rate.
Sweden,Labour force participation rate,By migrant/native status,Native-born — total,75.5,percent,2024,Modeled estimate — labour,true,Modeled estimate (population-scaled from published patterns); not an official published figure.
Sweden,Labour force participation rate,By migrant/native status,Foreign-born — total,68,percent,2024,Modeled estimate — labour,true,Modeled estimate (population-scaled from published patterns); not an official published figure.
Sweden,Labour force participation rate,By migrant/native status,Native-born — men,79,percent,2024,Modeled estimate — labour,true,Modeled estimate (population-scaled from published patterns); not an official published figure.
Sweden,Labour force participation rate,By migrant/native status,Foreign-born — men,73,percent,2024,Modeled estimate — labour,true,Modeled estimate (population-scaled from published patterns); not an official published figure.
Sweden,Labour force participation rate,By migrant/native status,Native-born — women,72,percent,2024,Modeled estimate — labour,true,Modeled estimate (population-scaled from published patterns); not an official published figure.
Sweden,Labour force participation rate,By migrant/native status,Foreign-born — women,62,percent,2024,Modeled estimate — labour,true,Modeled estimate (population-scaled from published patterns); not an official published figure.
Sweden,Minimum wage,,,none (collective agreements),statutory minimum,2024,https://www.scb.se/ / labour statistics,true,Statutory minimum wage (or none where wages are set by collective agreements).
Sweden,Average annual working hours per worker,,,1440,hours per year,2024,https://www.scb.se/ / labour statistics,true,OECD-style average annual hours actually worked.
