country,year,age_group,male_population,female_population,total_population
Sweden,2025,0-4,279541,264524,544065
Sweden,2025,5-9,300473,285865,586338
Sweden,2025,10-14,280580,266256,546836
Sweden,2025,15-19,276039,261946,537985
Sweden,2025,20-24,288892,274849,563741
Sweden,2025,25-29,335730,295171,630901
Sweden,2025,30-34,349026,321905,670931
Sweden,2025,35-39,379186,352766,731952
Sweden,2025,40-44,343758,343484,687242
Sweden,2025,45-49,317800,317531,635331
Sweden,2025,50-54,322201,321937,644138
Sweden,2025,55-59,400452,400193,800645
Sweden,2025,60-64,390414,401987,792401
Sweden,2025,65-69,310782,333545,644327
Sweden,2025,70-74,238336,283466,521802
Sweden,2025,75-79,176591,209442,386033
Sweden,2025,80-84,142771,186432,329203
Sweden,2025,85-89,94183,149200,243383
Sweden,2025,90-94,27121,54741,81862
Sweden,2025,95-99,4998,13946,18944
Sweden,2025,100+,413,1527,1940
