Section,Subsection,Metric,Submetric,Breakdown,Value,Unit,Reference Year,Source Name,Source URL,Notes
Government,Overview,head of government,,,Federal Council (collegial; 2026 presidency rotates),name,2025,https://www.bfs.admin.ch/ / government statistics,false,Head of government as of late 2025/early 2026.
Government,Overview,head of government political party,,,multi-party,party,2025,https://www.bfs.admin.ch/ / government statistics,false,
Government,Overview,head of government political ideology,,,consensus government,ideology,2025,https://www.bfs.admin.ch/ / government statistics,false,
Government,Overview,governing coalition,,,"permanent grand coalition (SVP, SP, FDP, Mitte)",coalition,2025,https://www.bfs.admin.ch/ / government statistics,false,
Government,Overview,number of coalition parties,,,4,parties,2025,https://www.bfs.admin.ch/ / government statistics,false,
Government,Parliament,total seats,,,200,seats,2025,https://www.bfs.admin.ch/ / government statistics,false,Lower/main chamber.
Government,Parliament,seats by party,,SVP,62,seats,2025,https://www.bfs.admin.ch/ / government statistics,false,
Government,Parliament,seats by party,,SP,41,seats,2025,https://www.bfs.admin.ch/ / government statistics,false,
Government,Parliament,seats by party,,FDP,28,seats,2025,https://www.bfs.admin.ch/ / government statistics,false,
Government,Parliament,seats by party,,Mitte,29,seats,2025,https://www.bfs.admin.ch/ / government statistics,false,
Government,Parliament,seats by party,,Grüne,23,seats,2025,https://www.bfs.admin.ch/ / government statistics,false,
Government,Parliament,seats by party,,GLP,10,seats,2025,https://www.bfs.admin.ch/ / government statistics,false,
Government,Parliament,seats by party,,Others,7,seats,2025,https://www.bfs.admin.ch/ / government statistics,false,
Government,Parliament,majority threshold,,,101,seats,2025,https://www.bfs.admin.ch/ / government statistics,false,
Government,Parliament,coalition seat total,,,108,seats,2025,Modeled estimate — coalition seats,false,Modeled estimate (population-scaled from published patterns); not an official published figure.
Government,Parliament,opposition seat total,,,92,seats,2025,Modeled estimate — opposition seats,false,Modeled estimate (population-scaled from published patterns); not an official published figure.
Government,Parliament,number of parties represented,,,7,parties,2025,https://www.bfs.admin.ch/ / government statistics,false,Top groupings shown above.
Government,Parliament,party fragmentation index,,,5.2,effective number of parties,2025,Modeled estimate — fragmentation,false,Modeled estimate (population-scaled from published patterns); not an official published figure.
Government,Parliament,trust in parliament,,,55,percent,2025,Eurobarometer/OECD-style survey (modeled),https://europa.eu/eurobarometer,Modeled estimate (population-scaled from published patterns); not an official published figure.
Government,Parliament,trust in government,,,53,percent,2025,Eurobarometer/OECD-style survey (modeled),https://europa.eu/eurobarometer,Modeled estimate (population-scaled from published patterns); not an official published figure.
Government,Parliament,trust in political parties,,,41,percent,2025,Eurobarometer/OECD-style survey (modeled),https://europa.eu/eurobarometer,Modeled estimate (population-scaled from published patterns); not an official published figure.
Government,Parliament,trust in courts,,,69,percent,2025,Eurobarometer/OECD-style survey (modeled),https://europa.eu/eurobarometer,Modeled estimate (population-scaled from published patterns); not an official published figure.
Government,Parliament,trust in police,,,79,percent,2025,Eurobarometer/OECD-style survey (modeled),https://europa.eu/eurobarometer,Modeled estimate (population-scaled from published patterns); not an official published figure.
Government,Parliament,satisfaction with democracy,,,62,percent,2025,Eurobarometer/OECD-style survey (modeled),https://europa.eu/eurobarometer,Modeled estimate (population-scaled from published patterns); not an official published figure.
Government,Parliament,perceived corruption,,,19,inverted CPI (100−score),2025,Transparency International CPI 2024,https://www.transparency.org/en/cpi/2024,Derived from the real CPI score (81).
Government,Policies,immigration law changes,,,4,major changes since 2015,2025,Modeled estimate — policy count,false,Modeled estimate (population-scaled from published patterns); not an official published figure.
Government,Policies,asylum law changes,,,3,major changes since 2015,2025,Modeled estimate — policy count,false,Modeled estimate (population-scaled from published patterns); not an official published figure.
Government,Policies,citizenship law changes,,,2,major changes since 2015,2025,Modeled estimate — policy count,false,Modeled estimate (population-scaled from published patterns); not an official published figure.
Government,Policies,criminal justice reforms,,,3,major changes since 2015,2025,Modeled estimate — policy count,false,Modeled estimate (population-scaled from published patterns); not an official published figure.
Government,Policies,education reforms,,,3,major changes since 2015,2025,Modeled estimate — policy count,false,Modeled estimate (population-scaled from published patterns); not an official published figure.
Government,Policies,family policy reforms,,,2,major changes since 2015,2025,Modeled estimate — policy count,false,Modeled estimate (population-scaled from published patterns); not an official published figure.
Government,Policies,free speech / assembly restrictions,,,1,major changes since 2015,2025,Modeled estimate — policy count,false,Modeled estimate (population-scaled from published patterns); not an official published figure.
