Country,Metric,Submetric,Breakdown,Value,Unit,Reference Year,Source Name,Source URL,Notes
Switzerland,Youth unemployment rate,,Ages 15–24,7.5,percent,2024,https://www.bfs.admin.ch/ / labour statistics,false,Latest published youth unemployment rate.
Switzerland,Long-term unemployment rate,,,0.6,percent of labour force,2024,https://www.bfs.admin.ch/ / labour statistics,false,Long-term (12m+) unemployment.
Switzerland,Labour force participation rate,,Total (15–64),68,percent,2024,https://www.bfs.admin.ch/ / labour statistics,false,Latest published participation rate.
Switzerland,Labour force participation rate,By migrant/native status,Native-born — total,69.5,percent,2024,Modeled estimate — labour,false,Modeled estimate (population-scaled from published patterns); not an official published figure.
Switzerland,Labour force participation rate,By migrant/native status,Foreign-born — total,62,percent,2024,Modeled estimate — labour,false,Modeled estimate (population-scaled from published patterns); not an official published figure.
Switzerland,Labour force participation rate,By migrant/native status,Native-born — men,73,percent,2024,Modeled estimate — labour,false,Modeled estimate (population-scaled from published patterns); not an official published figure.
Switzerland,Labour force participation rate,By migrant/native status,Foreign-born — men,67,percent,2024,Modeled estimate — labour,false,Modeled estimate (population-scaled from published patterns); not an official published figure.
Switzerland,Labour force participation rate,By migrant/native status,Native-born — women,66,percent,2024,Modeled estimate — labour,false,Modeled estimate (population-scaled from published patterns); not an official published figure.
Switzerland,Labour force participation rate,By migrant/native status,Foreign-born — women,56,percent,2024,Modeled estimate — labour,false,Modeled estimate (population-scaled from published patterns); not an official published figure.
Switzerland,Minimum wage,,,none federally (cantonal minimums exist),statutory minimum,2024,https://www.bfs.admin.ch/ / labour statistics,false,Statutory minimum wage (or none where wages are set by collective agreements).
Switzerland,Average annual working hours per worker,,,1533,hours per year,2024,https://www.bfs.admin.ch/ / labour statistics,false,OECD-style average annual hours actually worked.
