country,year,age_group,male_population,female_population,total_population
Switzerland,2025,0-4,222126,210193,432319
Switzerland,2025,5-9,240430,228741,469171
Switzerland,2025,10-14,226124,214580,440704
Switzerland,2025,15-19,224102,212662,436764
Switzerland,2025,20-24,236310,224824,461134
Switzerland,2025,25-29,276754,243321,520075
Switzerland,2025,30-34,290009,267475,557484
Switzerland,2025,35-39,317650,295519,613169
Switzerland,2025,40-44,290397,290166,580563
Switzerland,2025,45-49,270794,270565,541359
Switzerland,2025,50-54,276991,276764,553755
Switzerland,2025,55-59,347420,347196,694616
Switzerland,2025,60-64,341911,352046,693957
Switzerland,2025,65-69,274821,294951,569772
Switzerland,2025,70-74,212872,253182,466054
Switzerland,2025,75-79,159357,189001,348358
Switzerland,2025,80-84,130214,170034,300248
Switzerland,2025,85-89,86846,137578,224424
Switzerland,2025,90-94,25293,51052,76345
Switzerland,2025,95-99,4716,13159,17875
Switzerland,2025,100+,395,1458,1853
