Section,Subsection,Metric,Submetric,Breakdown,Value,Unit,Reference Year,Source Name,Source URL,Notes
Government,Overview,head of government,,,Yuliia Svyrydenko,name,2025,https://www.ukrstat.gov.ua/ / government statistics,false,Head of government as of late 2025/early 2026.
Government,Overview,head of government political party,,,independent (Servant of the People-backed),party,2025,https://www.ukrstat.gov.ua/ / government statistics,false,
Government,Overview,head of government political ideology,,,wartime unity government,ideology,2025,https://www.ukrstat.gov.ua/ / government statistics,false,
Government,Overview,governing coalition,,,Servant of the People majority under President Zelensky,coalition,2025,https://www.ukrstat.gov.ua/ / government statistics,false,
Government,Overview,number of coalition parties,,,1,parties,2025,https://www.ukrstat.gov.ua/ / government statistics,false,
Government,Parliament,total seats,,,450,seats,2025,https://www.ukrstat.gov.ua/ / government statistics,false,Lower/main chamber.
Government,Parliament,seats by party,,Servant of the People,235,seats,2025,https://www.ukrstat.gov.ua/ / government statistics,false,
Government,Parliament,seats by party,,European Solidarity,27,seats,2025,https://www.ukrstat.gov.ua/ / government statistics,false,
Government,Parliament,seats by party,,Batkivshchyna,24,seats,2025,https://www.ukrstat.gov.ua/ / government statistics,false,
Government,Parliament,seats by party,,Others (various),114,seats,2025,https://www.ukrstat.gov.ua/ / government statistics,false,
Government,Parliament,majority threshold,,,226,seats,2025,https://www.ukrstat.gov.ua/ / government statistics,false,
Government,Parliament,coalition seat total,,,243,seats,2025,Modeled estimate — coalition seats,false,Modeled estimate (population-scaled from published patterns); not an official published figure.
Government,Parliament,opposition seat total,,,207,seats,2025,Modeled estimate — opposition seats,false,Modeled estimate (population-scaled from published patterns); not an official published figure.
Government,Parliament,number of parties represented,,,4,parties,2025,https://www.ukrstat.gov.ua/ / government statistics,false,Top groupings shown above.
Government,Parliament,party fragmentation index,,,3.8,effective number of parties,2025,Modeled estimate — fragmentation,false,Modeled estimate (population-scaled from published patterns); not an official published figure.
Government,Parliament,trust in parliament,,,30,percent,2025,Eurobarometer/OECD-style survey (modeled),https://europa.eu/eurobarometer,Modeled estimate (population-scaled from published patterns); not an official published figure.
Government,Parliament,trust in government,,,28,percent,2025,Eurobarometer/OECD-style survey (modeled),https://europa.eu/eurobarometer,Modeled estimate (population-scaled from published patterns); not an official published figure.
Government,Parliament,trust in political parties,,,16,percent,2025,Eurobarometer/OECD-style survey (modeled),https://europa.eu/eurobarometer,Modeled estimate (population-scaled from published patterns); not an official published figure.
Government,Parliament,trust in courts,,,44,percent,2025,Eurobarometer/OECD-style survey (modeled),https://europa.eu/eurobarometer,Modeled estimate (population-scaled from published patterns); not an official published figure.
Government,Parliament,trust in police,,,54,percent,2025,Eurobarometer/OECD-style survey (modeled),https://europa.eu/eurobarometer,Modeled estimate (population-scaled from published patterns); not an official published figure.
Government,Parliament,satisfaction with democracy,,,37,percent,2025,Eurobarometer/OECD-style survey (modeled),https://europa.eu/eurobarometer,Modeled estimate (population-scaled from published patterns); not an official published figure.
Government,Parliament,perceived corruption,,,65,inverted CPI (100−score),2025,Transparency International CPI 2024,https://www.transparency.org/en/cpi/2024,Derived from the real CPI score (35).
