country,year,age_group,male_population,female_population,total_population
Ukraine,2025,0-4,757242,716562,1473804
Ukraine,2025,5-9,826355,786178,1612533
Ukraine,2025,10-14,783614,743608,1527222
Ukraine,2025,15-19,783098,743119,1526217
Ukraine,2025,20-24,832728,792249,1624977
Ukraine,2025,25-29,983566,864745,1848311
Ukraine,2025,30-34,1039555,958778,1998333
Ukraine,2025,35-39,1148553,1068530,2217083
Ukraine,2025,40-44,1059252,1058411,2117663
Ukraine,2025,45-49,996535,995694,1992229
Ukraine,2025,50-54,1028505,1027665,2056170
Ukraine,2025,55-59,1301745,1300906,2602651
Ukraine,2025,60-64,1292877,1331203,2624080
Ukraine,2025,65-69,1048845,1125668,2174513
Ukraine,2025,70-74,820054,975338,1795392
Ukraine,2025,75-79,619729,735014,1354743
Ukraine,2025,80-84,511260,667606,1178866
Ukraine,2025,85-89,344299,545426,889725
Ukraine,2025,90-94,101261,204387,305648
Ukraine,2025,95-99,19068,53206,72274
Ukraine,2025,100+,1611,5955,7566
