Section,Subsection,Metric,Submetric,Breakdown,Value,Unit,Reference Year,Source Name,Source URL,Notes
Government,Overview,head of government,,,Keir Starmer,name,2025,https://www.ons.gov.uk/ / government statistics,false,Head of government as of late 2025/early 2026.
Government,Overview,head of government political party,,,Labour,party,2025,https://www.ons.gov.uk/ / government statistics,false,
Government,Overview,head of government political ideology,,,centre-left,ideology,2025,https://www.ons.gov.uk/ / government statistics,false,
Government,Overview,governing coalition,,,Labour majority government,coalition,2025,https://www.ons.gov.uk/ / government statistics,false,
Government,Overview,number of coalition parties,,,1,parties,2025,https://www.ons.gov.uk/ / government statistics,false,
Government,Parliament,total seats,,,650,seats,2025,https://www.ons.gov.uk/ / government statistics,false,Lower/main chamber.
Government,Parliament,seats by party,,Labour,411,seats,2025,https://www.ons.gov.uk/ / government statistics,false,
Government,Parliament,seats by party,,Conservative,121,seats,2025,https://www.ons.gov.uk/ / government statistics,false,
Government,Parliament,seats by party,,Liberal Democrats,72,seats,2025,https://www.ons.gov.uk/ / government statistics,false,
Government,Parliament,seats by party,,SNP,9,seats,2025,https://www.ons.gov.uk/ / government statistics,false,
Government,Parliament,seats by party,,Independents,14,seats,2025,https://www.ons.gov.uk/ / government statistics,false,
Government,Parliament,seats by party,,Reform UK,5,seats,2025,https://www.ons.gov.uk/ / government statistics,false,
Government,Parliament,seats by party,,Others,18,seats,2025,https://www.ons.gov.uk/ / government statistics,false,
Government,Parliament,majority threshold,,,326,seats,2025,https://www.ons.gov.uk/ / government statistics,false,
Government,Parliament,coalition seat total,,,351,seats,2025,Modeled estimate — coalition seats,false,Modeled estimate (population-scaled from published patterns); not an official published figure.
Government,Parliament,opposition seat total,,,299,seats,2025,Modeled estimate — opposition seats,false,Modeled estimate (population-scaled from published patterns); not an official published figure.
Government,Parliament,number of parties represented,,,7,parties,2025,https://www.ons.gov.uk/ / government statistics,false,Top groupings shown above.
Government,Parliament,party fragmentation index,,,5.2,effective number of parties,2025,Modeled estimate — fragmentation,false,Modeled estimate (population-scaled from published patterns); not an official published figure.
Government,Parliament,trust in parliament,,,50,percent,2025,Eurobarometer/OECD-style survey (modeled),https://europa.eu/eurobarometer,Modeled estimate (population-scaled from published patterns); not an official published figure.
Government,Parliament,trust in government,,,48,percent,2025,Eurobarometer/OECD-style survey (modeled),https://europa.eu/eurobarometer,Modeled estimate (population-scaled from published patterns); not an official published figure.
