country,year,age_group,male_population,female_population,total_population
United Kingdom,2025,0-4,1829624,1731333,3560957
United Kingdom,2025,5-9,1963508,1868043,3831551
United Kingdom,2025,10-14,1830502,1737049,3567551
United Kingdom,2025,15-19,1797812,1706029,3503841
United Kingdom,2025,20-24,1878211,1786912,3665123
United Kingdom,2025,25-29,2178740,1915534,4094274
United Kingdom,2025,30-34,2260743,2085077,4345820
United Kingdom,2025,35-39,2451276,2280486,4731762
United Kingdom,2025,40-44,2217717,2215955,4433672
United Kingdom,2025,45-49,2045908,2044182,4090090
United Kingdom,2025,50-54,2069671,2067980,4137651
United Kingdom,2025,55-59,2566421,2564767,5131188
United Kingdom,2025,60-64,2496111,2570107,5066218
United Kingdom,2025,65-69,1982035,2127211,4109246
United Kingdom,2025,70-74,1516054,1803131,3319185
United Kingdom,2025,75-79,1120248,1328642,2448890
United Kingdom,2025,80-84,903134,1179318,2082452
United Kingdom,2025,85-89,594004,940999,1535003
United Kingdom,2025,90-94,170519,344177,514696
United Kingdom,2025,95-99,31321,87395,118716
United Kingdom,2025,100+,2579,9535,12114
