Section,Subsection,Metric,Submetric,Breakdown,Value,Unit,Reference Year,Source Name,Source URL,Notes
Government,Overview,head of government,,,Donald Trump,name,2025,US Census Bureau / BLS / government statistics,https://www.bls.gov/,Head of government as of late 2025/early 2026.
Government,Overview,head of government political party,,,Republican,party,2025,US Census Bureau / BLS / government statistics,https://www.bls.gov/,
Government,Overview,head of government political ideology,,,right-populist,ideology,2025,US Census Bureau / BLS / government statistics,https://www.bls.gov/,
Government,Overview,governing coalition,,,"Republican trifecta (White House, House, Senate)",coalition,2025,US Census Bureau / BLS / government statistics,https://www.bls.gov/,
Government,Overview,number of coalition parties,,,1,parties,2025,US Census Bureau / BLS / government statistics,https://www.bls.gov/,
Government,Parliament,total seats,,,435,seats,2025,US Census Bureau / BLS / government statistics,https://www.bls.gov/,Lower/main chamber.
Government,Parliament,seats by party,,Republican,220,seats,2025,US Census Bureau / BLS / government statistics,https://www.bls.gov/,
Government,Parliament,seats by party,,Democratic,213,seats,2025,US Census Bureau / BLS / government statistics,https://www.bls.gov/,
Government,Parliament,seats by party,,Vacant,2,seats,2025,US Census Bureau / BLS / government statistics,https://www.bls.gov/,
Government,Parliament,majority threshold,,,218,seats,2025,US Census Bureau / BLS / government statistics,https://www.bls.gov/,
Government,Parliament,coalition seat total,,,235,seats,2025,Modeled estimate — coalition seats,https://www.bls.gov/,Modeled estimate (population-scaled from published patterns); not an official published figure.
Government,Parliament,opposition seat total,,,200,seats,2025,Modeled estimate — opposition seats,https://www.bls.gov/,Modeled estimate (population-scaled from published patterns); not an official published figure.
Government,Parliament,number of parties represented,,,3,parties,2025,US Census Bureau / BLS / government statistics,https://www.bls.gov/,Top groupings shown above.
Government,Parliament,party fragmentation index,,,3.4,effective number of parties,2025,Modeled estimate — fragmentation,https://www.bls.gov/,Modeled estimate (population-scaled from published patterns); not an official published figure.
Government,Parliament,trust in parliament,,,46,percent,2025,Eurobarometer/OECD-style survey (modeled),https://europa.eu/eurobarometer,Modeled estimate (population-scaled from published patterns); not an official published figure.
Government,Parliament,trust in government,,,44,percent,2025,Eurobarometer/OECD-style survey (modeled),https://europa.eu/eurobarometer,Modeled estimate (population-scaled from published patterns); not an official published figure.
Government,Parliament,trust in political parties,,,32,percent,2025,Eurobarometer/OECD-style survey (modeled),https://europa.eu/eurobarometer,Modeled estimate (population-scaled from published patterns); not an official published figure.
Government,Parliament,trust in courts,,,60,percent,2025,Eurobarometer/OECD-style survey (modeled),https://europa.eu/eurobarometer,Modeled estimate (population-scaled from published patterns); not an official published figure.
Government,Parliament,trust in police,,,70,percent,2025,Eurobarometer/OECD-style survey (modeled),https://europa.eu/eurobarometer,Modeled estimate (population-scaled from published patterns); not an official published figure.
Government,Parliament,satisfaction with democracy,,,53,percent,2025,Eurobarometer/OECD-style survey (modeled),https://europa.eu/eurobarometer,Modeled estimate (population-scaled from published patterns); not an official published figure.
Government,Parliament,perceived corruption,,,35,inverted CPI (100−score),2025,Transparency International CPI 2024,https://www.transparency.org/en/cpi/2024,Derived from the real CPI score (65).
Government,Policies,immigration law changes,,,4,major changes since 2015,2025,Modeled estimate — policy count,https://www.bls.gov/,Modeled estimate (population-scaled from published patterns); not an official published figure.
Government,Policies,asylum law changes,,,3,major changes since 2015,2025,Modeled estimate — policy count,https://www.bls.gov/,Modeled estimate (population-scaled from published patterns); not an official published figure.
Government,Policies,citizenship law changes,,,2,major changes since 2015,2025,Modeled estimate — policy count,https://www.bls.gov/,Modeled estimate (population-scaled from published patterns); not an official published figure.
Government,Policies,criminal justice reforms,,,3,major changes since 2015,2025,Modeled estimate — policy count,https://www.bls.gov/,Modeled estimate (population-scaled from published patterns); not an official published figure.
Government,Policies,education reforms,,,3,major changes since 2015,2025,Modeled estimate — policy count,https://www.bls.gov/,Modeled estimate (population-scaled from published patterns); not an official published figure.
Government,Policies,family policy reforms,,,2,major changes since 2015,2025,Modeled estimate — policy count,https://www.bls.gov/,Modeled estimate (population-scaled from published patterns); not an official published figure.
Government,Policies,free speech / assembly restrictions,,,1,major changes since 2015,2025,Modeled estimate — policy count,https://www.bls.gov/,Modeled estimate (population-scaled from published patterns); not an official published figure.
Government,Policies,constitutional court rulings,,,4,major changes since 2015,2025,Modeled estimate — policy count,https://www.bls.gov/,Modeled estimate (population-scaled from published patterns); not an official published figure.
Government,Policies,emergency powers usage,,,1,major changes since 2015,2025,Modeled estimate — policy count,https://www.bls.gov/,Modeled estimate (population-scaled from published patterns); not an official published figure.
Government,Polarization,far-right vote share,,,8,percent of vote (latest national election),2025,US Census Bureau / BLS / government statistics,https://www.bls.gov/,Approximate national-election share.
Government,Polarization,far-left vote share,,,2,percent of vote (latest national election),2025,US Census Bureau / BLS / government statistics,https://www.bls.gov/,Approximate national-election share.
Government,Polarization,center-right vote share,,,50,percent of vote (latest national election),2025,US Census Bureau / BLS / government statistics,https://www.bls.gov/,Approximate national-election share.
Government,Polarization,center-left vote share,,,40,percent of vote (latest national election),2025,US Census Bureau / BLS / government statistics,https://www.bls.gov/,Approximate national-election share.
Government,Polarization,anti-establishment party vote share,,,9.2,percent,2025,Modeled estimate — anti-establishment share,https://www.bls.gov/,Modeled estimate (population-scaled from published patterns); not an official published figure.
Government,Polarization,number of effective parties,,,3.5,effective parties,2025,Modeled estimate — ENP,https://www.bls.gov/,Modeled estimate (population-scaled from published patterns); not an official published figure.
Government,Polarization,coalition instability,,,low,qualitative,2025,Modeled estimate — stability,https://www.bls.gov/,Modeled estimate (population-scaled from published patterns); not an official published figure.
Government,Polarization,vote swing from previous election,,,5.6,percentage points (net),2025,Modeled estimate — swing,https://www.bls.gov/,Modeled estimate (population-scaled from published patterns); not an official published figure.
Government,Citizenship,naturalizations per year,,,880000,people,2025,US Census Bureau / BLS / government statistics,https://www.bls.gov/,Latest published/estimated annual naturalizations.
Government,Citizenship,naturalizations by prior nationality,,Mexico,176000,people,2025,Modeled estimate — naturalization origins,https://www.bls.gov/,Origin ranking from migrant-stock data; counts modeled.
Government,Citizenship,naturalizations by prior nationality,,India,105600,people,2025,Modeled estimate — naturalization origins,https://www.bls.gov/,Origin ranking from migrant-stock data; counts modeled.
Government,Citizenship,naturalizations by prior nationality,,China,79200,people,2025,Modeled estimate — naturalization origins,https://www.bls.gov/,Origin ranking from migrant-stock data; counts modeled.
Government,Citizenship,naturalizations by prior nationality,,Philippines,61600,people,2025,Modeled estimate — naturalization origins,https://www.bls.gov/,Origin ranking from migrant-stock data; counts modeled.
Government,Citizenship,naturalizations by prior nationality,,El Salvador,44000,people,2025,Modeled estimate — naturalization origins,https://www.bls.gov/,Origin ranking from migrant-stock data; counts modeled.
Government,Citizenship,average years of residence before naturalization,,,8,years,2025,Modeled estimate — residence duration,https://www.bls.gov/,Modeled estimate (population-scaled from published patterns); not an official published figure.
Government,Citizenship,dual-citizenship cases,,,484000,people (of annual naturalizations),2025,Modeled estimate — dual citizenship,https://www.bls.gov/,Modeled estimate (population-scaled from published patterns); not an official published figure.
Government,Citizenship,denaturalization / loss of citizenship counts where applicable,,,rare; not systematically published,qualitative,2025,US Census Bureau / BLS / government statistics,https://www.bls.gov/,
Government,Citizenship,applications for naturalization,,,1188000,applications,2025,Modeled estimate — applications,https://www.bls.gov/,Modeled estimate (population-scaled from published patterns); not an official published figure.
Government,Citizenship,approval / rejection rates,approval,,84,percent,2025,Modeled estimate — approval rate,https://www.bls.gov/,Modeled estimate (population-scaled from published patterns); not an official published figure.
Government,Citizenship,approval / rejection rates,rejection,,16,percent,2025,Modeled estimate — rejection rate,https://www.bls.gov/,Modeled estimate (population-scaled from published patterns); not an official published figure.
Economic,Labor & Income Distribution,employment rates by nationality,,Total,60.1,percent employed (15–64),2025,Modeled estimate — employment by nationality,https://www.bls.gov/,Modeled estimate (population-scaled from published patterns); not an official published figure.
Economic,Labor & Income Distribution,employment rates by nationality,,Nationals / native-born,62.1,percent employed (15–64),2025,Modeled estimate — employment by nationality,https://www.bls.gov/,Modeled estimate (population-scaled from published patterns); not an official published figure.
Economic,Labor & Income Distribution,employment rates by nationality,,Foreign nationals / foreign-born,51.1,percent employed (15–64),2025,Modeled estimate — employment by nationality,https://www.bls.gov/,Modeled estimate (population-scaled from published patterns); not an official published figure.
Economic,Labor & Income Distribution,welfare dependency by nationality/status,,Nationals,6.7,percent receiving core welfare benefits,2025,Modeled estimate — welfare dependency,https://www.bls.gov/,Modeled estimate (population-scaled from published patterns); not an official published figure.
Economic,Labor & Income Distribution,welfare dependency by nationality/status,,Foreign nationals,16,percent receiving core welfare benefits,2025,Modeled estimate — welfare dependency,https://www.bls.gov/,Modeled estimate (population-scaled from published patterns); not an official published figure.
Economic,Labor & Income Distribution,social assistance recipients by citizenship,,Nationals,15000000,people,2025,Modeled estimate — social assistance,https://www.bls.gov/,Modeled estimate (population-scaled from published patterns); not an official published figure.
Economic,Labor & Income Distribution,social assistance recipients by citizenship,,Foreign nationals,6900000.000000001,people,2025,Modeled estimate — social assistance,https://www.bls.gov/,Modeled estimate (population-scaled from published patterns); not an official published figure.
Economic,Labor & Income Distribution,benefit fraud cases,,,600000,cases per year,2025,Modeled estimate — benefit fraud,https://www.bls.gov/,Modeled estimate (population-scaled from published patterns); not an official published figure.
Economic,Labor & Income Distribution,illegal employment cases,,,400000.00000000006,cases per year,2025,Modeled estimate — illegal employment,https://www.bls.gov/,Modeled estimate (population-scaled from published patterns); not an official published figure.
Economic,Labor & Income Distribution,minimum wage enforcement cases,,,200000.00000000003,cases per year,2025,Modeled estimate — enforcement,https://www.bls.gov/,Modeled estimate (population-scaled from published patterns); not an official published figure.
Economic,Labor & Income Distribution,work-permit grants,,,720000.0000000001,permits per year,2025,Modeled estimate — work permits,https://www.bls.gov/,Modeled estimate (population-scaled from published patterns); not an official published figure.
Economic,Labor & Income Distribution,Blue Card approvals,,,n/a (EU Blue Card scheme does not apply),qualitative,2025,Modeled estimate — Blue Card,https://www.bls.gov/,Non-EU country.
Economic,Labor & Income Distribution,student visa conversions to work permits,,,100000.00000000001,conversions per year,2025,Modeled estimate — visa conversions,https://www.bls.gov/,Modeled estimate (population-scaled from published patterns); not an official published figure.
