country,year,age_group,male_population,female_population,total_population
United States,2025,0-4,9387231,8882935,18270166
United States,2025,5-9,10029486,9541854,19571340
United States,2025,10-14,9306952,8831804,18138756
United States,2025,15-19,9096805,8632394,17729199
United States,2025,20-24,9455996,8996346,18452342
United States,2025,25-29,10911672,9593473,20505145
United States,2025,30-34,11260530,10385553,21646083
United States,2025,35-39,12139834,11294009,23433843
United States,2025,40-44,10917511,10908836,21826347
United States,2025,45-49,10008662,10000221,20008883
United States,2025,50-54,10058422,10050206,20108628
United States,2025,55-59,12386576,12378594,24765170
United States,2025,60-64,11959886,12314429,24274315
United States,2025,65-69,9424245,10114534,19538779
United States,2025,70-74,7150573,8504593,15655166
United States,2025,75-79,5238837,6213387,11452224
United States,2025,80-84,4185556,5465526,9651082
United States,2025,85-89,2726703,4319543,7046246
United States,2025,90-94,774844,1563949,2338793
United States,2025,95-99,140794,392865,533659
United States,2025,100+,11463,42371,53834
