Country,Latest Year,Total Govt Expenditure (% of GDP or bn USD),Social Protection (% of total exp),Health (% of total exp),Education (% of total exp),Defence (% of total exp),Economic Affairs (% of total exp),Immigration Welfare Spending (latest estimate),Spending Details & Source
Austria,2023,~50% of GDP,39% (EU avg),15% (EU avg),10% (EU avg),1% (EU avg),12% (EU avg),N/A (embedded in integration programs),No separate 2024-26 figure found; consult national budget
Belgium,2023,~53% of GDP,39% (EU avg),15% (EU avg),10% (EU avg),1% (EU avg),12% (EU avg),N/A (embedded),Same as above
Bulgaria,2023,~40% of GDP,39% (EU avg),15% (EU avg),10% (EU avg),1% (EU avg),12% (EU avg),~$60 million/yr (modeled estimate),"Same Immigration welfare figure is a modeled estimate (asylum reception + refugee social support), not an official line item."
Bosnia and Herzegovina,2023,N/A (national data only),38% (est),14% (est),10% (est),2% (est),10% (est),N/A or negligible,"Data not publicly broken out separately COFOG shares are modeled estimates (IMF GFS-informed), not official published shares."
Belarus,2023,N/A (national data only),31% (est),14% (est),12% (est),4% (est),17% (est),N/A or negligible,"Data not publicly broken out separately COFOG shares are modeled estimates (IMF GFS-informed), not official published shares."
Canada,2024,~42% of GDP (OECD),~35-40% range (OECD),~12-15%,~12-14%,~1-2%,~10-12%,$411 million (asylum seeker health only),Down from $598M; co-pays introduced 2025; housing support not funded past 2026. Source: Migrant Rights Network / federal budget docs
Croatia,2023,~47% of GDP,39% (EU avg),15% (EU avg),10% (EU avg),1% (EU avg),12% (EU avg),N/A (embedded),No separate figure
Cyprus,2023,~45% of GDP,39% (EU avg),15% (EU avg),10% (EU avg),1% (EU avg),12% (EU avg),~$150 million/yr (modeled estimate),"Same Immigration welfare figure is a modeled estimate (asylum reception + refugee social support), not an official line item."
Czech Republic,2023,~45% of GDP,39% (EU avg),15% (EU avg),10% (EU avg),1% (EU avg),12% (EU avg),~$700 million/yr (modeled estimate),"Same Immigration welfare figure is a modeled estimate (asylum reception + refugee social support), not an official line item."
Denmark,2023,~55% of GDP,39% (EU avg),15% (EU avg),10% (EU avg),1% (EU avg),12% (EU avg),~$600 million/yr (modeled estimate),"Same Immigration welfare figure is a modeled estimate (asylum reception + refugee social support), not an official line item."
Estonia,2023,~42% of GDP,39% (EU avg),15% (EU avg),10% (EU avg),1% (EU avg),12% (EU avg),~$250 million/yr (modeled estimate),"Same Immigration welfare figure is a modeled estimate (asylum reception + refugee social support), not an official line item."
Finland,2023,~53% of GDP,39% (EU avg),15% (EU avg),10% (EU avg),1% (EU avg),12% (EU avg),~$900 million/yr (modeled estimate),"Same Immigration welfare figure is a modeled estimate (asylum reception + refugee social support), not an official line item."
France,2023,~58% of GDP,39% (EU avg),15% (EU avg),10% (EU avg),1% (EU avg),12% (EU avg),N/A (embedded),Same
Germany,2023,~50% of GDP,39% (EU avg),15% (EU avg),10% (EU avg),1% (EU avg),12% (EU avg),N/A,Same
Greece,2023,~48% of GDP,39% (EU avg),15% (EU avg),10% (EU avg),1% (EU avg),12% (EU avg),~$500 million/yr (modeled estimate),"Same Immigration welfare figure is a modeled estimate (asylum reception + refugee social support), not an official line item."
Hungary,2023,~48% of GDP,39% (EU avg),15% (EU avg),10% (EU avg),1% (EU avg),12% (EU avg),~$100 million/yr (modeled estimate),"Same Immigration welfare figure is a modeled estimate (asylum reception + refugee social support), not an official line item."
Iceland,2023,~45% of GDP (OECD),~35-40% range,12-15%,12-14%,1-2%,10-12%,~$150 million/yr (modeled estimate),"Embedded Immigration welfare figure is a modeled estimate (asylum reception + refugee social support), not an official line item."
Ireland,2023,~45% of GDP,39% (EU avg),15% (EU avg),10% (EU avg),1% (EU avg),12% (EU avg),~$2.5 billion/yr (modeled estimate),"Same Immigration welfare figure is a modeled estimate (asylum reception + refugee social support), not an official line item."
Italy,2023,~55% of GDP,39% (EU avg),15% (EU avg),10% (EU avg),1% (EU avg),12% (EU avg),~$4.5 billion/yr (modeled estimate),"Same Immigration welfare figure is a modeled estimate (asylum reception + refugee social support), not an official line item."
Latvia,2023,~42% of GDP,39% (EU avg),15% (EU avg),10% (EU avg),1% (EU avg),12% (EU avg),~$150 million/yr (modeled estimate),"Same Immigration welfare figure is a modeled estimate (asylum reception + refugee social support), not an official line item."
Liechtenstein,2023,N/A (small national budget),34% (est),12% (est),13% (est),0% (no army),11% (est),N/A or negligible,"Minimal public data COFOG shares are modeled estimates (IMF GFS-informed), not official published shares."
Lithuania,2023,~42% of GDP,39% (EU avg),15% (EU avg),10% (EU avg),1% (EU avg),12% (EU avg),~$300 million/yr (modeled estimate),"Same Immigration welfare figure is a modeled estimate (asylum reception + refugee social support), not an official line item."
Luxembourg,2023,~45% of GDP,39% (EU avg),15% (EU avg),10% (EU avg),1% (EU avg),12% (EU avg),~$250 million/yr (modeled estimate),"Same Immigration welfare figure is a modeled estimate (asylum reception + refugee social support), not an official line item."
Malta,2023,~42% of GDP,39% (EU avg),15% (EU avg),10% (EU avg),1% (EU avg),12% (EU avg),~$60 million/yr (modeled estimate),"Same Immigration welfare figure is a modeled estimate (asylum reception + refugee social support), not an official line item."
Moldova,2023,N/A (national data only),35% (est),13% (est),15% (est),2% (est),11% (est),N/A or negligible,"Data not broken out COFOG shares are modeled estimates (IMF GFS-informed), not official published shares."
Monaco,2023,N/A (small national budget),15% (est),8% (est),12% (est),0% (no army),25% (est),N/A or negligible,"Minimal public data COFOG shares are modeled estimates (IMF GFS-informed), not official published shares."
Montenegro,2023,N/A (national data only),33% (est),13% (est),10% (est),2% (est),12% (est),N/A or negligible,"Data not broken out COFOG shares are modeled estimates (IMF GFS-informed), not official published shares."
Netherlands,2023,~52% of GDP,39% (EU avg),15% (EU avg),10% (EU avg),1% (EU avg),12% (EU avg),~$4.5 billion/yr (modeled estimate),"Same Immigration welfare figure is a modeled estimate (asylum reception + refugee social support), not an official line item."
New Zealand,2024,~45% of GDP (OECD),~35-40% range,12-15%,12-14%,1-2%,10-12%,~$350 million/yr (modeled estimate),"Embedded Immigration welfare figure is a modeled estimate (asylum reception + refugee social support), not an official line item."
Norway,2023,~50% of GDP (OECD),~35-40% range,12-15%,12-14%,1-2%,10-12%,~$2 billion/yr (modeled estimate),"Embedded Immigration welfare figure is a modeled estimate (asylum reception + refugee social support), not an official line item."
Poland,2023,~48% of GDP,39% (EU avg),15% (EU avg),10% (EU avg),1% (EU avg),12% (EU avg),~$2.5 billion/yr (modeled estimate),"Same Immigration welfare figure is a modeled estimate (asylum reception + refugee social support), not an official line item."
Portugal,2023,~48% of GDP,39% (EU avg),15% (EU avg),10% (EU avg),1% (EU avg),12% (EU avg),~$400 million/yr (modeled estimate),"Same Immigration welfare figure is a modeled estimate (asylum reception + refugee social support), not an official line item."
